Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.2,0.0,0.0
5.0,,,,,,,,,0.0,0.7,0.0,0.0
10.0,,,,,,,,,0.0,1.2,0.0,0.0
15.0,,,,,,,,,0.0,-0.5,0.0,0.0
20.0,,,,,,,,,0.0,1.9,0.0,0.0
25.0,,,,,,,,,0.0,-0.2,0.0,0.0
30.0,,,,,,,,,0.0,2.4,0.0,0.0
35.0,,,,,,,,,0.0,0.7,0.0,0.0
40.0,,,,,,,,,0.0,-0.2,0.0,0.0
45.0,,,,,,,,,0.0,-0.7,0.0,0.0
50.0,,,,,,,,,0.075,1.4,0.33,0.011
55.0,,,,,,,,,0.042,10.8,0.6,0.016
60.0,,,,,,,,,0.031,93.6,0.82,0.013
65.0,,,,,,,,,0.033,58.6,2.37,0.121
75.0,,,,,,,,,0.019,35.5,4.08,0.19
80.0,,,,,,,,,0.017,27.8,4.06,0.164
85.0,,,,,,,,,0.017,3.4,3.41,0.14
90.0,,,,,,,,,0.003,-1.5,139.93,4.372
95.0,,,,,,,,,0.003,-0.7,107.72,3.697
100.0,,,,,,,,,0.008,-0.7,3.2,0.103
105.0,,,,,,,,,0.017,1.7,1.55,0.055
110.0,,,,,,,,,0.02,1.0,1.26,0.058
115.0,,,,,,,,,0.037,0.7,0.66,0.034
120.0,,,,,,,,,0.022,-1.4,1.1,0.038
125.0,,,,,,,,,0.022,0.7,1.12,0.039
130.0,,,,,,,,,0.022,0.7,1.11,0.02
