Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-2.5,0.0,0.0
6.0,,,,,,,,,0.0,-1.0,0.0,0.0
12.0,,,,,,,,,0.03,0.1,0.72,0.01
18.0,,,,,,,,,0.03,4.1,5.14,0.987
24.0,,,,,,,,,0.119,306.9,1.27,0.143
30.0,,,,,,,,,0.099,136.2,1.11,0.067
36.0,,,,,,,,,0.073,67.6,1.38,0.132
42.0,,,,,,,,,0.084,107.5,1.38,0.182
48.0,,,,,,,,,0.099,124.1,1.07,0.125
54.0,,,,,,,,,0.088,98.6,1.16,0.128
60.0,,,,,,,,,0.072,89.6,1.26,0.124
66.0,,,,,,,,,0.057,74.3,1.46,0.141
72.0,,,,,,,,,0.045,63.3,1.71,0.164
78.0,,,,,,,,,0.038,54.6,1.81,0.191
84.0,,,,,,,,,0.033,46.7,1.96,0.205
90.0,,,,,,,,,0.027,41.4,2.27,0.234
96.0,,,,,,,,,0.02,36.7,2.81,0.293
102.0,,,,,,,,,0.017,28.6,2.9,0.317
108.0,,,,,,,,,0.015,24.3,2.97,0.298
114.0,,,,,,,,,0.012,19.2,3.5,0.359
120.0,,,,,,,,,0.012,19.4,3.59,0.333
126.0,,,,,,,,,0.009,18.2,4.69,0.425
132.0,,,,,,,,,0.009,19.3,4.78,0.466
138.0,,,,,,,,,0.014,17.6,3.03,0.287
144.0,,,,,,,,,0.013,18.1,3.21,0.283
150.0,,,,,,,,,0.009,17.1,4.48,0.374
156.0,,,,,,,,,0.009,16.7,4.61,0.359
162.0,,,,,,,,,0.01,16.5,3.98,0.285
168.0,,,,,,,,,0.009,16.1,4.34,0.379
174.0,,,,,,,,,0.008,17.2,5.28,0.396
