Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,3.6,0.0,0.0
3.0,,,,,,,,,0.195,3.9,0.11,0.0
6.0,,,,,,,,,0.187,3.3,0.11,0.0
9.0,,,,,,,,,0.177,18.4,0.12,0.0
12.0,,,,,,,,,0.169,109.3,1.11,0.02
15.0,,,,,,,,,0.161,234.5,1.41,0.024
18.0,,,,,,,,,0.153,310.4,1.63,0.029
21.0,,,,,,,,,0.146,343.5,1.86,0.028
24.0,,,,,,,,,0.138,370.9,2.13,0.032
27.0,,,,,,,,,0.131,397.2,2.3,0.035
30.0,,,,,,,,,0.125,409.2,2.41,0.034
33.0,,,,,,,,,0.118,413.2,2.53,0.034
36.0,,,,,,,,,0.111,388.0,2.69,0.035
39.0,,,,,,,,,0.106,371.3,2.9,0.04
42.0,,,,,,,,,0.101,385.3,3.05,0.034
45.0,,,,,,,,,0.096,424.7,3.67,0.037
48.0,,,,,,,,,0.092,507.3,5.13,0.042
51.0,,,,,,,,,0.089,650.2,6.21,0.041
54.0,,,,,,,,,0.084,805.8,6.72,0.042
57.0,,,,,,,,,0.08,875.7,6.81,0.037
60.0,,,,,,,,,0.076,852.3,6.75,0.036
63.0,,,,,,,,,0.073,799.8,6.13,0.027
66.0,,,,,,,,,0.069,725.2,5.51,0.024
69.0,,,,,,,,,0.061,572.1,4.72,0.02
72.0,,,,,,,,,0.055,402.7,3.09,0.044
75.0,,,,,,,,,0.049,225.6,2.29,0.085
78.0,,,,,,,,,0.043,89.3,1.78,0.117
81.0,,,,,,,,,0.038,22.4,1.55,0.131
84.0,,,,,,,,,0.033,4.5,1.49,0.124
87.0,,,,,,,,,0.027,-1.1,1.54,0.113
90.0,,,,,,,,,0.022,-0.3,1.69,0.106
93.0,,,,,,,,,0.016,2.2,2.09,0.12
96.0,,,,,,,,,0.013,0.8,2.44,0.12
99.0,,,,,,,,,0.009,1.9,3.35,0.106
102.0,,,,,,,,,0.004,4.0,0.0,0.0
105.0,,,,,,,,,0.002,1.9,0.0,0.0
108.0,,,,,,,,,0.0,2.7,0.0,0.0
