Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.004,,,,,,,0.0,0.0,17.08,0.0,25.5576,0.0978,0.0
5.0,,0.0,,,,,,,0.0,0.0,17.44,0.0,99.99,0.1162,0.0
10.0,,0.008,,,,,,,0.0,0.0,18.01,0.0,99.99,0.1795,0.7435
15.0,,0.005,,,,,,,0.0,6.48e-05,2.85,0.0,22.1693,0.0377,0.1142
20.0,,0.002,,,,,,,0.0,0.0001841,1.94,0.0,5.6592,0.0416,0.0406
25.0,,0.0,,,,,,,27.35,0.0006556,0.46,0.0005,0.0,0.039,0.0
30.0,,0.006999999999999999,,,,,,,197.02,0.0011426000000000001,1.53,0.0001,0.6446,0.0279,0.0
35.0,,0.9470000000000001,,,,,,,721.5,0.0012382,1.7,0.0002,0.1266,0.0162,0.0054
40.0,,2.342,,,,,,,921.32,0.0011292000000000001,1.63,0.003,0.0,0.0452,0.006
45.0,,2.2190000000000003,,,,,,,994.37,0.0010415,1.69,0.0025,0.2335,0.0158,0.0066
50.0,,2.0180000000000002,,,,,,,981.22,0.001035,1.73,0.0043,0.484,0.0153,0.0067
55.0,,1.986,,,,,,,957.61,0.0010958,1.67,0.0079,0.0,0.0172,0.0062
60.0,,2.052,,,,,,,928.6,0.0011316,1.6,0.0,1.5763,0.0171,0.0061
65.0,,2.083,,,,,,,904.62,0.0011767,1.56,0.0009,0.9235,0.0162,0.0
70.0,,2.103,,,,,,,854.97,0.0011577,1.61,0.0158,0.0,0.0185,0.0
75.0,,2.099,,,,,,,887.8,0.0010963000000000001,1.63,0.0167,0.1001,0.0183,0.0062
80.0,,2.069,,,,,,,780.72,0.0011008,1.57,0.0211,0.0,0.0163,0.0062
85.0,,1.9640000000000002,,,,,,,699.18,0.0011253,1.57,0.0206,0.0,0.0154,0.0061
90.0,,1.975,,,,,,,669.16,0.0011588,1.55,0.0,1.1141,0.0149,0.006
95.0,,1.999,,,,,,,688.01,0.0012166,1.57,0.0095,0.5755,0.0151,0.0056
100.0,,2.106,,,,,,,752.83,0.0012843,1.53,0.0209,0.1178,0.0148,0.0053
105.0,,2.207,,,,,,,783.87,0.0012978999999999998,1.59,0.0235,0.0,0.0187,0.0052
110.0,,2.292,,,,,,,799.56,0.001322,1.56,0.025,0.0,0.0183,0.0051
115.0,,2.3080000000000003,,,,,,,754.89,0.0013883,1.47,0.0,1.0906,0.0168,0.0
120.0,,2.352,,,,,,,832.8,0.0013789000000000002,1.49,0.007,0.7319,0.0169,0.0
125.0,,2.355,,,,,,,853.09,0.0013442,1.49,0.0207,0.2205,0.0162,0.0033
130.0,,2.311,,,,,,,843.85,0.0013385,1.53,0.0196,0.3067,0.0165,0.0033
135.0,,2.318,,,,,,,874.51,0.0013281999999999999,1.57,0.0284,0.0,0.0179,0.0005
140.0,,2.38,,,,,,,820.08,0.0013755999999999998,1.49,0.0,1.0348,0.0184,0.0005
145.0,,2.387,,,,,,,835.47,0.0014376,1.43,0.0,1.0308,0.0173,0.0047
150.0,,2.417,,,,,,,852.22,0.0013968,1.47,0.0293,0.0,0.0172,0.0048
