Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,62.76,,0.0294,,,,,,0.0,-0.54,0.0,0.0,0.0,1e-05,0.0
5.0,62.85,,0.0294,,,,,,0.0,-0.54,0.0,0.0,0.0,2e-05,0.0
10.0,62.84,,0.0293,,,,,,325.1,0.0,0.141,0.002,0.0,0.9255,0.2898
15.0,62.84,,0.0294,,,,,,0.0,0.0,0.0,0.004,0.0,1.29431,0.4025
20.0,62.84,,0.0294,,,,,,21.9,-1.08,0.0,0.001,0.0,0.29173,0.0931
25.0,62.83,,0.0293,,,,,,199.1,-1.61,0.0,0.001,0.02423,0.17427,0.0674
30.0,62.79,,0.0294,,,,,,189.2,-1.08,0.0,0.0,0.45573,0.11515,0.042
35.0,62.79,,0.0294,,,,,,106.4,-1.08,0.0,0.0,0.69225,0.09746,0.024
40.0,62.68,,0.0294,,,,,,134.6,-1.08,0.293,0.002,0.88091,0.09875,0.0139
45.0,62.49,,0.0291,,,,,,198.1,2.14,0.618,0.001,0.32336,0.07439,0.0096
50.0,62.17,,0.0289,,,,,,207.8,21.69,0.759,0.011,0.56429,0.05679,0.0072
55.0,61.53,,0.0281,,,,,,336.0,74.74,0.633,0.007,0.42857,0.07292,0.0087
60.0,60.54,,0.0277,,,,,,639.6,146.76,0.578,0.037,0.34895,0.14977,0.0114
65.0,59.31,,0.0276,,,,,,853.9,182.01,0.546,0.035,0.32534,0.16837,0.0126
70.0,58.05,,0.0273,,,,,,950.7,198.6,0.507,0.078,0.31813,0.16189,0.0157
75.0,56.85,,0.0275,,,,,,1018.4,199.49,0.481,0.081,0.3271,0.15808,0.0191
80.0,55.68,,0.0276,,,,,,975.9,187.23,0.474,0.115,0.33752,0.16577,0.0201
85.0,54.52,,0.0275,,,,,,1012.8,175.2,0.484,0.116,0.33105,0.17094,0.0216
90.0,53.39,,0.0275,,,,,,1040.3,172.6,0.487,0.12,0.34443,0.15596,0.0226
95.0,52.26,,0.0272,,,,,,1039.5,171.25,0.499,0.125,0.34393,0.1605,0.0239
100.0,51.23,,0.0275,,,,,,976.7,166.37,0.53,0.132,0.36451,0.15549,0.0253
105.0,50.23,,0.0274,,,,,,945.8,163.53,0.543,0.135,0.36406,0.14186,0.0258
110.0,49.25,,0.0275,,,,,,994.1,163.66,0.563,0.139,0.36671,0.14415,0.0265
115.0,48.3,,0.0275,,,,,,967.7,165.24,0.558,0.14,0.37376,0.14726,0.026
120.0,47.36,,0.0273,,,,,,958.7,164.47,0.566,0.141,0.38428,0.14146,0.0258
125.0,46.4,,0.0275,,,,,,1001.1,162.82,0.609,0.146,0.38556,0.14734,0.0272
130.0,45.51,,0.0273,,,,,,993.9,164.42,0.609,0.148,0.40315,0.14083,0.0267
135.0,44.61,,0.0274,,,,,,1003.6,169.38,0.646,0.152,0.42344,0.14957,0.0279
140.0,43.74,,0.0274,,,,,,1009.5,167.73,0.692,0.15,0.426,0.14697,0.0276
145.0,42.89,,0.0274,,,,,,1064.6,173.08,0.709,0.151,0.43719,0.14023,0.0265
150.0,42.03,,0.0273,,,,,,1034.0,180.8,0.74,0.141,0.43447,0.14062,0.0273
155.0,41.18,,0.0274,,,,,,1091.4,182.14,0.791,0.143,0.45323,0.14829,0.0276
160.0,40.34,,0.0272,,,,,,1113.1,185.33,0.842,0.13,0.4822,0.14073,0.0269
165.0,39.52,,0.0272,,,,,,1080.6,190.08,0.906,0.13,0.49221,0.12368,0.0276
170.0,38.7,,0.0271,,,,,,1121.5,197.0,0.952,0.119,0.50337,0.11423,0.0297
175.0,37.89,,0.0272,,,,,,1113.1,209.6,1.018,0.103,0.53208,0.12064,0.0315
180.0,37.12,,0.0271,,,,,,1063.6,212.1,1.035,0.103,0.53319,0.12414,0.0323
185.0,36.37,,0.0269,,,,,,1124.2,216.03,1.134,0.112,0.54405,0.1233,0.0333
190.0,35.64,,0.027,,,,,,1111.4,221.83,1.131,0.101,0.53294,0.11338,0.0332
195.0,34.95,,0.0271,,,,,,1073.6,222.65,1.194,0.107,0.54009,0.10093,0.0333
200.0,34.26,,0.0271,,,,,,1112.8,220.35,1.247,0.101,0.57247,0.105,0.0356
205.0,33.69,,0.0271,,,,,,1133.2,208.96,1.347,0.116,0.60121,0.0996,0.0377
210.0,33.17,,0.0271,,,,,,1073.2,194.72,1.425,0.106,0.60562,0.08689,0.0386
215.0,32.74,,0.0273,,,,,,961.7,184.39,1.465,0.119,0.59938,0.07247,0.038
220.0,32.32,,0.0273,,,,,,896.7,171.67,1.536,0.107,0.61834,0.07055,0.0399
225.0,31.98,,0.0276,,,,,,805.6,155.98,1.677,0.132,0.66276,0.06828,0.0422
230.0,31.69,,0.0275,,,,,,682.3,139.12,1.812,0.115,0.70605,0.06535,0.0445
235.0,31.47,,0.0279,,,,,,594.6,125.01,1.944,0.147,0.77291,0.06538,0.0497
240.0,31.29,,0.0278,,,,,,439.0,108.46,2.046,0.121,0.80105,0.07537,0.0539
245.0,31.15,,0.0279,,,,,,338.1,91.56,2.156,0.162,0.95488,0.09498,0.0738
250.0,31.05,,0.0282,,,,,,169.2,76.31,2.062,0.134,0.88469,0.11819,0.0976
255.0,30.97,,0.0283,,,,,,77.2,63.95,1.733,0.142,0.79861,0.14021,0.0794
260.0,30.89,,0.0284,,,,,,49.7,52.85,1.341,0.181,0.73703,0.14971,0.0629
265.0,30.81,,0.0288,,,,,,58.6,44.69,1.513,0.215,0.69251,0.16459,0.0455
270.0,30.75,,0.0288,,,,,,9.0,36.88,1.626,0.425,0.64099,0.15333,0.0442
275.0,30.69,,0.0287,,,,,,9.0,33.63,1.543,0.416,0.68222,0.13263,0.0297
280.0,30.64,,0.0288,,,,,,42.6,31.64,1.334,0.541,0.58841,0.11334,0.0221
285.0,30.57,,0.0286,,,,,,0.0,29.81,1.325,0.594,0.59763,0.11526,0.025
290.0,30.52,,0.0288,,,,,,42.4,28.43,1.494,0.83,0.6852,0.14042,0.0202
295.0,30.47,,0.0289,,,,,,40.3,26.38,0.9,0.836,0.67923,0.1372,0.0213
300.0,30.43,,0.0288,,,,,,0.0,25.25,1.015,0.697,0.45409,0.10444,0.0202
305.0,30.38,,0.0288,,,,,,41.2,23.27,0.926,0.631,0.40123,0.09474,0.0161
310.0,30.31,,0.0288,,,,,,8.7,23.18,1.063,0.75,0.64963,0.1118,0.0345
315.0,30.27,,0.0288,,,,,,0.0,22.13,1.544,1.087,0.76813,0.161,0.0242
320.0,30.24,,0.0289,,,,,,0.0,21.11,1.43,1.051,0.70933,0.15632,0.0202
325.0,30.21,,0.029,,,,,,0.0,20.72,1.254,0.912,0.62123,0.12788,0.0219
330.0,30.17,,0.0289,,,,,,59.1,19.05,1.034,0.84,0.36131,0.12516,0.0194
335.0,30.13,,0.029,,,,,,0.0,19.08,1.148,0.889,0.52109,0.1251,0.0282
340.0,30.1,,0.029,,,,,,34.7,18.06,1.381,0.969,0.35244,0.13505,0.0451
345.0,30.06,,0.0291,,,,,,34.7,17.54,1.449,1.13,0.82982,0.1591,0.0495
350.0,30.03,,0.029,,,,,,0.0,16.99,1.242,0.937,0.523,0.13299,0.0396
355.0,30.01,,0.0291,,,,,,99.0,15.46,1.162,1.01,0.56642,0.13361,0.046
360.0,29.98,,0.0289,,,,,,0.0,15.31,1.654,1.251,0.54861,0.1731,0.1357
365.0,29.97,,0.0289,,,,,,65.0,14.82,1.033,0.902,0.31197,0.12322,0.1138
370.0,29.94,,0.0288,,,,,,0.0,14.75,0.816,0.707,0.35571,0.09671,0.0878
375.0,29.89,,0.0291,,,,,,21.6,14.37,0.864,0.913,0.32543,0.11999,0.1306
380.0,29.88,,0.029,,,,,,46.2,14.3,0.716,0.836,0.4441,0.11378,0.1496
385.0,29.84,,0.0289,,,,,,0.0,13.75,0.773,0.842,0.39434,0.11072,0.1516
390.0,29.82,,0.0291,,,,,,39.9,13.31,1.21,1.287,0.53333,0.16338,0.2137
395.0,29.8,,0.029,,,,,,47.2,13.8,1.238,1.433,0.49329,0.17475,0.2177
400.0,29.79,,0.029,,,,,,0.0,13.25,0.82,1.004,0.44256,0.12079,0.1469
405.0,29.75,,0.0289,,,,,,32.3,12.18,0.709,0.816,0.26316,0.09727,0.1051
