Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.7,0.0,0.0
5.0,,,,,,,,,0.0,-0.9,0.0,0.0
10.0,,,,,,,,,0.0,0.7,0.0,0.0
15.0,,,,,,,,,0.0,0.0,0.0,0.0
20.0,,,,,,,,,0.0,-0.7,0.0,0.0
25.0,,,,,,,,,0.0,-0.5,0.0,0.0
30.0,,,,,,,,,0.0,0.0,0.0,0.0
35.0,,,,,,,,,0.0,-0.5,0.0,0.0
40.0,,,,,,,,,0.022,2.8,1.08,0.038
45.0,,,,,,,,,0.005,1.4,87.78,7.645
50.0,,,,,,,,,0.003,2.3,86.48,2.636
55.0,,,,,,,,,0.009,8.0,3.03,0.13
60.0,,,,,,,,,0.009,2.3,2.78,0.076
65.0,,,,,,,,,0.004,1.4,85.96,3.236
70.0,,,,,,,,,0.005,1.2,84.87,3.171
75.0,,,,,,,,,0.007,0.2,3.2,0.075
80.0,,,,,,,,,0.007,0.2,3.11,0.109
85.0,,,,,,,,,0.007,-0.2,3.21,0.104
90.0,,,,,,,,,0.003,1.4,81.63,2.558
95.0,,,,,,,,,0.01,0.2,2.42,0.089
100.0,,,,,,,,,0.009,-0.7,2.46,0.077
105.0,,,,,,,,,0.007,0.9,3.1,0.104
110.0,,,,,,,,,0.004,1.4,83.23,3.233
115.0,,,,,,,,,0.004,1.4,82.26,4.14
120.0,,,,,,,,,0.004,0.0,79.67,2.873
125.0,,,,,,,,,0.007,0.2,3.42,0.076
130.0,,,,,,,,,0.001,1.2,81.64,2.281
