Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.8,0.0,0.0
5.0,,,,,,,,,0.0,0.5,0.0,0.0
10.0,,,,,,,,,0.0,1.1,0.0,0.0
15.0,,,,,,,,,0.0,0.9,0.0,0.0
20.0,,,,,,,,,0.0,3.0,0.0,0.0
25.0,,,,,,,,,0.0,4.1,0.0,0.0
30.0,,,,,,,,,0.0,58.2,0.0,0.0
35.0,,,,,,,,,0.0,199.7,0.0,0.0
40.0,,,,,,,,,0.0,134.6,0.0,0.0
45.0,,,,,,,,,0.0,63.8,0.0,0.0
50.0,,,,,,,,,0.0,36.0,0.0,0.0
55.0,,,,,,,,,0.0,22.7,0.0,0.0
60.0,,,,,,,,,0.0,13.0,0.0,0.0
65.0,,,,,,,,,0.014,11.4,2.49,0.301
70.0,,,,,,,,,0.012,13.6,2.86,0.295
75.0,,,,,,,,,0.006,12.2,5.42,0.647
80.0,,,,,,,,,0.004,15.4,123.86,12.128
85.0,,,,,,,,,0.01,13.4,3.19,0.357
90.0,,,,,,,,,0.019,13.3,1.74,0.209
95.0,,,,,,,,,0.006,13.1,5.32,0.696
100.0,,,,,,,,,0.006,12.9,5.4,0.621
105.0,,,,,,,,,0.006,12.7,5.41,0.668
110.0,,,,,,,,,0.01,14.7,3.21,0.368
115.0,,,,,,,,,0.025,15.2,1.32,0.152
120.0,,,,,,,,,0.026,16.6,1.29,0.126
125.0,,,,,,,,,0.015,17.9,2.36,0.214
130.0,,,,,,,,,0.007,26.7,6.04,0.401
135.0,,,,,,,,,0.012,31.5,4.2,0.213
140.0,,,,,,,,,0.019,27.5,2.59,0.131
145.0,,,,,,,,,0.019,25.2,2.48,0.126
150.0,,,,,,,,,0.007,25.6,6.32,0.351
155.0,,,,,,,,,0.007,23.7,6.04,0.449
160.0,,,,,,,,,0.004,26.1,162.95,10.423
165.0,,,,,,,,,0.013,27.2,3.58,0.301
170.0,,,,,,,,,0.018,21.5,2.53,0.168
180.0,,,,,,,,,0.024,24.1,1.87,0.125
185.0,,,,,,,,,0.024,25.1,1.9,0.125
190.0,,,,,,,,,0.014,23.2,3.3,0.242
195.0,,,,,,,,,0.007,22.4,6.32,0.502
200.0,,,,,,,,,0.008,21.2,5.52,0.424
205.0,,,,,,,,,0.005,22.9,156.79,9.979
210.0,,,,,,,,,0.01,21.4,4.16,0.29
215.0,,,,,,,,,0.026,22.8,1.7,0.114
220.0,,,,,,,,,0.025,23.6,1.75,0.105
