Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.012,,,,,,,0.0,0.0,0.0
3.0,,0.002,,,,,,,0.096,0.15,0.006
6.0,,0.012,,,,,,,0.094,0.16,0.006
9.0,,0.019,,,,,,,0.092,0.16,0.006
12.0,,0.012,,,,,,,0.09,0.17,0.006
15.0,,0.002,,,,,,,0.088,0.17,0.008
18.0,,0.005,,,,,,,0.086,0.18,0.009
21.0,,0.01,,,,,,,0.085,0.18,0.011
24.0,,0.031000000000000003,,,,,,,0.083,0.18,0.013
27.0,,0.054000000000000006,,,,,,,0.081,0.18,0.014
30.0,,0.30100000000000005,,,,,,,0.08,0.42,0.016
33.0,,1.17,,,,,,,0.079,1.28,0.033
36.0,,2.555,,,,,,,0.078,2.69,0.062
39.0,,3.67,,,,,,,0.077,3.66,0.076
42.0,,3.7760000000000002,,,,,,,0.077,3.52,0.065
45.0,,3.2510000000000003,,,,,,,0.076,3.02,0.051
48.0,,2.654,,,,,,,0.075,2.59,0.035
51.0,,2.2030000000000003,,,,,,,0.074,2.3,0.025
54.0,,1.922,,,,,,,0.073,2.14,0.02
57.0,,1.7919999999999998,,,,,,,0.072,2.04,0.016
60.0,,1.662,,,,,,,0.072,1.96,0.014
63.0,,1.56,,,,,,,0.07,1.9,0.012
66.0,,1.4769999999999999,,,,,,,0.069,1.85,0.012
69.0,,1.451,,,,,,,0.068,1.89,0.013
72.0,,1.452,,,,,,,0.066,1.94,0.014
75.0,,1.413,,,,,,,0.064,1.95,0.014
78.0,,1.3800000000000001,,,,,,,0.062,1.99,0.015
81.0,,1.345,,,,,,,0.06,1.99,0.015
84.0,,1.3130000000000002,,,,,,,0.058,2.02,0.018
87.0,,1.29,,,,,,,0.057,2.03,0.018
90.0,,1.243,,,,,,,0.056,2.04,0.017
93.0,,1.187,,,,,,,0.055,2.02,0.017
96.0,,1.135,,,,,,,0.054,1.98,0.015
99.0,,1.078,,,,,,,0.053,1.96,0.014
102.0,,1.058,,,,,,,0.052,1.95,0.013
105.0,,1.0150000000000001,,,,,,,0.051,1.94,0.011
108.0,,0.9940000000000001,,,,,,,0.05,1.91,0.01
111.0,,0.9620000000000001,,,,,,,0.049,1.93,0.01
114.0,,0.9440000000000001,,,,,,,0.048,1.97,0.009
117.0,,0.898,,,,,,,0.047,1.94,0.009
120.0,,0.861,,,,,,,0.046,1.9,0.011
123.0,,0.818,,,,,,,0.045,1.87,0.014
126.0,,0.784,,,,,,,0.045,1.81,0.02
129.0,,0.7270000000000001,,,,,,,0.045,1.76,0.025
132.0,,0.7140000000000001,,,,,,,0.044,1.72,0.028
135.0,,0.682,,,,,,,0.044,1.66,0.032
138.0,,0.6409999999999999,,,,,,,0.043,1.65,0.039
141.0,,0.644,,,,,,,0.043,1.67,0.042
144.0,,0.638,,,,,,,0.042,1.66,0.041
147.0,,0.628,,,,,,,0.041,1.65,0.041
150.0,,0.622,,,,,,,0.041,1.67,0.041
153.0,,0.61,,,,,,,0.04,1.71,0.039
156.0,,0.615,,,,,,,0.039,1.74,0.036
159.0,,0.608,,,,,,,0.039,1.74,0.034
162.0,,0.615,,,,,,,0.039,1.74,0.035
165.0,,0.608,,,,,,,0.038,1.77,0.031
168.0,,0.624,,,,,,,0.038,1.79,0.029
171.0,,0.63,,,,,,,0.038,1.83,0.029
174.0,,0.612,,,,,,,0.038,1.81,0.029
177.0,,0.594,,,,,,,0.038,1.78,0.032
180.0,,0.621,,,,,,,0.038,1.84,0.029
183.0,,0.633,,,,,,,0.038,1.87,0.031
186.0,,0.635,,,,,,,0.037,1.87,0.031
189.0,,0.596,,,,,,,0.037,1.82,0.037
192.0,,0.5750000000000001,,,,,,,0.036,1.82,0.038
195.0,,0.578,,,,,,,0.036,1.84,0.039
