Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,2.2,0.0,0.0
5.0,,,,,,,,,0.0,1.9,0.0,0.0
10.0,,,,,,,,,0.0,2.9,0.0,0.0
15.0,,,,,,,,,0.0,1.0,0.0,0.0
20.0,,,,,,,,,0.0,2.4,0.0,0.0
25.0,,,,,,,,,0.0,1.0,0.0,0.0
30.0,,,,,,,,,0.0,3.1,0.0,0.0
35.0,,,,,,,,,0.0,1.7,0.0,0.0
40.0,,,,,,,,,0.0,2.7,0.0,0.0
45.0,,,,,,,,,0.0,2.2,0.0,0.0
50.0,,,,,,,,,0.0,1.2,0.0,0.0
55.0,,,,,,,,,0.0,2.7,0.0,0.0
60.0,,,,,,,,,0.01,6.3,2.94,0.159
65.0,,,,,,,,,0.011,2.9,2.53,0.1
70.0,,,,,,,,,0.009,2.2,2.99,0.168
75.0,,,,,,,,,0.004,4.1,100.49,6.338
80.0,,,,,,,,,0.002,4.8,96.69,5.856
85.0,,,,,,,,,0.002,2.4,94.03,6.81
90.0,,,,,,,,,0.002,1.9,92.54,3.614
95.0,,,,,,,,,0.002,2.2,93.64,4.825
100.0,,,,,,,,,0.002,3.6,91.67,4.279
105.0,,,,,,,,,0.011,2.2,2.45,0.1
110.0,,,,,,,,,0.014,1.7,1.87,0.075
115.0,,,,,,,,,0.019,2.2,1.39,0.086
120.0,,,,,,,,,0.014,2.2,1.92,0.073
125.0,,,,,,,,,0.014,2.4,1.97,0.14
130.0,,,,,,,,,0.014,1.9,1.97,0.073
135.0,,,,,,,,,0.002,2.4,92.87,4.138
140.0,,,,,,,,,0.002,1.0,91.79,6.024
