Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.1,22.13,0.0,88.1251,0.0045,0.0044
5.0,,,,,,,,,0.0,0.0,0.8,99.99,0.0,99.99,0.0069,0.0044
10.0,,,,,,,,,400.89,23.06,59.6,0.83,0.0005,0.7825,0.0017,0.0
15.0,,,,,,,,,841.99,27.97,263.0,0.78,0.0108,0.5702,0.0109,0.0
20.0,,,,,,,,,1170.28,26.89,371.9,0.71,0.0122,0.5101,0.0115,0.0
25.0,,,,,,,,,1523.39,23.96,413.4,0.71,0.0296,0.5134,0.0103,0.0
30.0,,,,,,,,,1785.5,18.45,369.3,0.82,0.0345,0.5523,0.009,0.0
35.0,,,,,,,,,2166.97,13.82,325.9,0.96,0.0543,0.5639,0.0062,0.0
40.0,,,,,,,,,2438.02,9.9,282.4,1.1,0.0568,0.679,0.006,0.0
45.0,,,,,,,,,2358.03,7.52,231.5,1.26,0.0585,0.7135,0.0044,0.0
50.0,,,,,,,,,1978.06,6.3,180.9,1.3,0.0781,0.6824,0.0031,0.0
55.0,,,,,,,,,1449.46,5.84,148.0,1.3,0.0832,0.5524,0.0028,0.0
60.0,,,,,,,,,1281.75,5.14,123.3,1.36,0.0976,0.5398,0.0028,0.0001
65.0,,,,,,,,,1217.8,4.16,107.7,1.61,0.0494,0.7071,0.0029,0.0
70.0,,,,,,,,,989.91,3.83,97.6,1.76,0.028,0.8473,0.0031,0.0
75.0,,,,,,,,,878.59,3.81,92.7,1.75,0.0099,0.9261,0.0028,0.0001
80.0,,,,,,,,,687.92,4.27,92.8,1.48,0.0238,0.7992,0.0026,0.0001
85.0,,,,,,,,,594.95,4.62,89.3,1.33,0.0249,0.7254,0.0022,0.0
90.0,,,,,,,,,543.77,4.29,86.7,1.45,0.0116,0.8808,0.0022,0.0
95.0,,,,,,,,,528.18,4.22,85.6,1.59,0.0006,0.993,0.002,0.0
100.0,,,,,,,,,572.09,4.37,88.0,1.57,0.0,1.0106,0.0017,0.0
105.0,,,,,,,,,586.34,4.44,95.6,1.6,0.0,1.0005,0.0016,0.0
110.0,,,,,,,,,654.65,4.64,100.7,1.6,0.0,1.0322,0.0013,0.0
115.0,,,,,,,,,793.8,4.29,106.6,1.77,0.0,1.1385,0.0014,0.0001
120.0,,,,,,,,,995.01,4.04,111.0,2.01,0.0,1.2884,0.0016,0.0
125.0,,,,,,,,,836.22,4.83,117.7,1.72,0.0,1.1092,0.0012,0.0
130.0,,,,,,,,,771.85,5.93,123.0,1.49,0.0054,0.8924,0.001,0.0
135.0,,,,,,,,,871.44,5.74,130.5,1.6,0.0,1.0415,0.001,0.0001
140.0,,,,,,,,,1097.88,5.01,137.8,1.91,0.0,1.2758,0.0011,0.0001
145.0,,,,,,,,,1087.05,5.72,143.0,1.8,0.0,1.1418,0.0012,0.0
150.0,,,,,,,,,871.24,7.24,153.0,1.55,0.0,1.0165,0.0008,0.0
155.0,,,,,,,,,869.96,7.99,165.0,1.47,0.0017,0.9489,0.0009,0.0
160.0,,,,,,,,,1088.06,7.45,180.9,1.68,0.0,1.1382,0.0011,0.0
165.0,,,,,,,,,1168.18,7.79,192.3,1.73,0.0,1.3107,0.0014,0.0
170.0,,,,,,,,,914.16,10.35,206.6,1.5,0.0,1.0846,0.0013,0.0001
175.0,,,,,,,,,1009.44,12.66,235.3,1.25,0.0023,0.9284,0.0027,0.0
180.0,,,,,,,,,1310.03,12.47,270.4,1.32,0.0017,0.9488,0.0041,0.0
185.0,,,,,,,,,1496.44,12.06,284.6,1.4,0.0,1.0159,0.0047,0.0
190.0,,,,,,,,,1422.06,13.14,298.1,1.32,0.0,1.033,0.005,0.0
195.0,,,,,,,,,1368.69,14.18,301.7,1.37,0.0,1.0417,0.0061,0.0
200.0,,,,,,,,,1251.04,15.75,322.2,1.31,0.0005,0.9904,0.0058,0.0
205.0,,,,,,,,,1326.06,17.0,356.6,1.31,0.0011,0.9815,0.0062,0.0
210.0,,,,,,,,,1326.37,17.17,379.7,1.35,0.0,1.0051,0.0068,0.0
215.0,,,,,,,,,1249.73,19.07,406.9,1.24,0.0036,0.9448,0.0069,0.0
220.0,,,,,,,,,1224.25,21.32,432.3,1.15,0.0066,0.8858,0.0072,0.0
225.0,,,,,,,,,1338.53,22.24,449.3,1.18,0.0082,0.8779,0.0073,0.0
