Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.5,0.0,0.0
5.0,,,,,,,,,0.0,0.9,23.11,2.767
10.0,,,,,,,,,0.0,1.1,23.78,2.448
15.0,,,,,,,,,0.0,2.5,30.39,3.142
20.0,,,,,,,,,0.0,1.1,25.86,3.637
25.0,,,,,,,,,0.0,7.6,26.62,2.23
30.0,,,,,,,,,0.0,221.5,419.85,79.505
35.0,,,,,,,,,0.0,174.8,490.88,71.195
40.0,,,,,,,,,0.0,80.0,338.43,26.339
45.0,,,,,,,,,0.0,41.2,239.17,15.036
50.0,,,,,,,,,0.0,29.8,173.66,13.581
55.0,,,,,,,,,0.0,48.5,178.54,19.847
60.0,,,,,,,,,0.005,72.3,224.7,34.42
65.0,,,,,,,,,0.022,73.3,2.94,0.477
70.0,,,,,,,,,0.046,71.5,1.43,0.214
75.0,,,,,,,,,0.056,62.8,1.1,0.154
80.0,,,,,,,,,0.042,54.4,1.35,0.162
85.0,,,,,,,,,0.034,36.7,1.37,0.178
90.0,,,,,,,,,0.038,26.8,0.98,0.154
95.0,,,,,,,,,0.036,28.1,0.92,0.155
100.0,,,,,,,,,0.032,30.1,1.08,0.159
105.0,,,,,,,,,0.017,23.0,1.74,0.274
110.0,,,,,,,,,0.004,14.4,79.69,16.609
115.0,,,,,,,,,0.004,13.9,73.01,16.109
120.0,,,,,,,,,0.012,13.9,1.56,0.316
125.0,,,,,,,,,0.033,15.2,0.6,0.116
130.0,,,,,,,,,0.036,15.7,0.56,0.118
135.0,,,,,,,,,0.014,14.7,1.44,0.303
140.0,,,,,,,,,0.0,15.7,70.21,13.953
145.0,,,,,,,,,0.005,14.2,69.77,13.298
150.0,,,,,,,,,0.01,14.8,1.94,0.379
155.0,,,,,,,,,0.011,14.6,1.74,0.354
160.0,,,,,,,,,0.018,14.9,1.09,0.208
165.0,,,,,,,,,0.019,13.2,1.05,0.225
170.0,,,,,,,,,0.006,13.7,3.07,0.595
175.0,,,,,,,,,0.002,13.5,64.69,12.252
180.0,,,,,,,,,0.011,12.4,1.6,0.253
185.0,,,,,,,,,0.018,13.7,1.0,0.177
190.0,,,,,,,,,0.013,12.1,1.45,0.243
195.0,,,,,,,,,0.007,12.0,2.7,0.397
200.0,,,,,,,,,0.008,12.5,2.34,0.372
205.0,,,,,,,,,0.01,12.7,1.84,0.317
210.0,,,,,,,,,0.014,13.4,1.29,0.201
215.0,,,,,,,,,0.015,12.1,1.19,0.202
220.0,,,,,,,,,0.009,11.8,2.08,0.391
225.0,,,,,,,,,0.004,12.4,66.99,11.097
230.0,,,,,,,,,0.004,13.0,66.6,10.816
235.0,,,,,,,,,0.004,11.8,65.78,9.028
240.0,,,,,,,,,0.008,10.7,2.23,0.343
