Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
0.0,,,,,,,,,,0.0
3.0,,,,,,,,,,-1.4444
6.0,,,,,,,,,,-1.8662
9.0,,,,,,,,,,-0.8946
12.0,,,,,,,,,,-0.4162
15.0,,,,,,,,,,-0.6524
18.0,,,,,,,,,,-1.5765
21.0,,,,,,,,,,3.0349
24.0,,,,,,,,,,0.4585
27.0,,,,,,,,,,-0.725
30.0,,,,,,,,,,-0.9324
33.0,,,,,,,,,,1.3905
36.0,,,,,,,,,,-0.0031
39.0,,,,,,,,,,0.2146
42.0,,,,,,,,,,0.2197
45.0,,,,,,,,,,1.1398
48.0,,,,,,,,,,1.5883
51.0,,,,,,,,,,2.9465
54.0,,,,,,,,,,-1.6869
57.0,,,,,,,,,,-0.7376
60.0,,,,,,,,,,-1.6045
63.0,,,,,,,,,,0.0303
66.0,,,,,,,,,,0.0312
69.0,,,,,,,,,,-0.6753
72.0,,,,,,,,,,0.4783
75.0,,,,,,,,,,-3.2186
78.0,,,,,,,,,,3.0393
81.0,,,,,,,,,,-1.1392
84.0,,,,,,,,,,0.224
87.0,,,,,,,,,,-0.4545
90.0,,,,,,,,,,1.1534
93.0,,,,,,,,,,-0.4685
96.0,,,,,,,,,,1.8321
99.0,,,,,,,,,,-0.0248
102.0,,,,,,,,,,1.3517
105.0,,,,,,,,,,-1.4119
108.0,,,,,,,,,,2.057
111.0,,,,,,,,,,-0.9404
114.0,,,,,,,,,,-0.4764
117.0,,,,,,,,,,2.079
120.0,,,,,,,,,,-1.3977
123.0,,,,,,,,,,2.9765
126.0,,,,,,,,,,-0.9543
129.0,,,,,,,,,,2.0362
132.0,,,,,,,,,,-2.1069
135.0,,,,,,,,,,1.3703
138.0,,,,,,,,,,1.835
141.0,,,,,,,,,,-0.7302
144.0,,,,,,,,,,-0.7186
147.0,,,,,,,,,,2.9869
150.0,,,,,,,,,,1.8057
153.0,,,,,,,,,,-1.6821
156.0,,,,,,,,,,2.7308
159.0,,,,,,,,,,4.0965
162.0,,,,,,,,,0.2564304649996418,0.3579
165.0,,,,,,,,,3.4107778342653785,3.3545
168.0,,,,,,,,,4.988526976474824,31.8712
171.0,,,,,,,,,6.794923626000907,199.3352
174.0,,,,,,,,,6.742475473036169,372.6964
177.0,,,,,,,,,6.750503659542582,410.7992
180.0,,,,,,,,,7.475141764727432,387.6915
183.0,,,,,,,,,8.868795228665025,383.3519
186.0,,,,,,,,,10.044353098453668,381.6814
189.0,,,,,,,,,11.280339203725848,393.3443
192.0,,,,,,,,,11.873049579336252,382.4428
195.0,,,,,,,,,12.976513224610576,390.2881
198.0,,,,,,,,,13.29739927565846,377.4387
201.0,,,,,,,,,14.05959606901266,376.4021
204.0,,,,,,,,,14.591847386013454,380.2329
207.0,,,,,,,,,15.141934322780251,395.4407
210.0,,,,,,,,,15.088541527567406,395.4752
213.0,,,,,,,,,15.198642159553986,393.1068
216.0,,,,,,,,,15.275860988251148,389.9301
219.0,,,,,,,,,15.15358911486129,378.2154
222.0,,,,,,,,,15.263405460127242,370.8977
225.0,,,,,,,,,15.506759022726053,374.5332
228.0,,,,,,,,,15.54694458341193,379.1309
231.0,,,,,,,,,15.650469041636027,387.3898
234.0,,,,,,,,,15.352554777062322,378.8596
237.0,,,,,,,,,15.599669990025818,380.0532
240.0,,,,,,,,,16.064823512013014,401.921
243.0,,,,,,,,,15.702123764901993,403.1693
246.0,,,,,,,,,15.385588900570262,386.3506
249.0,,,,,,,,,15.44271591183098,371.456
252.0,,,,,,,,,15.915396848101372,378.3058
255.0,,,,,,,,,15.720888089060017,375.6349
258.0,,,,,,,,,15.763892680017976,375.384
261.0,,,,,,,,,16.089078017678478,391.8865
264.0,,,,,,,,,15.80779130601348,396.1227
267.0,,,,,,,,,15.81474755812354,402.3509
270.0,,,,,,,,,15.432580719065264,390.6943
273.0,,,,,,,,,15.577197474246072,387.556
276.0,,,,,,,,,15.59386671193675,385.7985
279.0,,,,,,,,,15.676538809685448,387.9379
282.0,,,,,,,,,15.779675330392951,394.2615
285.0,,,,,,,,,15.70679473525251,395.2395
288.0,,,,,,,,,15.632662871701603,390.2366
291.0,,,,,,,,,15.675828584695472,384.8557
294.0,,,,,,,,,16.049956538339686,395.1403
297.0,,,,,,,,,15.947818624403975,397.6764
300.0,,,,,,,,,15.829823526083054,391.633
303.0,,,,,,,,,16.0481041659023,393.6616
306.0,,,,,,,,,16.11461053487899,396.1777
309.0,,,,,,,,,16.17367628739648,398.5954
312.0,,,,,,,,,15.975480529745708,388.0588
315.0,,,,,,,,,16.360222403761192,392.521
318.0,,,,,,,,,16.3561042820928,392.9276
321.0,,,,,,,,,16.808912072022025,411.5057
324.0,,,,,,,,,16.400541790978494,406.2365
327.0,,,,,,,,,16.334940407217346,394.7175
330.0,,,,,,,,,16.723790828882827,399.5715
333.0,,,,,,,,,16.673383623828208,400.7231
336.0,,,,,,,,,16.802870675453047,407.9737
339.0,,,,,,,,,16.815939684627082,416.8621
342.0,,,,,,,,,16.48614041703104,410.9764
345.0,,,,,,,,,16.29798769850695,397.9936
348.0,,,,,,,,,16.654417610301234,404.3143
351.0,,,,,,,,,16.53026368276659,406.1056
354.0,,,,,,,,,16.634582609814135,413.8418
357.0,,,,,,,,,16.33060216938577,406.1976
360.0,,,,,,,,,16.6748786710557,414.3674
363.0,,,,,,,,,16.63289266453491,418.2108
366.0,,,,,,,,,16.47948295689037,411.2834
369.0,,,,,,,,,16.475360376838875,400.8241
372.0,,,,,,,,,16.629100002530215,394.3325
375.0,,,,,,,,,17.051971484821273,404.4847
378.0,,,,,,,,,16.977780272974524,408.2511
381.0,,,,,,,,,17.15297199572003,418.4073
384.0,,,,,,,,,16.520893788693165,396.817
387.0,,,,,,,,,16.990019874767594,397.507
390.0,,,,,,,,,17.420441241188044,419.5992
393.0,,,,,,,,,16.962125699640964,420.9372
396.0,,,,,,,,,16.8506895218456,418.3824
399.0,,,,,,,,,16.96456983383589,423.0828
402.0,,,,,,,,,17.069621894300127,434.4765
405.0,,,,,,,,,16.80146713501135,432.8814
408.0,,,,,,,,,16.79182905156825,430.8649
411.0,,,,,,,,,16.612505546048045,419.3528
414.0,,,,,,,,,16.85200004825692,419.057
417.0,,,,,,,,,16.772453778786893,413.6758
420.0,,,,,,,,,17.006991386774082,418.4009
423.0,,,,,,,,,16.977674979074084,419.8596
426.0,,,,,,,,,17.09887814967125,424.9379
429.0,,,,,,,,,16.953362851879383,419.6432
432.0,,,,,,,,,17.207876277586095,422.9283
435.0,,,,,,,,,17.368376981141232,429.3567
438.0,,,,,,,,,17.404065423760215,432.1238
441.0,,,,,,,,,17.31035171699544,424.5433
444.0,,,,,,,,,17.8415019214608,437.3416
447.0,,,,,,,,,17.427732427141432,424.6389
450.0,,,,,,,,,17.880380363703004,429.2829
453.0,,,,,,,,,17.9472075415431,433.3102
456.0,,,,,,,,,17.784814878149493,426.4105
459.0,,,,,,,,,18.026977812168823,428.6599
462.0,,,,,,,,,18.42503143206975,448.4321
465.0,,,,,,,,,18.20011812736205,456.0531
468.0,,,,,,,,,17.917203991786316,448.4927
471.0,,,,,,,,,17.854549016246924,437.4918
474.0,,,,,,,,,17.945803169634125,431.0887
477.0,,,,,,,,,18.28355533105056,441.5826
480.0,,,,,,,,,18.14294881688287,446.7048
483.0,,,,,,,,,17.866369357999943,440.2863
486.0,,,,,,,,,17.97188444592709,441.7615
489.0,,,,,,,,,18.10803996003996,453.1537
492.0,,,,,,,,,17.64950508415356,444.5222
495.0,,,,,,,,,17.618524851985097,436.8478
498.0,,,,,,,,,17.781115305547335,438.5232
501.0,,,,,,,,,17.83204627760926,442.6645
504.0,,,,,,,,,17.892190979399956,448.3461
507.0,,,,,,,,,17.91326263938165,452.3887
510.0,,,,,,,,,17.8633746063726,450.4107
