Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-3.3,0.0,0.0
3.0,,,,,,,,,0.0,-3.4,0.0,0.0
6.0,,,,,,,,,0.0,-5.4,0.0,0.0
9.0,,,,,,,,,0.111,9.2,0.19,-0.003
12.0,,,,,,,,,0.101,89.1,1.97,0.031
15.0,,,,,,,,,0.093,214.9,2.58,0.039
18.0,,,,,,,,,0.086,296.2,3.01,0.044
21.0,,,,,,,,,0.079,333.5,3.42,0.048
24.0,,,,,,,,,0.073,353.4,3.89,0.048
27.0,,,,,,,,,0.068,364.6,4.36,0.052
30.0,,,,,,,,,0.064,382.9,4.73,0.053
33.0,,,,,,,,,0.061,377.9,4.94,0.049
36.0,,,,,,,,,0.058,372.1,5.19,0.052
39.0,,,,,,,,,0.054,372.7,6.1,0.045
42.0,,,,,,,,,0.05,405.3,7.75,0.05
45.0,,,,,,,,,0.048,539.6,10.91,0.059
48.0,,,,,,,,,0.045,749.8,14.04,0.065
51.0,,,,,,,,,0.043,977.7,15.49,0.059
54.0,,,,,,,,,0.041,1059.1,12.95,0.048
57.0,,,,,,,,,0.039,899.1,9.31,0.033
60.0,,,,,,,,,0.039,611.8,5.59,0.035
63.0,,,,,,,,,0.039,322.8,3.48,0.049
66.0,,,,,,,,,0.039,122.2,2.44,0.062
69.0,,,,,,,,,0.039,30.4,1.83,0.053
72.0,,,,,,,,,0.039,-4.3,1.46,0.058
75.0,,,,,,,,,0.033,-11.1,1.38,0.045
78.0,,,,,,,,,0.028,-9.0,1.39,0.028
81.0,,,,,,,,,0.022,-8.4,1.5,0.019
84.0,,,,,,,,,0.017,-9.8,1.81,0.021
87.0,,,,,,,,,0.01,-6.3,2.74,0.0
90.0,,,,,,,,,0.004,-6.8,0.0,0.0
93.0,,,,,,,,,0.0,-7.1,0.0,0.0
96.0,,,,,,,,,0.0,-5.2,0.0,0.0
