Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.19,,,,,,,0.0,0.0,0.0
3.0,,1.001,,,,,,,0.103,0.58,0.014
6.0,,1.8719999999999999,,,,,,,0.102,0.59,0.01
9.0,,2.322,,,,,,,0.098,5.25,0.122
12.0,,2.457,,,,,,,0.096,5.37,0.13
15.0,,2.446,,,,,,,0.093,5.68,0.134
18.0,,2.4280000000000004,,,,,,,0.09,6.16,0.149
21.0,,2.492,,,,,,,0.086,7.03,0.173
24.0,,2.648,,,,,,,0.082,7.73,0.164
27.0,,2.907,,,,,,,0.077,7.17,0.134
30.0,,3.0760000000000005,,,,,,,0.073,7.3,0.132
33.0,,2.693,,,,,,,0.071,7.91,0.139
36.0,,2.4290000000000003,,,,,,,0.067,8.86,0.128
39.0,,2.632,,,,,,,0.065,9.85,0.124
42.0,,2.932,,,,,,,0.062,11.27,0.116
45.0,,3.189,,,,,,,0.059,12.67,0.082
48.0,,3.437,,,,,,,0.057,13.24,0.062
51.0,,3.7760000000000002,,,,,,,0.054,13.85,0.071
54.0,,3.813,,,,,,,0.052,13.95,0.071
57.0,,3.7119999999999997,,,,,,,0.051,14.27,0.063
60.0,,3.6860000000000004,,,,,,,0.047,15.93,0.074
63.0,,3.551,,,,,,,0.047,15.05,0.085
66.0,,3.672,,,,,,,0.046,14.11,0.108
69.0,,3.557,,,,,,,0.041,12.21,0.102
72.0,,3.1430000000000002,,,,,,,0.038,10.17,0.086
75.0,,2.261,,,,,,,0.034,8.29,0.117
78.0,,1.2890000000000001,,,,,,,0.029,6.91,0.079
81.0,,0.604,,,,,,,0.028,5.31,0.092
84.0,,0.22399999999999998,,,,,,,0.025,4.6,0.069
87.0,,-0.013999999999999999,,,,,,,0.023,4.04,0.1
90.0,,-0.06,,,,,,,0.021,3.84,0.116
93.0,,-0.035,,,,,,,0.019,3.93,0.115
96.0,,-0.055999999999999994,,,,,,,0.017,0.0,0.0
99.0,,-0.075,,,,,,,0.015,0.0,0.0
102.0,,-0.013999999999999999,,,,,,,0.012,0.0,0.0
105.0,,-0.021,,,,,,,0.01,0.0,0.0
108.0,,-0.054000000000000006,,,,,,,0.008,0.0,0.0
111.0,,-0.021,,,,,,,0.005,0.0,0.0
114.0,,-0.028999999999999998,,,,,,,0.005,0.0,0.0
117.0,,-0.06,,,,,,,0.004,0.0,0.0
