Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.7,0.0,0.0
5.0,,,,,,,,,0.0,-1.4,0.0,0.0
10.0,,,,,,,,,0.0,-0.2,0.0,0.0
15.0,,,,,,,,,0.0,1.2,0.0,0.0
20.0,,,,,,,,,0.0,0.2,0.0,0.0
25.0,,,,,,,,,0.0,0.9,0.0,0.0
30.0,,,,,,,,,0.0,-0.2,0.0,0.0
35.0,,,,,,,,,0.028,0.9,0.88,0.035
40.0,,,,,,,,,0.06,61.8,1.13,0.143
45.0,,,,,,,,,0.105,168.6,1.18,0.166
50.0,,,,,,,,,0.091,101.7,1.18,0.123
55.0,,,,,,,,,0.063,56.4,1.36,0.094
60.0,,,,,,,,,0.031,33.3,2.21,0.103
65.0,,,,,,,,,0.008,14.4,6.49,0.267
70.0,,,,,,,,,0.003,1.2,125.95,3.522
75.0,,,,,,,,,0.003,-2.6,95.22,2.376
80.0,,,,,,,,,0.003,0.2,86.55,4.85
85.0,,,,,,,,,0.003,1.4,86.1,4.227
90.0,,,,,,,,,0.001,-0.2,86.17,3.697
95.0,,,,,,,,,0.005,-0.2,85.43,2.902
100.0,,,,,,,,,0.008,-1.9,2.99,0.16
105.0,,,,,,,,,0.009,0.2,2.63,0.098
110.0,,,,,,,,,0.007,0.9,3.4,0.182
115.0,,,,,,,,,0.001,3.3,85.38,3.969
120.0,,,,,,,,,0.009,1.9,2.56,0.078
125.0,,,,,,,,,0.023,1.9,1.07,0.023
130.0,,,,,,,,,0.012,0.0,2.17,0.107
