Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.7,0.0,0.0
3.0,,,,,,,,,0.0,-2.2,0.0,0.0
6.0,,,,,,,,,0.0,-1.3,0.0,0.0
9.0,,,,,,,,,0.0,-1.3,0.0,0.0
12.0,,,,,,,,,0.0,-2.6,0.0,0.0
15.0,,,,,,,,,0.0,-2.2,0.0,0.0
18.0,,,,,,,,,0.0,-1.5,0.0,0.0
21.0,,,,,,,,,0.0,-1.5,0.0,0.0
24.0,,,,,,,,,0.0,0.0,0.0,0.0
27.0,,,,,,,,,0.0,-1.3,0.0,0.0
30.0,,,,,,,,,0.0,-1.5,0.0,0.0
33.0,,,,,,,,,0.0,-1.5,0.0,0.0
36.0,,,,,,,,,0.0,-0.6,0.0,0.0
39.0,,,,,,,,,0.118,2.7,0.57,0.025
42.0,,,,,,,,,0.119,30.7,1.23,0.022
45.0,,,,,,,,,0.121,89.0,1.38,0.021
48.0,,,,,,,,,0.121,131.8,1.42,0.02
51.0,,,,,,,,,0.121,156.8,1.43,0.02
54.0,,,,,,,,,0.123,165.7,1.39,0.02
57.0,,,,,,,,,0.123,166.4,1.38,0.02
60.0,,,,,,,,,0.123,166.7,1.36,0.02
63.0,,,,,,,,,0.123,163.1,1.35,0.02
66.0,,,,,,,,,0.122,159.4,1.35,0.02
69.0,,,,,,,,,0.121,156.8,1.32,0.02
72.0,,,,,,,,,0.12,153.4,1.32,0.02
75.0,,,,,,,,,0.119,149.9,1.33,0.021
78.0,,,,,,,,,0.119,147.9,1.29,0.02
81.0,,,,,,,,,0.118,145.2,1.32,0.021
84.0,,,,,,,,,0.118,144.3,1.3,0.021
87.0,,,,,,,,,0.117,142.5,1.29,0.021
90.0,,,,,,,,,0.116,141.1,1.28,0.021
93.0,,,,,,,,,0.116,138.0,1.27,0.021
96.0,,,,,,,,,0.115,135.3,1.25,0.021
99.0,,,,,,,,,0.115,131.9,1.26,0.021
102.0,,,,,,,,,0.115,133.5,1.26,0.021
105.0,,,,,,,,,0.115,131.8,1.22,0.021
108.0,,,,,,,,,0.114,128.6,1.22,0.022
111.0,,,,,,,,,0.114,126.1,1.17,0.022
114.0,,,,,,,,,0.114,122.8,1.24,0.022
117.0,,,,,,,,,0.113,123.2,1.21,0.022
120.0,,,,,,,,,0.112,122.8,1.21,0.022
123.0,,,,,,,,,0.112,122.3,1.18,0.022
126.0,,,,,,,,,0.112,119.6,1.16,0.022
129.0,,,,,,,,,0.112,117.5,1.18,0.022
132.0,,,,,,,,,0.111,116.3,1.14,0.022
135.0,,,,,,,,,0.11,114.0,1.15,0.022
138.0,,,,,,,,,0.109,113.6,1.16,0.022
141.0,,,,,,,,,0.109,112.4,1.13,0.023
144.0,,,,,,,,,0.108,111.7,1.14,0.023
147.0,,,,,,,,,0.108,109.3,1.09,0.023
150.0,,,,,,,,,0.108,106.2,1.1,0.023
153.0,,,,,,,,,0.107,102.9,1.1,0.023
156.0,,,,,,,,,0.106,102.4,1.09,0.023
159.0,,,,,,,,,0.106,102.6,1.12,0.024
162.0,,,,,,,,,0.105,101.9,1.1,0.024
165.0,,,,,,,,,0.105,102.1,1.09,0.024
168.0,,,,,,,,,0.105,99.2,1.09,0.024
171.0,,,,,,,,,0.105,98.0,1.08,0.024
174.0,,,,,,,,,0.104,99.5,1.09,0.024
177.0,,,,,,,,,0.105,98.4,1.06,0.024
180.0,,,,,,,,,0.105,95.6,1.05,0.024
