Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,471.31,,0.0276,,,,,,0.0,-0.51,0.004,0.0,0.0,1e-05,0.0001
5.0,471.41,,0.0278,,,,,,0.0,0.0,0.004,0.0,0.0,1e-05,0.0001
10.0,471.4,,0.0277,,,,,,0.0,0.51,13.849,0.0,0.0,0.02786,0.5294
15.0,471.42,,0.0277,,,,,,0.0,-0.51,3.746,0.0,0.0,0.0,0.2577
20.0,471.41,,0.0278,,,,,,0.0,0.51,2.854,0.0,0.03177,0.0,0.2782
25.0,471.41,,0.0275,,,,,,0.0,0.5,5.053,0.0,0.4646,0.01165,0.6616
30.0,471.39,,0.0277,,,,,,0.0,0.0,4.26,0.0,1.29753,0.00825,0.6844
35.0,471.4,,0.0277,,,,,,0.0,0.0,2.083,0.0,0.32812,0.0,0.3708
40.0,471.39,,0.0277,,,,,,0.0,0.51,1.104,0.0,0.00783,0.0001,0.2391
45.0,471.37,,0.0275,,,,,,0.0,0.0,0.971,0.0,0.2605,0.00192,0.2539
50.0,471.34,,0.0276,,,,,,0.0,0.0,1.236,0.0,0.48515,0.0,0.3071
55.0,471.33,,0.0276,,,,,,0.0,-0.51,1.039,0.0,0.24952,0.00162,0.2691
60.0,471.31,,0.0276,,,,,,0.0,0.0,1.135,0.0,0.50069,0.0,0.2851
65.0,471.29,,0.0278,,,,,,0.0,-0.51,0.769,0.0,0.13492,0.00086,0.1992
70.0,471.27,,0.0278,,,,,,285.8,0.0,0.388,0.0,0.03617,0.0,0.1041
75.0,471.21,,0.0276,,,,,,380.3,0.0,0.33,0.0,0.10571,0.0,0.079
80.0,471.12,,0.0276,,,,,,464.0,0.51,0.287,0.0,0.06586,0.00027,0.0783
85.0,471.04,,0.0277,,,,,,508.1,0.0,0.3,0.0,0.06119,0.0,0.0741
90.0,470.95,,0.0276,,,,,,530.8,-0.51,0.273,0.0,0.0604,1e-05,0.0679
95.0,470.81,,0.0276,,,,,,601.1,0.0,0.223,0.0,0.03896,0.0,0.0698
100.0,470.68,,0.0276,,,,,,576.7,0.0,0.218,0.009,0.06461,0.00012,0.0666
105.0,470.54,,0.0276,,,,,,601.7,0.0,0.35,0.008,0.07004,0.0,0.0647
110.0,470.34,,0.0276,,,,,,537.9,1.51,0.489,0.015,0.0751,6e-05,0.0676
115.0,470.18,,0.0273,,,,,,508.0,3.5,0.45,0.012,0.07085,4e-05,0.0593
120.0,469.98,,0.0275,,,,,,369.6,3.52,0.969,0.013,0.04841,0.0,0.0328
125.0,469.65,,0.0272,,,,,,273.2,1.99,1.083,0.007,0.02289,0.0,0.0182
130.0,468.83,,0.026,,,,,,709.8,7.15,0.911,0.027,0.02403,0.0,0.0145
135.0,467.72,,0.0258,,,,,,981.0,14.63,0.852,0.026,0.03182,3e-05,0.0177
140.0,466.68,,0.0257,,,,,,1168.5,13.18,0.827,0.068,0.0581,3e-05,0.0473
