Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,292.3,,,,,,,,,,,,,
5.0,292.3,,,,,,,,,,,,,
10.0,292.211,,,,,,,,,,,,,
15.0,292.567,,,,,,,,,,,,,
20.0,292.122,,,,,,,,,,,,,
25.0,292.478,,,,,,,,,,,,,
30.0,292.567,,,,,,,,,,,,,
35.0,292.122,,,,,,,,,,,,,
40.0,292.478,,,,,,,,,,,,,
45.0,292.478,,,,,,,,,,,,,
50.0,292.389,,,,,,,,,,,,,
55.0,292.389,0.00445,,,,,,,74.0,0.97,0.0006,1.5371,0.0009,
60.0,291.677,0.00979,,,,,,,86.0,1.43,0.0014,1.1682,0.0005,
65.0,291.855,0.4717,,,,,,,99.0,1.3,0.001,0.8338,0.0004,
70.0,291.05400000000003,1.07067,,,,,,,111.0,1.33,0.002,0.8247,0.0004,
75.0,290.431,1.3884,,,,,,,123.0,1.08,0.0015,0.6189,0.0003,
80.0,290.075,1.49965,,,,,,,135.0,1.23,0.003,0.6808,0.0003,
85.0,289.452,1.57352,,,,,,,148.0,1.38,0.0033,0.756,0.0004,
90.0,289.096,1.59577,,,,,,,175.0,1.15,0.0043,0.6004,0.0003,
95.0,288.74,1.6082299999999998,,,,,,,197.0,1.26,0.0048,0.6576,0.0003,
100.0,287.85,1.60378,,,,,,,227.0,1.28,0.0068,0.6712,0.0004,
105.0,287.761,1.58064,,,,,,,246.0,1.15,0.0063,0.6076,0.0003,
110.0,287.31600000000003,1.53436,,,,,,,254.0,1.25,0.0084,0.6277,0.0004,
115.0,286.515,1.5486,,,,,,,262.0,1.22,0.0082,0.6417,0.0003,
120.0,286.159,1.51923,,,,,,,257.0,1.14,0.0089,0.6439,0.0003,
125.0,285.981,1.47384,,,,,,,254.0,1.2,0.0096,0.6677,0.0004,
130.0,285.269,1.4329,,,,,,,260.0,1.1,0.0089,0.5623,0.0003,
135.0,284.824,1.40264,,,,,,,271.0,1.18,0.0098,0.6426,0.0004,
140.0,284.379,1.38573,,,,,,,271.0,1.56,0.0125,0.8253,0.0005,
