Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.631,,,,,,,394.0,0.2029,1.38,0.0041,0.5227,0.0001,
5.0,,3.387,,,,,,,373.0,0.2604,1.12,0.003,0.4031,0.0032,
10.0,,4.458,,,,,,,352.0,0.2161,1.37,0.0124,0.7184,0.0055,
15.0,,4.514,,,,,,,330.0,0.2344,1.27,0.011,1.8727,0.0063,
20.0,,4.388,,,,,,,309.0,0.2962,3.28,0.0146,1.933,0.0044,
25.0,,6.381,,,,,,,287.0,0.3956,,0.0095,1.0163,0.0018,
30.0,,14.316,,,,,,,266.0,0.4343,2.15,0.0094,0.3894,0.0008,
35.0,,15.778,,,,,,,311.0,0.3434,1.26,0.0118,0.2221,0.0008,
40.0,,11.693,,,,,,,1907.0,0.192,0.89,0.0233,0.2391,0.0012,
45.0,,5.0360000000000005,,,,,,,1797.0,0.0012,0.85,0.0796,0.4827,0.0033,
50.0,,1.699,,,,,,,,0.0023,,,,,
55.0,,0.497,,,,,,,,0.0047,,,,,
60.0,,0.271,,,,,,,,-0.0066,,,,,
65.0,,0.186,,,,,,,,0.0178,,,,,
70.0,,0.147,,,,,,,,-0.0022,,,,,
75.0,,0.102,,,,,,,,0.0014,,,,,
80.0,,0.077,,,,,,,,-0.0083,,,,,
85.0,,0.055,,,,,,,,0.0032,,,,,
90.0,,0.047,,,,,,,,-0.0064,,,,,
95.0,,0.038,,,,,,,,0.0070999999999999,,,,,
100.0,,0.017,,,,,,,,-0.0059,,,,,
105.0,,0.022,,,,,,,,0.0102,,,,,
110.0,,0.016,,,,,,,,0.0156,,,,,
115.0,,0.009,,,,,,,,0.01,,,,,
120.0,,0.023,,,,,,,2.0,-0.0053,,,,,
125.0,,0.01,,,,,,,1.0,-0.0111,,,,,
130.0,,0.013,,,,,,,,0.0481,,,,,
135.0,,0.013,,,,,,,,-0.0392,0.25,,,0.0009,
140.0,,0.012,,,,,,,,0.0506,,,,,
145.0,,0.0,,,,,,,,,0.2,,,0.0009,
