Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.006,,,,,,,0.0,0.0,13.78,0.0029,0.0,0.3186,0.0088
5.0,,0.004,,,,,,,0.0,0.0,15.35,0.0029,0.0,0.3155,0.0031
10.0,,0.03,,,,,,,0.0,-0.0053,14.09,0.0029,0.0,0.3193,0.0
15.0,,0.005,,,,,,,175.89,0.0016,8.84,0.0018,0.0,0.2175,0.0038
20.0,,0.013999999999999999,,,,,,,0.0,-0.0002,14.28,0.0029,0.0,0.3585,0.009
25.0,,0.005,,,,,,,311.47,0.003,4.98,0.001,0.0,0.1216,0.0018
30.0,,0.009000000000000001,,,,,,,106.12,0.0004,31.06,0.0065,0.0,0.8289,0.0052
35.0,,0.008,,,,,,,0.0,-0.0044,15.4,0.0029,0.0,0.3871,0.0
40.0,,0.004,,,,,,,0.0,-0.0061,15.26,0.0029,0.0,0.4036,0.0011
45.0,,0.017,,,,,,,449.34,0.0036,4.54,0.0007,0.0997,0.1133,0.0
50.0,,0.004,,,,,,,833.93,0.0023,7.64,0.0013,0.0,0.1871,0.0
55.0,,0.015,,,,,,,172.15,0.0047,3.85,0.0006,0.0,0.0958,0.0008
60.0,,0.013999999999999999,,,,,,,307.12,0.0034999999999999996,5.14,0.0008,0.0,0.1469,0.0018
65.0,,0.017,,,,,,,135.68,0.004,4.77,0.0007,0.0,0.1884,0.0023
70.0,,0.006999999999999999,,,,,,,243.81,0.0067,2.71,0.0044,0.1333,0.2302,0.0014
75.0,,0.006999999999999999,,,,,,,211.56,0.0223,1.03,0.0,1.4799,0.2272,0.0003
80.0,,0.07200000000000001,,,,,,,241.98,0.0789,0.7,0.0011,0.6513,0.1665,0.0
85.0,,0.434,,,,,,,534.34,0.15130000000000002,0.54,0.001,0.4095,0.1154,0.0
90.0,,1.426,,,,,,,1420.72,0.1956,0.48,0.0105,0.3122,0.1532,0.0
95.0,,1.7650000000000001,,,,,,,1605.1,0.22390000000000002,0.46,0.0094,0.2818,0.174,0.0
100.0,,2.168,,,,,,,1956.92,0.2403,0.42,0.0241,0.2488,0.2278,0.0
105.0,,2.169,,,,,,,1977.98,0.2495,0.39,0.023,0.2571,0.2608,0.0
110.0,,2.113,,,,,,,2196.87,0.2646,0.38,0.0323,0.296,0.3055,0.0
115.0,,2.053,,,,,,,2085.64,0.28350000000000003,0.42,0.03,0.2916,0.3076,0.0
120.0,,2.272,,,,,,,2035.97,0.3004,0.41,0.036,0.2701,0.2849,0.0
125.0,,2.669,,,,,,,2196.89,0.30670000000000003,0.42,0.0357,0.2724,0.311,0.0
130.0,,2.56,,,,,,,2366.71,0.31010000000000004,0.43,0.0378,0.288,0.3012,0.0
135.0,,2.71,,,,,,,2252.8,0.317,0.44,0.0371,0.2854,0.3023,0.0
140.0,,2.838,,,,,,,2390.31,0.3171,0.49,0.0387,0.2932,0.307,0.0
145.0,,3.029,,,,,,,2516.24,0.317,0.5,0.0385,0.3071,0.2903,0.0
150.0,,3.1630000000000003,,,,,,,2477.23,0.3195,0.49,0.0408,0.3072,0.3005,0.0
155.0,,3.147,,,,,,,2401.63,0.32,0.51,0.0418,0.2847,0.2968,0.0
160.0,,3.108,,,,,,,2408.38,0.313,0.5,0.0434,0.2849,0.3127,0.0
165.0,,3.0789999999999997,,,,,,,2464.59,0.3028,0.55,0.0444,0.2843,0.3052,0.0
170.0,,3.1380000000000003,,,,,,,2604.62,0.2938,0.56,0.0461,0.287,0.2796,0.0
175.0,,3.2039999999999997,,,,,,,2654.0,0.2786,0.57,0.0478,0.3002,0.3125,0.0
180.0,,2.989,,,,,,,2839.28,0.2559,0.59,0.0476,0.2999,0.2984,0.0
185.0,,2.8760000000000003,,,,,,,2949.01,0.2349,0.67,0.0537,0.28,0.3265,0.0
190.0,,2.753,,,,,,,3008.24,0.21989999999999998,0.72,0.05,0.2691,0.2848,0.0
195.0,,2.81,,,,,,,2967.63,0.1967,0.81,0.0556,0.2744,0.248,0.0
200.0,,2.773,,,,,,,3237.23,0.1618,0.97,0.0518,0.3153,0.2727,0.0
205.0,,2.6069999999999998,,,,,,,3498.84,0.1245,1.24,0.0615,0.3815,0.2531,0.0001
210.0,,2.46,,,,,,,3432.48,0.0983,1.46,0.0579,0.4009,0.2403,0.0001
215.0,,2.218,,,,,,,3305.07,0.0842,1.52,0.0772,0.3224,0.2001,0.0
220.0,,1.9480000000000002,,,,,,,3422.32,0.06230000000000001,1.76,0.0703,0.3302,0.1944,0.0001
225.0,,1.6769999999999998,,,,,,,4894.34,0.0338,2.56,0.1071,0.4546,0.2615,0.0002
230.0,,1.244,,,,,,,5913.73,0.0173,3.59,0.1072,0.5625,0.4049,0.0
235.0,,0.845,,,,,,,6433.92,0.0091,4.82,0.3658,0.222,0.6555,0.0001
240.0,,0.512,,,,,,,2897.39,0.008,4.29,0.3659,0.0,0.6826,0.0
245.0,,0.344,,,,,,,946.38,0.0089,3.64,0.3305,0.0,0.549,0.0
250.0,,0.305,,,,,,,884.2,0.0037,8.48,0.0,1.0351,1.228,0.0015
255.0,,0.303,,,,,,,329.18,0.0062,4.96,0.0,1.019,0.6684,0.0
260.0,,0.303,,,,,,,302.2,0.005600000000000001,5.33,0.0,1.1021,0.6878,0.0
265.0,,0.313,,,,,,,0.0,0.0038,7.86,0.2467,0.7116,0.957,0.0
270.0,,0.318,,,,,,,173.0,0.0053,5.52,0.7559,0.0,0.6513,0.0011
275.0,,0.322,,,,,,,60.98,0.0078000000000000005,3.84,0.5119,0.0,0.4176,0.0005
280.0,,0.318,,,,,,,48.14,0.01,2.89,0.3782,0.1775,0.3129,0.0005
285.0,,0.316,,,,,,,73.48,0.015,1.99,0.2426,0.204,0.198,0.0001
290.0,,0.331,,,,,,,56.6,0.0122,2.46,0.4034,0.0,0.2324,0.0
295.0,,0.32299999999999995,,,,,,,19.36,0.008100000000000001,3.76,0.6129,0.0,0.3394,0.0003
300.0,,0.32299999999999995,,,,,,,383.89,0.0034000000000000002,9.07,1.4937,0.0,0.7725,0.0008
305.0,,0.327,,,,,,,162.09,0.008100000000000001,3.91,0.5755,0.0763,0.3099,0.0003
310.0,,0.313,,,,,,,65.0,0.015300000000000001,2.08,0.2231,0.3394,0.1572,0.0003
315.0,,0.31,,,,,,,51.77,0.0096,3.35,0.0684,0.8729,0.2413,0.0
320.0,,0.325,,,,,,,0.0,0.0077,4.26,0.3284,0.5104,0.2918,0.0
325.0,,0.317,,,,,,,141.34,0.0062,5.49,0.2243,0.7278,0.3466,0.0003
330.0,,0.32799999999999996,,,,,,,187.27,0.0062,5.63,0.6351,0.2141,0.3374,0.0004
335.0,,0.331,,,,,,,95.53,0.0098,3.57,0.473,0.0725,0.2064,0.0006
340.0,,0.32799999999999996,,,,,,,77.0,0.013999999999999999,2.47,0.3216,0.0,0.1412,0.0
345.0,,0.326,,,,,,,0.0,0.013200000000000002,2.5,0.3397,0.0,0.1446,0.0
350.0,,0.306,,,,,,,54.49,0.0083,3.8,0.3332,0.2987,0.2224,0.0
355.0,,0.289,,,,,,,74.23,0.01,3.1,0.3715,0.065,0.1805,0.0
360.0,,0.29,,,,,,,1.04,0.0124,2.38,0.2536,0.1208,0.1413,0.0003
