Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
6.0,,,,,,,,,,,,
12.0,,,,,,,,,0.011,0.2,1.89,0.051
18.0,,,,,,,,,0.011,0.8,9.0,1.373
24.0,,,,,,,,,0.087,225.2,2.57,0.227
30.0,,,,,,,,,0.14,323.5,1.41,0.071
36.0,,,,,,,,,0.128,149.9,1.1,0.084
42.0,,,,,,,,,0.108,127.4,1.22,0.132
48.0,,,,,,,,,0.103,137.5,1.19,0.106
54.0,,,,,,,,,0.087,112.2,1.31,0.095
60.0,,,,,,,,,0.074,101.8,1.52,0.094
66.0,,,,,,,,,0.067,102.9,1.69,0.083
72.0,,,,,,,,,0.059,99.7,1.82,0.081
78.0,,,,,,,,,0.049,85.4,2.05,0.091
84.0,,,,,,,,,0.039,73.6,2.35,0.097
90.0,,,,,,,,,0.031,63.1,2.68,0.112
96.0,,,,,,,,,0.026,51.3,2.98,0.144
102.0,,,,,,,,,0.024,45.7,3.08,0.162
108.0,,,,,,,,,0.019,42.2,3.49,0.202
114.0,,,,,,,,,0.018,39.7,3.62,0.23
120.0,,,,,,,,,0.019,37.9,3.37,0.219
126.0,,,,,,,,,0.019,37.9,3.29,0.278
132.0,,,,,,,,,0.017,34.4,3.67,0.289
138.0,,,,,,,,,0.011,32.5,5.18,0.384
144.0,,,,,,,,,0.01,30.3,5.74,0.385
150.0,,,,,,,,,0.016,30.7,3.61,0.269
156.0,,,,,,,,,0.018,29.0,3.4,0.248
162.0,,,,,,,,,0.013,29.9,4.46,0.275
168.0,,,,,,,,,0.011,30.2,5.49,0.354
174.0,,,,,,,,,0.012,28.7,4.82,0.32
180.0,,,,,,,,,0.014,28.7,4.1,0.25
186.0,,,,,,,,,0.012,26.0,4.61,0.283
192.0,,,,,,,,,0.013,25.5,4.19,0.268
198.0,,,,,,,,,0.015,25.2,3.59,0.226
204.0,,,,,,,,,0.012,24.8,4.61,0.31
210.0,,,,,,,,,0.01,23.5,5.16,0.361
216.0,,,,,,,,,0.014,25.4,3.94,0.255
222.0,,,,,,,,,0.014,24.2,3.7,0.234
228.0,,,,,,,,,0.014,22.8,3.74,0.232
234.0,,,,,,,,,0.014,20.8,3.83,0.201
240.0,,,,,,,,,0.011,20.9,4.73,0.291
