Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,23.24,0.0,96.8372,0.0,0.0011
5.0,,,,,,,,,0.0,0.0,0.0,99.99,0.0,99.99,0.0153,0.0
10.0,,,,,,,,,0.0,0.0,75.5,99.99,0.0,99.99,3.9652,0.0014
15.0,,,,,,,,,858.72,28.35,284.0,0.72,0.0038,0.5144,0.0836,0.0
20.0,,,,,,,,,1301.18,25.81,382.4,0.7,0.0212,0.4796,0.0753,0.0
25.0,,,,,,,,,1741.22,20.0,387.0,0.79,0.026,0.5082,0.0775,0.0
30.0,,,,,,,,,2046.03,15.37,347.7,0.86,0.0469,0.5453,0.0619,0.0
35.0,,,,,,,,,2170.57,12.31,292.2,0.93,0.0559,0.5741,0.0441,0.0
40.0,,,,,,,,,2159.99,9.37,240.2,1.06,0.0702,0.5929,0.0331,0.0
45.0,,,,,,,,,1987.02,7.79,198.4,1.12,0.0808,0.6158,0.0239,0.0
50.0,,,,,,,,,1657.32,6.7,161.3,1.15,0.0824,0.544,0.0192,0.0
55.0,,,,,,,,,1653.42,4.78,132.0,1.44,0.0554,0.7899,0.0211,0.0001
60.0,,,,,,,,,1480.59,3.9,114.3,1.67,0.0382,0.8154,0.0249,0.0001
65.0,,,,,,,,,1016.82,4.26,98.4,1.5,0.0588,0.693,0.0221,0.0
70.0,,,,,,,,,856.03,4.34,91.0,1.43,0.0497,0.6156,0.0206,0.0
75.0,,,,,,,,,760.85,3.84,86.6,1.57,0.0364,0.7517,0.0255,0.0
80.0,,,,,,,,,724.64,3.71,83.7,1.66,0.0291,0.7743,0.0303,0.0
85.0,,,,,,,,,647.45,4.02,81.3,1.52,0.0327,0.7246,0.0202,0.0
90.0,,,,,,,,,679.93,3.88,83.0,1.54,0.0331,0.7255,0.0264,0.0
95.0,,,,,,,,,545.51,4.02,80.4,1.55,0.0287,0.7534,0.022,0.0
100.0,,,,,,,,,533.04,4.92,81.9,1.28,0.0298,0.6877,0.0198,0.0
105.0,,,,,,,,,620.29,4.76,85.2,1.35,0.0312,0.6812,0.0175,0.0001
110.0,,,,,,,,,669.53,4.29,88.2,1.52,0.0165,0.852,0.0191,0.0
115.0,,,,,,,,,592.67,5.05,90.6,1.38,0.0245,0.7411,0.0134,0.0001
120.0,,,,,,,,,604.33,5.45,96.6,1.28,0.0254,0.7185,0.0115,0.0001
125.0,,,,,,,,,698.39,5.39,102.1,1.32,0.0253,0.7223,0.0116,0.0001
130.0,,,,,,,,,737.25,5.73,105.3,1.3,0.0223,0.7436,0.0112,0.0
135.0,,,,,,,,,860.34,5.9,111.2,1.32,0.018,0.7872,0.0116,0.0
