Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.0,,,,,,,0.0,0.0,23.24,0.0,96.8372,0.0,0.0011
5.0,,0.0,,,,,,,0.0,0.0,99.99,0.0,99.99,0.0153,0.0
10.0,,0.755,,,,,,,0.0,0.0,99.99,0.0,99.99,3.9652,0.0014
15.0,,2.84,,,,,,,858.72,0.28350000000000003,0.72,0.0038,0.5144,0.0836,0.0
20.0,,3.824,,,,,,,1301.18,0.2581,0.7,0.0212,0.4796,0.0753,0.0
25.0,,3.87,,,,,,,1741.22,0.2,0.79,0.026,0.5082,0.0775,0.0
30.0,,3.477,,,,,,,2046.03,0.1537,0.86,0.0469,0.5453,0.0619,0.0
35.0,,2.922,,,,,,,2170.57,0.1231,0.93,0.0559,0.5741,0.0441,0.0
40.0,,2.402,,,,,,,2159.99,0.09369999999999999,1.06,0.0702,0.5929,0.0331,0.0
45.0,,1.9840000000000002,,,,,,,1987.02,0.0779,1.12,0.0808,0.6158,0.0239,0.0
50.0,,1.6130000000000002,,,,,,,1657.32,0.067,1.15,0.0824,0.544,0.0192,0.0
55.0,,1.32,,,,,,,1653.42,0.0478,1.44,0.0554,0.7899,0.0211,0.0001
60.0,,1.143,,,,,,,1480.59,0.039,1.67,0.0382,0.8154,0.0249,0.0001
65.0,,0.9840000000000001,,,,,,,1016.82,0.0426,1.5,0.0588,0.693,0.0221,0.0
70.0,,0.91,,,,,,,856.03,0.0434,1.43,0.0497,0.6156,0.0206,0.0
75.0,,0.866,,,,,,,760.85,0.0384,1.57,0.0364,0.7517,0.0255,0.0
80.0,,0.8370000000000001,,,,,,,724.64,0.0371,1.66,0.0291,0.7743,0.0303,0.0
85.0,,0.813,,,,,,,647.45,0.0402,1.52,0.0327,0.7246,0.0202,0.0
90.0,,0.8300000000000001,,,,,,,679.93,0.0388,1.54,0.0331,0.7255,0.0264,0.0
95.0,,0.804,,,,,,,545.51,0.0402,1.55,0.0287,0.7534,0.022,0.0
100.0,,0.8190000000000001,,,,,,,533.04,0.0492,1.28,0.0298,0.6877,0.0198,0.0
105.0,,0.8520000000000001,,,,,,,620.29,0.047599999999999996,1.35,0.0312,0.6812,0.0175,0.0001
110.0,,0.882,,,,,,,669.53,0.0429,1.52,0.0165,0.852,0.0191,0.0
115.0,,0.9059999999999999,,,,,,,592.67,0.050499999999999996,1.38,0.0245,0.7411,0.0134,0.0001
120.0,,0.966,,,,,,,604.33,0.0545,1.28,0.0254,0.7185,0.0115,0.0001
125.0,,1.021,,,,,,,698.39,0.053899999999999997,1.32,0.0253,0.7223,0.0116,0.0001
130.0,,1.053,,,,,,,737.25,0.057300000000000004,1.3,0.0223,0.7436,0.0112,0.0
