Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,,0.0,,,,,0.116
5.0,,,,,,,,,,0.0,,,,,0.0288
10.0,,,,,,,,,,0.0,,,,,0.0102
15.0,,,,,,,,,,0.0,,,,,0.0129
20.0,,,,,,,,,,0.0,,0.35,,,0.0188
25.0,,0.015,,,,,,,738.0,0.0152,1.42,0.75,0.002,3.5005,0.0192
30.0,,0.019,,,,,,,702.0,0.0703,1.02,1.36,0.0016,1.1741,0.0297
35.0,,0.27,,,,,,,665.0,0.084,1.06,1.18,0.0076,0.936,0.0268
40.0,,1.37,,,,,,,629.0,0.1138,1.01,0.86,0.0063,1.1955,0.0299
45.0,,2.369,,,,,,,593.0,0.1422,1.05,1.0,0.0182,0.7425,0.0237
50.0,,2.7960000000000003,,,,,,,556.0,0.1475,1.03,0.76,0.0176,0.6218,0.0194
55.0,,2.789,,,,,,,520.0,0.1465,1.12,0.82,0.0341,0.7125,0.0173
60.0,,2.543,,,,,,,599.0,0.1455,1.09,0.77,0.0343,0.6145,0.0181
65.0,,2.276,,,,,,,640.0,0.1486,1.15,0.84,0.0462,0.6402,0.0121
70.0,,2.1830000000000003,,,,,,,674.0,0.1437,1.06,0.86,0.0475,0.622,0.0139
75.0,,2.1790000000000003,,,,,,,676.0,0.1372,1.07,0.99,0.0566,0.6274,0.0107
80.0,,2.231,,,,,,,661.0,0.1272,1.09,0.94,0.0629,0.7266,0.0129
85.0,,2.097,,,,,,,630.0,0.1153,1.08,1.02,0.0606,0.7757,0.0108
90.0,,1.976,,,,,,,576.0,0.111,1.1,0.87,0.0595,0.761,0.0075
95.0,,2.04,,,,,,,521.0,0.1131,1.12,0.87,0.0479,0.6372,0.0099
100.0,,1.928,,,,,,,474.0,0.1231,1.11,0.87,0.0492,0.74,0.0072
105.0,,1.844,,,,,,,443.0,0.12,,0.94,0.0449,0.657,0.0074
110.0,,1.811,,,,,,,403.0,0.1158,1.02,0.95,0.0487,0.7556,0.0066
115.0,,1.73,,,,,,,364.0,0.1061999999999999,1.12,0.92,0.042,0.7209,0.0068
120.0,,1.641,,,,,,,335.0,0.1021,1.47,0.9,0.0416,0.7728,0.0042
125.0,,1.638,,,,,,,335.0,0.1032,1.39,0.8,0.0357,0.7174,0.0049
130.0,,1.636,,,,,,,304.0,0.1011,,0.83,0.035,0.7665,0.0048
135.0,,1.564,,,,,,,278.0,0.1021,,0.86,0.0308,0.7337,0.0044
140.0,,1.481,,,,,,,251.0,0.098,,0.83,0.0324,0.7819,0.0053
145.0,,1.422,,,,,,,226.0,0.0926,,0.8,0.0258,0.7922,0.0053
150.0,,1.4369999999999998,,,,,,,208.0,0.0925,,0.8,0.0275,0.7563,0.0062
155.0,,1.414,,,,,,,201.0,0.0872,,0.75,0.0251,0.7666,0.0083
160.0,,1.409,,,,,,,193.0,0.0822,,0.8,0.0236,0.827,0.0081
165.0,,1.317,,,,,,,184.0,0.0861,,0.84,0.0218,0.737,0.0134
170.0,,1.29,,,,,,,198.0,0.0877,,0.91,0.0225,0.7387,0.0097
175.0,,1.3330000000000002,,,,,,,219.0,0.0853,,0.87,0.0263,0.7324,0.0103
180.0,,1.416,,,,,,,242.0,0.0875,,0.84,0.0296,0.723,0.0149
185.0,,1.42,,,,,,,256.0,0.0877,,0.94,0.0339,0.7863,0.0184
190.0,,1.389,,,,,,,260.0,0.0792,,0.99,0.0318,0.7823,
195.0,,1.367,,,,,,,269.0,0.0819,,,0.0386,0.7469,
200.0,,1.352,,,,,,,279.0,0.0874,,,0.0381,0.7993,
205.0,,1.351,,,,,,,298.0,0.0819,,0.0671,,0.7574,
210.0,,1.358,,,,,,,302.0,0.0823,,0.0714,0.7867,0.8084,
215.0,,1.38,,,,,,,306.0,0.0792,,0.0838,0.6963,,
220.0,,1.426,,,,,,,321.0,0.0817,,0.1007,0.6769,0.0291,
225.0,,1.413,,,,,,,331.0,0.0867,,0.1117,0.7207,0.0347,
230.0,,1.463,,,,,,,353.0,0.0851,,0.1637,0.6158,0.0402,
235.0,,1.493,,,,,,,376.0,0.0889,,0.2111,,0.0366,
240.0,,1.516,,,,,,,406.0,0.0856,,0.2393,0.8904,0.0275,
