Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.0,0.0,0.0
3.0,,,,,,,,,0.106,1.2,0.18,0.0
6.0,,,,,,,,,0.097,10.7,0.2,0.0
9.0,,,,,,,,,0.088,99.0,0.22,0.0
12.0,,,,,,,,,0.082,252.7,3.31,0.062
15.0,,,,,,,,,0.076,370.9,4.05,0.075
18.0,,,,,,,,,0.071,427.3,4.49,0.078
21.0,,,,,,,,,0.066,441.0,4.86,0.076
24.0,,,,,,,,,0.061,395.1,4.82,0.075
27.0,,,,,,,,,0.058,360.1,5.0,0.074
30.0,,,,,,,,,0.055,380.0,7.24,0.092
33.0,,,,,,,,,0.05,596.1,14.28,0.127
36.0,,,,,,,,,0.047,1091.6,21.88,0.144
39.0,,,,,,,,,0.045,1659.7,23.15,0.128
42.0,,,,,,,,,0.041,1772.8,17.78,0.099
45.0,,,,,,,,,0.039,1269.9,10.73,0.062
48.0,,,,,,,,,0.039,634.2,6.46,0.06
51.0,,,,,,,,,0.039,221.7,3.77,0.06
54.0,,,,,,,,,0.039,39.1,2.63,0.052
57.0,,,,,,,,,0.039,-17.2,1.94,0.042
60.0,,,,,,,,,0.039,-27.7,1.49,0.032
63.0,,,,,,,,,0.039,-22.2,1.22,0.028
66.0,,,,,,,,,0.039,-17.7,1.05,0.028
69.0,,,,,,,,,0.029,-13.2,1.22,0.015
72.0,,,,,,,,,0.018,-7.1,1.82,0.031
75.0,,,,,,,,,0.011,-5.4,2.69,0.055
78.0,,,,,,,,,0.004,-4.0,0.0,0.0
81.0,,,,,,,,,0.001,-2.6,0.0,0.0
84.0,,,,,,,,,0.0,-2.4,0.0,0.0
