Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
10.0,,,,,,,,,,,,
15.0,,,,,,,,,0.0,1.4,0.0,0.0
20.0,,,,,,,,,0.001,1.9,94.28,2.755
25.0,,,,,,,,,0.001,2.1,98.26,2.197
30.0,,,,,,,,,0.001,0.9,97.65,4.359
35.0,,,,,,,,,0.001,0.5,95.65,3.15
40.0,,,,,,,,,0.001,7.1,104.28,4.559
45.0,,,,,,,,,0.001,143.4,349.72,62.215
50.0,,,,,,,,,0.001,184.7,526.58,54.467
55.0,,,,,,,,,0.001,160.8,572.66,30.42
60.0,,,,,,,,,0.001,145.5,587.21,21.937
65.0,,,,,,,,,0.001,94.3,476.31,15.517
70.0,,,,,,,,,0.004,67.7,378.93,21.417
75.0,,,,,,,,,0.028,69.6,3.3,0.368
80.0,,,,,,,,,0.061,73.5,1.45,0.18
85.0,,,,,,,,,0.062,81.2,1.5,0.184
90.0,,,,,,,,,0.057,74.1,1.59,0.168
95.0,,,,,,,,,0.064,68.0,1.39,0.126
100.0,,,,,,,,,0.055,59.8,1.54,0.125
105.0,,,,,,,,,0.038,50.6,2.03,0.16
110.0,,,,,,,,,0.022,42.8,3.29,0.273
115.0,,,,,,,,,0.012,31.4,5.11,0.44
120.0,,,,,,,,,0.021,17.4,2.4,0.255
125.0,,,,,,,,,0.038,17.7,1.23,0.128
130.0,,,,,,,,,0.039,17.9,1.17,0.104
135.0,,,,,,,,,0.029,20.0,1.6,0.131
140.0,,,,,,,,,0.018,18.4,2.65,0.263
145.0,,,,,,,,,0.014,20.8,3.31,0.318
150.0,,,,,,,,,0.019,18.4,2.54,0.237
155.0,,,,,,,,,0.017,20.8,2.73,0.261
160.0,,,,,,,,,0.018,22.9,2.78,0.278
165.0,,,,,,,,,0.027,20.7,1.8,0.178
170.0,,,,,,,,,0.029,20.1,1.69,0.184
175.0,,,,,,,,,0.025,19.8,1.91,0.179
180.0,,,,,,,,,0.024,19.8,2.05,0.202
185.0,,,,,,,,,0.022,19.8,2.21,0.209
190.0,,,,,,,,,0.019,18.4,2.52,0.216
195.0,,,,,,,,,0.02,20.0,2.48,0.211
200.0,,,,,,,,,0.023,21.1,2.14,0.188
205.0,,,,,,,,,0.012,19.9,4.17,0.386
210.0,,,,,,,,,0.008,19.3,6.41,0.533
215.0,,,,,,,,,0.021,17.7,2.33,0.16
220.0,,,,,,,,,0.025,22.1,1.98,0.149
