Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,24.78,0.0,99.99,0.1358,0.0037
5.0,,,,,,,,,0.0,0.0,0.7,99.99,0.0,99.99,0.1648,0.0
10.0,,,,,,,,,434.6,22.94,64.5,0.87,0.0043,0.7409,0.0236,0.0
15.0,,,,,,,,,868.15,27.45,281.2,0.71,0.0056,0.5596,0.12,0.0
20.0,,,,,,,,,1236.45,26.21,377.2,0.71,0.0063,0.5203,0.0905,0.0
25.0,,,,,,,,,1459.12,21.44,379.2,0.77,0.0244,0.5445,0.1038,0.0
30.0,,,,,,,,,1888.62,16.37,358.3,0.88,0.0278,0.6074,0.0943,0.0
35.0,,,,,,,,,2232.08,12.49,314.7,1.04,0.0438,0.6734,0.0703,0.0
40.0,,,,,,,,,2314.85,10.03,270.0,1.11,0.0508,0.6986,0.047,0.0
45.0,,,,,,,,,2197.44,7.84,224.1,1.21,0.0494,0.763,0.0364,0.0
50.0,,,,,,,,,2024.86,6.1,180.5,1.31,0.0497,0.8143,0.0312,0.0
55.0,,,,,,,,,1721.17,5.26,146.4,1.4,0.0334,0.8577,0.0302,0.0001
60.0,,,,,,,,,1553.74,4.39,122.7,1.59,0.0004,0.9987,0.0336,0.0
65.0,,,,,,,,,1190.45,4.11,109.0,1.69,0.0,1.0697,0.0325,0.0
70.0,,,,,,,,,958.11,4.04,101.8,1.49,0.0045,0.9747,0.0285,0.0001
75.0,,,,,,,,,903.36,4.0,99.6,1.56,0.0,1.0999,0.0285,0.0
80.0,,,,,,,,,867.51,3.85,97.0,1.74,0.0,1.0338,0.029,0.0001
85.0,,,,,,,,,779.27,4.44,92.7,1.47,0.0089,0.9192,0.0243,0.0
90.0,,,,,,,,,788.97,3.75,91.5,1.8,0.0,1.1494,0.0269,0.0
95.0,,,,,,,,,787.38,4.11,89.5,1.77,0.0,1.0561,0.0233,0.0001
100.0,,,,,,,,,643.88,5.35,94.6,1.37,0.009,0.8946,0.0162,0.0
105.0,,,,,,,,,753.26,4.49,100.7,1.75,0.0,1.1513,0.0199,0.0001
110.0,,,,,,,,,1038.74,3.71,102.6,2.22,0.0,1.4152,0.0213,0.0
115.0,,,,,,,,,845.05,4.86,111.3,1.69,0.0,1.1724,0.0148,0.0
120.0,,,,,,,,,736.58,6.0,115.5,1.42,0.002,0.9668,0.0123,0.0001
125.0,,,,,,,,,842.05,5.4,121.3,1.63,0.0,1.1888,0.0128,0.0001
130.0,,,,,,,,,1162.86,4.27,127.7,2.23,0.0,1.5386,0.016,0.0001
135.0,,,,,,,,,1084.85,5.16,134.2,1.96,0.0,1.3335,0.013,0.0
