Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.3,0.0,0.0
6.0,,,,,,,,,0.0,-0.6,0.0,0.0
12.0,,,,,,,,,0.0,-1.4,0.0,0.0
18.0,,,,,,,,,0.0,-0.3,0.0,0.0
24.0,,,,,,,,,0.0,-0.4,0.0,0.0
30.0,,,,,,,,,0.169,15.5,0.86,0.154
36.0,,,,,,,,,0.177,246.7,1.16,0.087
42.0,,,,,,,,,0.142,268.8,1.74,0.092
48.0,,,,,,,,,0.089,252.8,2.21,0.253
54.0,,,,,,,,,0.059,229.8,3.12,0.447
60.0,,,,,,,,,0.054,213.4,3.09,0.266
66.0,,,,,,,,,0.043,171.0,3.2,0.138
72.0,,,,,,,,,0.02,107.2,6.41,0.211
78.0,,,,,,,,,0.01,103.7,13.42,0.352
84.0,,,,,,,,,0.01,107.4,10.9,0.363
90.0,,,,,,,,,0.01,60.5,7.81,0.44
96.0,,,,,,,,,0.009,37.2,7.72,0.501
102.0,,,,,,,,,0.007,35.6,9.95,0.705
108.0,,,,,,,,,0.01,34.6,7.18,0.474
114.0,,,,,,,,,0.014,39.8,4.73,0.277
120.0,,,,,,,,,0.014,31.9,4.74,0.271
126.0,,,,,,,,,0.017,38.0,3.91,0.234
132.0,,,,,,,,,0.015,37.8,4.49,0.268
138.0,,,,,,,,,0.008,33.1,8.63,0.538
