Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.01056,,,,,,,0.0,0.0,0.0
5.0,,-0.02112,,,,,,,0.0,0.0,0.0
10.0,,-0.0017600000000000003,,,,,,,0.0,0.0,0.0
15.0,,0.0044,,,,,,,0.0,0.0,0.0
20.0,,0.0044,,,,,,,0.0,0.0,0.0
25.0,,-0.0017600000000000003,,,,,,,0.0,0.0,0.0
30.0,,0.01056,,,,,,,0.029,0.86,0.028
35.0,,0.028160000000000004,,,,,,,0.029,0.89,0.047
40.0,,-0.0132,,,,,,,0.003,86.56,3.134
45.0,,0.01056,,,,,,,0.021,1.24,0.042
50.0,,0.0132,,,,,,,0.021,1.31,0.029
55.0,,0.0,,,,,,,0.021,1.28,0.042
60.0,,-0.0017600000000000003,,,,,,,0.021,1.28,0.022
65.0,,0.00616,,,,,,,0.034,0.77,0.017
70.0,,-0.02112,,,,,,,0.046,0.54,0.018
75.0,,-0.02552,,,,,,,0.011,2.28,0.07
80.0,,-0.0132,,,,,,,0.011,2.34,0.046
85.0,,-0.01056,,,,,,,0.011,2.3,0.049
90.0,,0.0017600000000000003,,,,,,,0.001,88.16,4.096
95.0,,-0.0017600000000000003,,,,,,,0.014,1.78,0.0
100.0,,-0.014960000000000001,,,,,,,0.002,85.94,1.678
105.0,,0.00616,,,,,,,0.01,2.53,0.036
110.0,,0.0,,,,,,,0.005,90.56,1.671
115.0,,-0.02112,,,,,,,0.005,87.57,2.848
120.0,,-0.01672,,,,,,,0.005,81.79,0.0
125.0,,0.0044,,,,,,,0.01,2.3,0.058
130.0,,-0.01232,,,,,,,0.011,2.25,0.061
135.0,,-0.0044,,,,,,,0.011,2.29,0.043
140.0,,0.00616,,,,,,,0.011,2.39,0.046
145.0,,-0.0088,,,,,,,0.025,1.03,0.022
150.0,,-0.00616,,,,,,,0.067,0.38,0.016
