Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,12.96,0.0,3.7288,0.0596,0.0
5.0,,,,,,,,,0.0,0.0,0.0,12.21,0.0,9.5633,0.0903,0.0021
10.0,,,,,,,,,0.0,0.0,0.0,11.65,0.0,23.8893,0.2175,0.0
15.0,,,,,,,,,0.0,0.0,0.0,12.19,0.0,39.6818,1.9339,0.0
20.0,,,,,,,,,0.0,0.0,0.0,13.45,0.0,48.7201,3.1247,0.0002
25.0,,,,,,,,,0.0,0.0,0.0,13.31,0.0,59.5434,3.3559,0.0026
30.0,,,,,,,,,0.0,0.0,0.2,13.79,0.0,72.8158,4.0055,0.0068
35.0,,,,,,,,,92.52,7.62,0.4,0.26,0.0,1.3441,0.0733,0.0001
40.0,,,,,,,,,97.01,10.87,0.7,0.73,0.0,1.1171,0.0772,0.0
45.0,,,,,,,,,143.76,13.75,44.3,0.83,0.0011,0.8619,0.0226,0.0
50.0,,,,,,,,,487.36,14.05,126.2,0.79,0.0015,0.8019,0.0312,0.0
55.0,,,,,,,,,818.67,13.79,152.9,0.81,0.0062,0.7903,0.0289,0.0
60.0,,,,,,,,,857.94,14.11,150.9,0.76,0.0055,0.8181,0.0259,0.0
65.0,,,,,,,,,838.12,13.99,146.9,0.78,0.0075,0.8428,0.0227,0.0
70.0,,,,,,,,,781.0,13.97,142.6,0.79,0.0087,0.8104,0.0211,0.0
75.0,,,,,,,,,736.06,14.02,146.3,0.78,0.0112,0.7857,0.0204,0.0
80.0,,,,,,,,,745.33,13.37,145.1,0.84,0.0129,0.7638,0.0192,0.0
85.0,,,,,,,,,725.19,11.98,145.4,0.87,0.0088,0.831,0.0098,0.0
90.0,,,,,,,,,494.29,10.98,140.5,0.91,0.0024,0.9581,0.0058,0.0
95.0,,,,,,,,,376.51,11.13,128.3,0.9,0.0014,0.9647,0.0063,0.0
100.0,,,,,,,,,336.42,11.55,127.2,0.92,0.003,0.9224,0.0062,0.0
105.0,,,,,,,,,339.27,11.75,134.1,0.92,0.003,0.8913,0.0051,0.0
110.0,,,,,,,,,345.03,12.1,140.4,0.85,0.0037,0.8626,0.006,0.0
115.0,,,,,,,,,403.92,11.85,137.4,0.83,0.0035,0.8565,0.0093,0.0
120.0,,,,,,,,,436.38,11.45,129.4,0.88,0.0034,0.8677,0.0109,0.0
125.0,,,,,,,,,412.94,11.16,127.7,0.87,0.0037,0.8661,0.0073,0.0
130.0,,,,,,,,,417.68,10.75,125.3,0.9,0.0039,0.8667,0.006,0.0
135.0,,,,,,,,,439.09,10.85,124.5,0.86,0.0043,0.857,0.0075,0.0
140.0,,,,,,,,,439.53,10.47,119.6,0.89,0.0048,0.8435,0.0075,0.0
145.0,,,,,,,,,442.62,10.1,115.2,0.91,0.0053,0.8339,0.0058,0.0
150.0,,,,,,,,,427.9,9.83,114.7,0.88,0.0042,0.8703,0.0076,0.0
