Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,167.45,,0.0291,,,,,,0.0,-0.53,0.0,0.0,1e-05,1e-05,0.0
5.0,167.44,,0.0292,,,,,,241.5,-0.54,0.2,0.001,0.20452,0.19633,0.0404
10.0,167.45,,0.0291,,,,,,0.0,-1.07,0.217,0.002,0.88956,0.37121,0.0524
14.0,167.43,,0.0291,,,,,,353.7,-1.07,0.406,0.001,0.31314,0.29514,0.2954
19.0,167.44,,0.0292,,,,,,162.9,-0.53,0.223,0.001,0.43346,0.27265,0.2192
24.0,167.41,,0.0291,,,,,,175.0,-0.53,0.165,0.005,0.1565,0.20957,0.1192
29.0,167.37,,0.0293,,,,,,127.6,-0.54,0.094,0.003,0.23538,0.15858,0.0783
34.0,167.3,,0.029,,,,,,170.1,-1.06,0.104,0.003,0.30036,0.1446,0.0519
39.0,167.22,,0.0291,,,,,,159.7,-0.53,0.167,0.002,0.69543,0.1301,0.0317
44.0,167.06,,0.0287,,,,,,241.6,1.05,0.326,0.005,0.93403,0.09872,0.019
49.0,166.79,,0.0287,,,,,,172.7,4.2,0.686,0.002,0.6235,0.05578,0.0129
54.0,166.17,,0.028,,,,,,356.4,35.32,0.653,0.019,0.36155,0.09044,0.0121
59.0,164.9,,0.0274,,,,,,756.6,145.39,0.57,0.016,0.30003,0.1649,0.0136
64.0,163.44,,0.0269,,,,,,274.3,214.95,0.543,0.069,0.30859,0.16473,0.0172
69.0,162.27,,0.0271,,,,,,1051.5,215.3,0.575,0.089,0.33867,0.1727,0.0218
74.0,161.26,,0.0271,,,,,,1021.3,193.38,0.562,0.13,0.34517,0.15972,0.0246
79.0,160.29,,0.0272,,,,,,1003.8,180.25,0.537,0.139,0.36193,0.15038,0.0273
84.0,159.4,,0.0272,,,,,,905.2,162.36,0.544,0.151,0.38021,0.15941,0.0291
89.0,158.53,,0.0272,,,,,,946.4,148.23,0.554,0.134,0.3801,0.14586,0.0297
94.0,157.68,,0.0272,,,,,,972.9,143.83,0.541,0.152,0.37041,0.13594,0.03
99.0,156.83,,0.0272,,,,,,1042.6,144.73,0.596,0.167,0.40036,0.15604,0.0321
105.0,155.95,,0.0273,,,,,,959.4,142.4,0.545,0.131,0.36094,0.14126,0.0297
109.0,155.1,,0.0273,,,,,,860.3,142.14,0.487,0.136,0.31265,0.12274,0.0268
114.0,154.23,,0.0273,,,,,,1001.0,140.48,0.545,0.147,0.34169,0.1438,0.03
119.0,153.38,,0.0272,,,,,,935.2,130.71,0.532,0.153,0.36437,0.1465,0.0303
124.0,152.57,,0.0273,,,,,,933.9,135.3,0.569,0.153,0.37167,0.15518,0.0302
129.0,151.79,,0.0272,,,,,,931.1,127.93,0.581,0.155,0.37389,0.14706,0.03
134.0,151.02,,0.0273,,,,,,939.5,130.58,0.592,0.147,0.38033,0.13349,0.0297
139.0,150.28,,0.0274,,,,,,941.2,129.63,0.62,0.155,0.38513,0.14687,0.03
144.0,149.54,,0.0274,,,,,,934.0,129.64,0.662,0.15,0.4031,0.14692,0.031
149.0,148.83,,0.0273,,,,,,964.2,129.48,0.69,0.155,0.42419,0.14062,0.0303
154.0,148.22,,0.0273,,,,,,933.2,128.13,0.756,0.142,0.44191,0.1454,0.0295
159.0,147.57,,0.0273,,,,,,866.7,131.25,0.73,0.145,0.44907,0.13099,0.0288
164.0,146.92,,0.0273,,,,,,901.9,138.88,0.788,0.137,0.46679,0.12427,0.0287
169.0,146.3,,0.0272,,,,,,978.9,139.76,0.807,0.141,0.47674,0.12541,0.0289
174.0,145.7,,0.0272,,,,,,937.4,137.9,0.818,0.133,0.48386,0.12103,0.0313
179.0,145.12,,0.0275,,,,,,897.3,141.63,0.843,0.137,0.50117,0.0,0.0322
184.0,144.53,,0.0274,,,,,,891.6,139.39,0.866,0.0,0.50831,0.11372,0.0323
189.0,143.97,,0.0273,,,,,,903.6,141.37,0.906,0.132,0.52531,0.11085,0.0316
194.0,143.43,,0.0274,,,,,,900.4,141.91,0.913,0.123,0.53354,0.11341,0.0295
199.0,142.87,,0.0275,,,,,,887.9,144.9,0.94,0.125,0.54297,0.10472,0.028
204.0,142.33,,0.0274,,,,,,862.4,144.47,0.969,0.0,0.55036,0.10613,0.0252
209.0,141.8,,0.0272,,,,,,817.6,145.75,0.976,0.121,0.55536,0.10086,0.0246
214.0,141.29,,0.0274,,,,,,906.7,146.44,1.002,0.115,0.5624,0.09852,0.0232
219.0,140.78,,0.0273,,,,,,879.4,145.26,1.069,0.121,0.59406,0.09904,0.0231
224.0,140.31,,0.0273,,,,,,851.6,144.24,1.121,0.119,0.60059,0.09362,0.0227
229.0,139.86,,0.0272,,,,,,857.8,142.63,1.145,0.119,0.59528,0.02865,0.0221
234.0,139.41,,0.0272,,,,,,833.3,143.0,1.162,0.114,0.61116,0.08873,0.0231
239.0,139.0,,0.0274,,,,,,825.0,140.54,1.256,0.125,0.64101,0.08351,0.0245
244.0,138.61,,0.0274,,,,,,798.6,136.33,1.331,0.122,0.66654,0.0725,0.024
249.0,138.27,,0.0274,,,,,,765.2,133.93,1.381,0.131,0.67703,0.06876,0.0248
254.0,137.94,,0.0275,,,,,,716.7,127.03,1.417,0.124,0.70639,0.06423,0.0263
259.0,137.63,,0.0276,,,,,,648.7,122.03,1.473,0.14,0.73273,0.06416,0.0266
264.0,137.38,,0.0275,,,,,,635.8,113.84,1.471,0.131,0.7434,0.06334,0.0247
269.0,137.13,,0.0276,,,,,,541.3,105.21,1.508,0.142,0.74834,0.06274,0.0222
274.0,136.89,,0.0277,,,,,,549.4,97.39,1.511,0.135,0.75791,0.06603,0.0255
279.0,136.69,,0.0277,,,,,,474.0,90.97,1.487,0.139,0.74045,0.06876,0.0238
284.0,136.48,,0.0278,,,,,,426.4,84.56,1.383,0.138,0.75539,0.06672,0.0231
289.0,136.28,,0.0279,,,,,,451.7,80.94,1.47,0.147,0.76609,0.07444,0.0251
294.0,136.1,,0.0278,,,,,,425.7,76.04,1.46,0.152,0.75884,0.07778,0.0242
299.0,135.91,,0.028,,,,,,415.0,72.97,1.404,0.156,0.76301,0.08174,0.029
304.0,135.76,,0.028,,,,,,358.9,70.54,1.382,0.161,0.72361,0.07968,0.0323
309.0,135.56,,0.0281,,,,,,381.9,67.17,1.352,0.173,0.75482,0.08283,0.0299
314.0,135.41,,0.0282,,,,,,369.9,66.87,1.392,0.183,0.77646,0.08617,0.024
319.0,135.25,,0.0281,,,,,,365.9,63.58,1.363,0.184,0.75482,0.07952,0.0251
324.0,135.07,,0.0281,,,,,,385.5,62.68,1.414,0.204,0.78776,0.08591,0.0279
329.0,134.95,,0.028,,,,,,309.9,60.92,1.31,0.194,0.70665,0.08124,0.0265
334.0,134.78,,0.0281,,,,,,292.4,58.53,1.247,0.189,0.70094,0.07741,0.0239
339.0,134.62,,0.028,,,,,,317.0,56.81,1.334,0.208,0.72441,0.08553,0.0215
344.0,134.43,,0.0281,,,,,,305.2,54.87,1.446,0.231,0.7733,0.09067,0.0249
349.0,134.35,,0.0282,,,,,,336.8,53.08,1.474,0.24,0.83109,0.09676,0.0275
354.0,134.24,,0.0282,,,,,,266.5,51.34,1.394,0.226,0.73756,0.08781,0.0279
359.0,134.1,,0.0282,,,,,,239.4,50.97,1.324,0.233,0.71841,0.08153,0.0289
364.0,133.98,,0.0282,,,,,,262.9,49.94,1.39,0.251,0.79735,0.09514,0.032
369.0,133.87,,0.0283,,,,,,223.9,46.02,1.333,0.246,0.80153,0.09311,0.0328
374.0,133.75,,0.0281,,,,,,211.3,45.19,1.233,0.246,0.74659,0.09916,0.032
379.0,133.62,,0.0283,,,,,,203.7,44.53,1.204,0.276,0.75328,0.13433,0.0338
384.0,133.52,,0.0284,,,,,,213.2,41.47,1.159,0.285,0.77429,0.14659,0.037
389.0,133.42,,0.0283,,,,,,202.6,37.76,1.038,0.262,0.72211,0.13103,0.0329
394.0,133.29,,0.0284,,,,,,173.3,36.83,1.068,0.298,0.73073,0.13644,0.0359
399.0,133.19,,0.0284,,,,,,225.7,35.31,1.189,0.329,0.79416,0.14859,0.0428
404.0,133.1,,0.0284,,,,,,193.9,34.79,1.133,0.339,0.77251,0.13954,0.0461
409.0,133.0,,0.0284,,,,,,199.9,33.26,1.084,0.332,0.80001,0.14679,0.0438
414.0,132.9,,0.0284,,,,,,196.9,32.7,0.962,0.315,0.65124,0.13506,0.0493
419.0,132.79,,0.0284,,,,,,212.1,32.17,0.98,0.333,0.69708,0.13879,0.0511
424.0,132.69,,0.0285,,,,,,201.0,31.78,0.952,0.353,0.67149,0.14787,0.0525
429.0,132.61,,0.0285,,,,,,158.7,31.31,0.752,0.337,0.62736,0.15563,0.0491
434.0,132.5,,0.0285,,,,,,136.7,28.69,0.762,0.347,0.66413,0.17359,0.0528
439.0,132.41,,0.0287,,,,,,183.1,25.15,0.888,0.406,0.75436,0.20468,0.0631
444.0,132.34,,0.0286,,,,,,129.6,24.02,0.872,0.396,0.69829,0.20342,0.0626
449.0,132.26,,0.0286,,,,,,146.3,23.52,0.796,0.369,0.72996,0.18466,0.0594
454.0,132.18,,0.0286,,,,,,123.2,23.0,0.756,0.346,0.7359,0.17047,0.0591
459.0,132.09,,0.0284,,,,,,74.7,22.31,0.737,0.354,0.72013,0.17661,0.0621
464.0,132.0,,0.0286,,,,,,127.0,22.45,0.834,0.382,0.82355,0.19634,0.0703
469.0,131.93,,0.0285,,,,,,142.4,21.35,0.851,0.391,0.7654,0.19059,0.0733
474.0,131.86,,0.0287,,,,,,77.2,20.97,0.732,0.354,0.70366,0.17602,0.0803
