Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.001,,,,,,,0.0,0.0,22.13,0.0,88.1251,0.0045,0.0044
5.0,,0.008,,,,,,,0.0,0.0,99.99,0.0,99.99,0.0069,0.0044
10.0,,0.596,,,,,,,400.89,0.2306,0.83,0.0005,0.7825,0.0017,0.0
15.0,,2.63,,,,,,,841.99,0.2797,0.78,0.0108,0.5702,0.0109,0.0
20.0,,3.719,,,,,,,1170.28,0.26890000000000003,0.71,0.0122,0.5101,0.0115,0.0
25.0,,4.1339999999999995,,,,,,,1523.39,0.2396,0.71,0.0296,0.5134,0.0103,0.0
30.0,,3.693,,,,,,,1785.5,0.1845,0.82,0.0345,0.5523,0.009,0.0
35.0,,3.259,,,,,,,2166.97,0.13820000000000002,0.96,0.0543,0.5639,0.0062,0.0
40.0,,2.824,,,,,,,2438.02,0.099,1.1,0.0568,0.679,0.006,0.0
45.0,,2.315,,,,,,,2358.03,0.0752,1.26,0.0585,0.7135,0.0044,0.0
50.0,,1.8090000000000002,,,,,,,1978.06,0.063,1.3,0.0781,0.6824,0.0031,0.0
55.0,,1.48,,,,,,,1449.46,0.0584,1.3,0.0832,0.5524,0.0028,0.0
60.0,,1.233,,,,,,,1281.75,0.0514,1.36,0.0976,0.5398,0.0028,0.0001
65.0,,1.077,,,,,,,1217.8,0.041600000000000005,1.61,0.0494,0.7071,0.0029,0.0
70.0,,0.976,,,,,,,989.91,0.0383,1.76,0.028,0.8473,0.0031,0.0
75.0,,0.927,,,,,,,878.59,0.0381,1.75,0.0099,0.9261,0.0028,0.0001
80.0,,0.9279999999999999,,,,,,,687.92,0.042699999999999995,1.48,0.0238,0.7992,0.0026,0.0001
85.0,,0.893,,,,,,,594.95,0.046200000000000005,1.33,0.0249,0.7254,0.0022,0.0
90.0,,0.867,,,,,,,543.77,0.0429,1.45,0.0116,0.8808,0.0022,0.0
95.0,,0.856,,,,,,,528.18,0.0422,1.59,0.0006,0.993,0.002,0.0
100.0,,0.88,,,,,,,572.09,0.0437,1.57,0.0,1.0106,0.0017,0.0
105.0,,0.956,,,,,,,586.34,0.0444,1.6,0.0,1.0005,0.0016,0.0
110.0,,1.0070000000000001,,,,,,,654.65,0.0464,1.6,0.0,1.0322,0.0013,0.0
115.0,,1.066,,,,,,,793.8,0.0429,1.77,0.0,1.1385,0.0014,0.0001
120.0,,1.11,,,,,,,995.01,0.0404,2.01,0.0,1.2884,0.0016,0.0
125.0,,1.177,,,,,,,836.22,0.0483,1.72,0.0,1.1092,0.0012,0.0
130.0,,1.23,,,,,,,771.85,0.0593,1.49,0.0054,0.8924,0.001,0.0
135.0,,1.305,,,,,,,871.44,0.05740000000000001,1.6,0.0,1.0415,0.001,0.0001
