Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,323.5,,,,,,,,,,,,,
5.0,323.5,,,,,,,,,,,,,
9.9,323.856,,,,,,,,,,,,,
15.0,323.767,,,,,,,,,,,,,
20.0,323.856,,,,,,,,,,,,,
25.0,323.678,,,,,,,,,,,,,
30.0,323.945,,,,,,,,,,,,,
35.0,323.945,,,,,,,,,,,,,
40.0,323.945,,,,,,,,,,,,,
45.0,323.856,,,,,,,,,,,,,
50.0,323.5,,,,,,,,,,,,,
55.0,322.877,0.07209,,,,,,,120.0,1.64,0.0013,0.9162,0.0004,
60.0,322.788,0.95319,,,,,,,150.0,1.75,0.0039,0.9768,0.0004,
65.0,322.076,1.75419,,,,,,,180.0,1.78,0.0036,0.9008,0.0004,
69.9,321.72,2.00428,,,,,,,210.0,1.34,0.0054,0.629,0.0003,
75.0,321.097,2.18673,,,,,,,240.0,1.33,0.0054,0.6509,0.0003,
80.0,320.118,2.21521,,,,,,,270.0,1.26,0.0082,0.6031,0.0003,
84.9,319.673,2.21788,,,,,,,300.0,1.28,0.0088,0.6264,0.0003,
90.0,319.228,2.19118,,,,,,,322.0,1.49,0.0138,0.7563,0.0003,
95.0,318.605,2.10574,,,,,,,361.0,1.27,0.0121,0.6676,0.0003,
99.9,318.16,2.03899,,,,,,,384.0,1.35,0.0142,0.6254,0.0003,
105.0,317.359,2.00873,,,,,,,417.0,1.42,0.0161,0.6656,0.0003,
110.0,317.003,2.06925,,,,,,,442.0,1.29,0.0171,0.6424,0.0003,
115.0,316.647,1.9491,,,,,,,449.0,1.47,0.0201,0.7064,0.0004,
120.0,315.846,1.84141,,,,,,,463.0,1.42,0.0207,0.7446,0.0004,
124.9,315.668,1.77377,,,,,,,470.0,1.34,0.0201,0.7076,0.0004,
130.0,315.312,1.72571,,,,,,,465.0,1.61,0.0236,0.8096,0.0005,
135.0,314.778,1.70702,,,,,,,449.0,1.36,0.021,0.7031,0.0004,
140.0,314.511,1.65718,,,,,,,434.0,1.32,0.0193,0.6627,0.0004,
145.0,313.977,1.58687,,,,,,,416.0,1.2,0.0182,0.6084,0.0004,
150.0,313.621,1.54504,,,,,,,419.0,1.29,0.0187,0.6681,0.0004,
154.9,312.998,1.50588,,,,,,,431.0,1.27,0.0184,0.617,0.0004,
160.0,312.998,1.45782,,,,,,,406.0,1.38,0.0197,0.6694,0.0005,
165.0,312.197,1.44803,,,,,,,391.0,1.73,0.0245,0.8096,0.0006,
169.9,312.197,1.3536899999999998,,,,,,,365.0,1.38,0.0183,0.6559,0.0005,
175.0,311.93,1.3083,,,,,,,344.0,1.48,0.021,0.7964,0.0006,
180.0,311.485,1.27537,,,,,,,324.0,1.39,0.0175,0.6733,0.0005,
184.9,311.129,1.19438,,,,,,,302.0,1.39,0.0182,0.6461,0.0006,
190.0,311.04,1.2041700000000002,,,,,,,291.0,1.42,0.0173,0.6765,0.0006,
195.0,310.684,1.16412,,,,,,,286.0,1.46,0.018,0.7353,0.0006,
200.0,310.328,1.13208,,,,,,,284.0,1.52,0.0178,0.6931,0.0007,
205.0,310.15,1.1125,,,,,,,281.0,1.58,0.0193,0.7281,0.0007,
210.0,310.061,1.0591,,,,,,,272.0,1.69,0.019,0.8442,0.0008,
215.0,309.616,1.04664,,,,,,,270.0,1.58,0.0182,0.8907,0.0007,
219.9,309.527,1.01282,,,,,,,254.0,1.64,0.0166,0.8731,0.0008,
225.0,309.26,1.00036,,,,,,,229.0,1.81,0.0194,0.9699,0.0009,
230.0,309.082,0.97455,,,,,,,196.0,1.67,0.0144,0.8293,0.0008,
235.0,308.904,0.94785,,,,,,,174.0,1.2,0.0108,0.6409,0.0006,
240.0,308.726,0.96298,,,,,,,172.0,1.12,0.0073,0.5469,0.0005,
