Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.02,,,,,,,0.0,0.0,0.0
3.0,,0.026000000000000002,,,,,,,0.1,0.22,0.0
6.0,,0.018000000000000002,,,,,,,0.097,0.2,0.0
9.0,,0.006999999999999999,,,,,,,0.095,0.19,0.0
12.0,,0.034,,,,,,,0.095,0.93,0.009
15.0,,0.595,,,,,,,0.093,2.63,0.036
18.0,,2.895,,,,,,,0.09,4.2,0.101
21.0,,5.972,,,,,,,0.089,4.54,0.132
24.0,,7.228,,,,,,,0.087,3.79,0.116
27.0,,5.761,,,,,,,0.086,2.75,0.091
30.0,,3.668,,,,,,,0.084,1.98,0.068
33.0,,2.217,,,,,,,0.083,1.71,0.05
36.0,,1.554,,,,,,,0.081,1.57,0.049
39.0,,1.3290000000000002,,,,,,,0.079,1.47,0.045
42.0,,1.206,,,,,,,0.078,1.4,0.038
45.0,,1.158,,,,,,,0.077,1.33,0.035
48.0,,1.053,,,,,,,0.077,1.25,0.03
51.0,,0.997,,,,,,,0.077,1.2,0.03
54.0,,0.893,,,,,,,0.076,1.16,0.027
57.0,,0.905,,,,,,,0.075,1.14,0.023
60.0,,0.86,,,,,,,0.074,1.14,0.025
63.0,,0.84,,,,,,,0.073,1.14,0.024
66.0,,0.838,,,,,,,0.073,1.11,0.018
69.0,,0.8520000000000001,,,,,,,0.07,1.17,0.02
72.0,,0.8570000000000001,,,,,,,0.066,1.25,0.021
75.0,,0.8690000000000001,,,,,,,0.065,1.26,0.019
78.0,,0.8190000000000001,,,,,,,0.065,1.26,0.021
81.0,,0.8390000000000001,,,,,,,0.064,1.28,0.021
84.0,,0.838,,,,,,,0.063,1.3,0.02
87.0,,0.836,,,,,,,0.062,1.33,0.016
90.0,,0.838,,,,,,,0.062,1.33,0.019
93.0,,0.8570000000000001,,,,,,,0.062,1.35,0.017
96.0,,0.8740000000000001,,,,,,,0.061,1.35,0.018
99.0,,0.877,,,,,,,0.062,1.37,0.017
102.0,,0.871,,,,,,,0.061,1.38,0.021
105.0,,0.877,,,,,,,0.061,1.38,0.02
108.0,,0.87,,,,,,,0.061,1.38,0.022
111.0,,0.8620000000000001,,,,,,,0.06,1.38,0.024
114.0,,0.86,,,,,,,0.06,1.38,0.027
117.0,,0.838,,,,,,,0.06,1.37,0.026
120.0,,0.828,,,,,,,0.059,1.36,0.025
123.0,,0.8079999999999999,,,,,,,0.058,1.38,0.03
126.0,,0.813,,,,,,,0.058,1.39,0.027
129.0,,0.78,,,,,,,0.057,1.4,0.03
132.0,,0.8320000000000001,,,,,,,0.057,1.41,0.036
135.0,,0.7759999999999999,,,,,,,0.057,1.39,0.029
138.0,,0.775,,,,,,,0.057,1.37,0.033
141.0,,0.7859999999999999,,,,,,,0.057,1.38,0.028
144.0,,0.752,,,,,,,0.056,1.41,0.03
147.0,,0.775,,,,,,,0.055,1.42,0.031
150.0,,0.79,,,,,,,0.056,1.41,0.033
153.0,,0.7540000000000001,,,,,,,0.056,1.41,0.033
156.0,,0.7320000000000001,,,,,,,0.055,1.4,0.032
159.0,,0.7490000000000001,,,,,,,0.055,1.41,0.037
162.0,,0.748,,,,,,,0.054,1.43,0.041
165.0,,0.7709999999999999,,,,,,,0.053,1.44,0.037
168.0,,0.73,,,,,,,0.053,1.46,0.042
171.0,,0.718,,,,,,,0.053,1.46,0.045
174.0,,0.7390000000000001,,,,,,,0.053,1.47,0.037
177.0,,0.7590000000000001,,,,,,,0.052,1.49,0.038
180.0,,0.747,,,,,,,0.051,1.52,0.043
183.0,,0.745,,,,,,,0.051,1.51,0.04
186.0,,0.7390000000000001,,,,,,,0.05,1.53,0.046
189.0,,0.73,,,,,,,0.05,1.52,0.045
192.0,,0.7490000000000001,,,,,,,0.051,1.5,0.044
195.0,,0.7170000000000001,,,,,,,0.051,1.45,0.046
198.0,,0.679,,,,,,,0.051,1.43,0.049
201.0,,0.6890000000000001,,,,,,,0.051,1.43,0.046
204.0,,0.657,,,,,,,0.05,1.47,0.047
207.0,,0.64,,,,,,,0.05,1.45,0.05
210.0,,0.668,,,,,,,0.05,1.45,0.049
213.0,,0.659,,,,,,,0.049,1.46,0.057
216.0,,0.65,,,,,,,0.049,1.48,0.054
219.0,,0.65,,,,,,,0.048,1.5,0.059
222.0,,0.653,,,,,,,0.048,1.49,0.064
225.0,,0.628,,,,,,,0.048,1.48,0.057
228.0,,0.638,,,,,,,0.048,1.48,0.06
231.0,,0.609,,,,,,,0.048,1.46,0.054
234.0,,0.616,,,,,,,0.048,1.46,0.062
237.0,,0.632,,,,,,,0.048,1.47,0.061
240.0,,0.635,,,,,,,0.048,1.47,0.058
243.0,,0.609,,,,,,,0.047,1.48,0.061
246.0,,0.598,,,,,,,0.047,1.49,0.058
249.0,,0.611,,,,,,,0.046,1.51,0.057
252.0,,0.604,,,,,,,0.046,1.52,0.054
255.0,,0.594,,,,,,,0.045,1.52,0.056
258.0,,0.595,,,,,,,0.045,1.52,0.063
261.0,,0.62,,,,,,,0.045,1.53,0.066
264.0,,0.6,,,,,,,0.044,1.53,0.064
267.0,,0.616,,,,,,,0.044,1.55,0.064
270.0,,0.5820000000000001,,,,,,,0.043,1.57,0.063
273.0,,0.5920000000000001,,,,,,,0.044,1.54,0.064
276.0,,0.584,,,,,,,0.044,1.53,0.059
279.0,,0.593,,,,,,,0.043,1.53,0.059
282.0,,0.555,,,,,,,0.043,1.55,0.066
285.0,,0.5670000000000001,,,,,,,0.042,1.57,0.06
