Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.0132,,,,,,,0.0,0.0,0.0
6.0,,-0.014960000000000001,,,,,,,0.0,0.0,0.0
12.0,,-0.01144,,,,,,,0.0,0.0,0.0
18.0,,-0.028160000000000004,,,,,,,0.0,0.0,0.0
24.0,,-0.0088,,,,,,,0.0,0.0,0.0
30.0,,-0.00528,,,,,,,0.0,0.0,0.0
36.0,,-0.00528,,,,,,,0.0,0.0,0.0
42.0,,1.3112000000000001,,,,,,,0.189,0.98,0.109
48.0,,2.2202400000000004,,,,,,,0.165,1.58,0.09
54.0,,2.49744,,,,,,,0.099,2.31,0.218
60.0,,2.19912,,,,,,,0.06,3.18,0.471
66.0,,1.92368,,,,,,,0.053,3.29,0.362
72.0,,1.7116,,,,,,,0.044,3.5,0.176
78.0,,1.1431200000000001,,,,,,,0.028,4.45,0.169
84.0,,0.8201600000000001,,,,,,,0.019,7.06,0.265
90.0,,0.9671200000000001,,,,,,,0.014,8.06,0.321
96.0,,0.6309600000000001,,,,,,,0.012,6.96,0.369
102.0,,0.3564,,,,,,,0.014,5.09,0.342
108.0,,0.31063999999999997,,,,,,,0.014,5.03,0.337
114.0,,0.32472,,,,,,,0.019,3.63,0.23
120.0,,0.30272,,,,,,,0.017,4.08,0.255
126.0,,0.34584,,,,,,,0.012,5.71,0.369
132.0,,0.31504,,,,,,,0.011,6.12,0.397
138.0,,0.3168,,,,,,,0.012,5.56,0.358
