Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.004,,,,,,,0.0,0.0,0.0
3.0,,0.017,,,,,,,0.117,0.1,0.0
6.0,,0.033,,,,,,,0.114,0.1,0.0
9.0,,0.467,,,,,,,0.11,0.27,0.0
12.0,,1.386,,,,,,,0.109,0.74,0.0
15.0,,2.278,,,,,,,0.108,1.28,0.0
18.0,,3.1189999999999998,,,,,,,0.107,1.91,0.0
21.0,,3.889,,,,,,,0.107,2.55,0.0
24.0,,4.186,,,,,,,0.105,3.01,0.0
27.0,,4.067,,,,,,,0.103,3.24,0.0
30.0,,3.685,,,,,,,0.102,3.23,0.0
33.0,,3.173,,,,,,,0.1,3.06,0.0
36.0,,2.8139999999999996,,,,,,,0.099,2.9,0.0
39.0,,2.58,,,,,,,0.098,2.77,0.0
42.0,,2.361,,,,,,,0.097,2.64,0.0
45.0,,2.164,,,,,,,0.096,2.5,0.0
48.0,,2.015,,,,,,,0.096,2.38,0.0
51.0,,1.8840000000000001,,,,,,,0.095,2.29,0.0
54.0,,1.771,,,,,,,0.095,2.2,0.0
57.0,,1.6480000000000001,,,,,,,0.094,2.09,0.0
60.0,,1.5619999999999998,,,,,,,0.094,2.0,0.0
63.0,,1.5090000000000001,,,,,,,0.094,1.94,0.0
66.0,,1.475,,,,,,,0.094,1.87,0.0
69.0,,1.459,,,,,,,0.091,1.88,0.0
72.0,,1.441,,,,,,,0.09,1.84,0.0
75.0,,1.429,,,,,,,0.09,1.83,0.0
78.0,,1.4140000000000001,,,,,,,0.089,1.81,0.0
81.0,,1.3940000000000001,,,,,,,0.09,1.76,0.0
84.0,,1.396,,,,,,,0.091,1.7,0.0
87.0,,1.4000000000000001,,,,,,,0.092,1.68,0.0
90.0,,1.361,,,,,,,0.093,1.62,0.0
93.0,,1.361,,,,,,,0.094,1.61,0.0
96.0,,1.3459999999999999,,,,,,,0.096,1.57,0.0
99.0,,1.311,,,,,,,0.097,1.53,0.0
102.0,,1.294,,,,,,,0.098,1.5,0.0
105.0,,1.281,,,,,,,0.099,1.47,0.0
108.0,,1.244,,,,,,,0.101,1.42,0.0
111.0,,1.242,,,,,,,0.103,1.38,0.0
114.0,,1.248,,,,,,,0.105,1.36,0.0
117.0,,1.2670000000000001,,,,,,,0.106,1.34,0.0
120.0,,1.2670000000000001,,,,,,,0.108,1.32,0.0
123.0,,1.264,,,,,,,0.109,1.3,0.0
126.0,,1.2750000000000001,,,,,,,0.111,1.27,0.0
129.0,,1.316,,,,,,,0.111,1.27,0.0
132.0,,1.381,,,,,,,0.112,1.29,0.0
135.0,,1.4680000000000002,,,,,,,0.113,1.29,0.0
138.0,,1.5590000000000002,,,,,,,0.114,1.32,0.0
141.0,,1.696,,,,,,,0.115,1.37,0.0
144.0,,1.8880000000000001,,,,,,,0.116,1.43,0.0
147.0,,2.0780000000000003,,,,,,,0.116,1.52,0.0
150.0,,2.2840000000000003,,,,,,,0.116,1.63,0.0
153.0,,2.459,,,,,,,0.116,1.73,0.0
156.0,,2.608,,,,,,,0.115,1.86,0.0
159.0,,2.7030000000000003,,,,,,,0.114,1.96,0.0
162.0,,2.7830000000000004,,,,,,,0.113,2.06,0.0
165.0,,2.818,,,,,,,0.111,2.15,0.0
168.0,,2.79,,,,,,,0.11,2.22,0.0
171.0,,2.715,,,,,,,0.108,2.25,0.0
174.0,,2.6630000000000003,,,,,,,0.105,2.32,0.0
177.0,,2.602,,,,,,,0.102,2.38,0.0
180.0,,2.5500000000000003,,,,,,,0.099,2.43,0.0
183.0,,2.452,,,,,,,0.096,2.46,0.0
186.0,,2.395,,,,,,,0.093,2.51,0.0
