Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
0.0,,,,,,,,,,0.0
3.0,,,,,,,,,,0.0404
6.0,,,,,,,,,,-2.132
9.0,,,,,,,,,,0.0435
12.0,,,,,,,,,,1.0552
15.0,,,,,,,,,12.28486171761281,33.7588
18.0,,,,,,,,,10.903080177212791,103.6087
21.0,,,,,,,,,12.754231855196211,187.0102
24.0,,,,,,,,,15.236220614285283,253.7364
27.0,,,,,,,,,17.01837302924433,287.8845
30.0,,,,,,,,,18.814758723451032,308.0992
33.0,,,,,,,,,19.830203468014982,308.6591
36.0,,,,,,,,,20.68574754356534,302.105
39.0,,,,,,,,,21.524482432780687,300.6798
42.0,,,,,,,,,21.698332524593056,295.1277
45.0,,,,,,,,,21.71438048427464,288.0456
48.0,,,,,,,,,21.709182852545684,283.3374
51.0,,,,,,,,,21.343684640205264,274.5118
54.0,,,,,,,,,21.05745922964655,265.4756
57.0,,,,,,,,,21.015734642557774,263.2536
60.0,,,,,,,,,20.57447418509641,258.3475
63.0,,,,,,,,,19.973047215848496,247.2104
66.0,,,,,,,,,19.88532797967796,242.6706
69.0,,,,,,,,,19.551287411160025,238.5042
72.0,,,,,,,,,19.288559367013157,236.2212
75.0,,,,,,,,,18.719437692964597,227.9728
78.0,,,,,,,,,18.424556584655065,220.015
81.0,,,,,,,,,18.416670180735597,218.3683
84.0,,,,,,,,,17.906277397114525,210.3719
87.0,,,,,,,,,17.87742370886941,206.6219
90.0,,,,,,,,,17.636790222891463,201.458
93.0,,,,,,,,,17.738658309631656,202.0717
96.0,,,,,,,,,17.655546411400355,203.8068
99.0,,,,,,,,,17.228591771877117,198.4148
102.0,,,,,,,,,17.05694412324551,191.7644
105.0,,,,,,,,,17.32517858101939,193.5465
108.0,,,,,,,,,16.94780849387667,189.3138
111.0,,,,,,,,,16.988048778289517,188.4841
114.0,,,,,,,,,17.059834987019453,191.8822
117.0,,,,,,,,,16.598078505268187,187.6197
120.0,,,,,,,,,16.548443896247832,185.1473
123.0,,,,,,,,,16.50914078415955,184.7637
126.0,,,,,,,,,16.14806246905801,179.3969
129.0,,,,,,,,,15.979997974012102,173.5252
132.0,,,,,,,,,16.199457133888508,175.4628
135.0,,,,,,,,,15.916641553199456,174.292
138.0,,,,,,,,,15.80010376654348,173.5831
141.0,,,,,,,,,15.522921181860582,169.7478
144.0,,,,,,,,,15.479593719441318,167.7957
147.0,,,,,,,,,15.38637792073351,166.4683
150.0,,,,,,,,,15.254988379737226,164.7554
153.0,,,,,,,,,15.22263641324959,164.5704
156.0,,,,,,,,,15.07942915204138,163.2499
159.0,,,,,,,,,15.13165726673158,164.7323
162.0,,,,,,,,,14.799385336680448,160.3543
165.0,,,,,,,,,15.07564812845106,162.9964
168.0,,,,,,,,,14.625068821679529,156.7237
171.0,,,,,,,,,14.93343691380715,157.6284
174.0,,,,,,,,,14.930308352666032,158.9615
177.0,,,,,,,,,14.755927554202833,157.0798
180.0,,,,,,,,,14.802979522860946,156.7976
183.0,,,,,,,,,14.686963369164063,154.805
186.0,,,,,,,,,14.773741000360936,155.5409
189.0,,,,,,,,,14.54694293996491,152.5567
192.0,,,,,,,,,14.597224092491778,151.7615
195.0,,,,,,,,,14.654738009214125,153.3208
198.0,,,,,,,,,14.339216307258226,149.4132
201.0,,,,,,,,,14.529370872436564,150.4836
204.0,,,,,,,,,14.322322757767338,148.1587
207.0,,,,,,,,,14.484774417930634,149.9319
210.0,,,,,,,,,14.46013602331828,151.8054
213.0,,,,,,,,,14.156210477905953,147.7512
216.0,,,,,,,,,14.36158257769511,148.246
219.0,,,,,,,,,14.244572406816593,146.4456
222.0,,,,,,,,,14.304965721515511,145.852
225.0,,,,,,,,,14.379991564244168,146.5997
228.0,,,,,,,,,14.187612742085754,143.1445
231.0,,,,,,,,,14.480195501471249,145.1712
234.0,,,,,,,,,14.37590189024269,144.6532
237.0,,,,,,,,,14.571198784242522,147.6587
240.0,,,,,,,,,14.31845475789038,145.2192
243.0,,,,,,,,,14.345209238967126,143.2197
246.0,,,,,,,,,14.39022144887657,142.2459
249.0,,,,,,,,,14.530173931413282,144.4401
252.0,,,,,,,,,14.210674355536288,140.9571
255.0,,,,,,,,,14.568288775408032,145.4935
258.0,,,,,,,,,14.061175625523765,140.9436
261.0,,,,,,,,,14.419842764475534,144.7161
264.0,,,,,,,,,14.042279429944715,141.9857
267.0,,,,,,,,,14.243061587050928,144.3107
270.0,,,,,,,,,13.952193669850471,141.5464
273.0,,,,,,,,,13.98183035000799,139.9749
276.0,,,,,,,,,14.199763792812552,143.0754
279.0,,,,,,,,,13.89351249962784,139.9952
282.0,,,,,,,,,14.232309600595384,143.4261
285.0,,,,,,,,,14.092140948038676,143.4129
