Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.9,0.0,0.0
5.0,,,,,,,,,0.0,0.2,0.0,0.0
10.0,,,,,,,,,0.0,0.5,0.0,0.0
15.0,,,,,,,,,0.0,0.9,0.0,0.0
20.0,,,,,,,,,0.0,2.1,0.0,0.0
25.0,,,,,,,,,0.0,4.9,0.0,0.0
30.0,,,,,,,,,0.0,67.6,0.0,0.0
35.0,,,,,,,,,0.0,151.7,0.0,0.0
40.0,,,,,,,,,0.0,102.1,0.0,0.0
45.0,,,,,,,,,0.0,49.5,0.0,0.0
50.0,,,,,,,,,0.0,25.5,0.0,0.0
55.0,,,,,,,,,0.0,17.4,0.0,0.0
60.0,,,,,,,,,0.0,18.2,0.0,0.0
65.0,,,,,,,,,0.001,19.2,170.53,10.52
70.0,,,,,,,,,0.001,18.5,172.2,10.987
75.0,,,,,,,,,0.001,19.6,169.24,9.034
80.0,,,,,,,,,0.003,18.2,166.14,9.687
85.0,,,,,,,,,0.018,17.5,2.52,0.166
90.0,,,,,,,,,0.022,14.0,1.96,0.133
95.0,,,,,,,,,0.003,11.8,145.82,11.183
100.0,,,,,,,,,0.001,9.2,137.08,12.032
105.0,,,,,,,,,0.01,10.0,3.7,0.32
110.0,,,,,,,,,0.0,9.2,128.79,11.213
115.0,,,,,,,,,0.0,12.0,129.92,12.083
120.0,,,,,,,,,0.008,11.3,4.22,0.407
125.0,,,,,,,,,0.02,11.3,1.81,0.18
130.0,,,,,,,,,0.025,10.6,1.48,0.173
135.0,,,,,,,,,0.015,11.9,2.49,0.286
140.0,,,,,,,,,0.0,12.0,130.4,14.385
145.0,,,,,,,,,0.0,12.0,132.06,15.188
150.0,,,,,,,,,0.006,11.8,6.09,0.676
155.0,,,,,,,,,0.008,9.9,4.36,0.472
160.0,,,,,,,,,0.004,11.8,129.72,12.406
165.0,,,,,,,,,0.007,11.3,5.33,0.517
170.0,,,,,,,,,0.013,11.6,2.79,0.307
175.0,,,,,,,,,0.015,9.9,2.42,0.266
180.0,,,,,,,,,0.013,10.1,2.64,0.294
185.0,,,,,,,,,0.004,10.8,126.25,15.586
190.0,,,,,,,,,0.004,9.0,123.67,14.635
195.0,,,,,,,,,0.004,9.0,125.81,15.353
200.0,,,,,,,,,0.009,10.7,3.92,0.484
205.0,,,,,,,,,0.012,10.4,2.91,0.368
210.0,,,,,,,,,0.004,9.2,123.09,15.255
215.0,,,,,,,,,0.004,10.6,123.77,15.726
220.0,,,,,,,,,0.004,9.9,123.53,15.584
225.0,,,,,,,,,0.008,9.9,4.49,0.614
230.0,,,,,,,,,0.006,8.8,5.34,0.722
235.0,,,,,,,,,0.005,9.5,122.47,15.244
240.0,,,,,,,,,0.003,9.7,124.75,16.114
245.0,,,,,,,,,0.003,10.1,122.7,15.961
250.0,,,,,,,,,0.003,10.6,124.26,16.466
255.0,,,,,,,,,0.008,11.5,4.46,0.554
260.0,,,,,,,,,0.015,10.1,2.41,0.31
265.0,,,,,,,,,0.014,9.7,2.59,0.364
270.0,,,,,,,,,0.008,10.2,4.36,0.516
275.0,,,,,,,,,0.003,10.6,128.61,18.555
280.0,,,,,,,,,0.004,10.6,128.27,16.773
285.0,,,,,,,,,0.011,9.2,3.23,0.424
290.0,,,,,,,,,0.015,10.1,2.49,0.312
295.0,,,,,,,,,0.015,12.2,2.36,0.326
300.0,,,,,,,,,0.014,11.8,2.63,0.363
305.0,,,,,,,,,0.011,12.0,3.41,0.447
310.0,,,,,,,,,0.009,10.6,4.3,0.572
315.0,,,,,,,,,0.016,11.3,2.23,0.287
320.0,,,,,,,,,0.027,11.3,1.35,0.162
325.0,,,,,,,,,0.021,12.0,1.81,0.212
330.0,,,,,,,,,0.008,8.8,4.32,0.515
335.0,,,,,,,,,0.013,9.4,2.85,0.374
340.0,,,,,,,,,0.019,12.0,1.9,0.227
345.0,,,,,,,,,0.009,9.9,3.85,0.467
350.0,,,,,,,,,0.013,9.2,2.75,0.344
355.0,,,,,,,,,0.026,10.1,1.44,0.179
360.0,,,,,,,,,0.01,11.3,3.57,0.435
365.0,,,,,,,,,0.003,10.6,132.74,16.593
370.0,,,,,,,,,0.012,10.2,3.01,0.417
375.0,,,,,,,,,0.007,10.6,4.97,0.621
380.0,,,,,,,,,0.003,10.9,131.34,16.643
385.0,,,,,,,,,0.005,11.0,133.55,16.326
390.0,,,,,,,,,0.004,10.6,132.14,17.36
395.0,,,,,,,,,0.018,10.2,2.04,0.25
400.0,,,,,,,,,0.032,9.5,1.17,0.141
405.0,,,,,,,,,0.007,10.8,5.32,0.676
410.0,,,,,,,,,0.007,10.1,5.3,0.618
