Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
501.0,,,,,,,,,8.549145889148425,114.5577
504.0,,,,,,,,,9.364293337398994,122.8408
507.0,,,,,,,,,8.394761155642122,100.8555
510.0,,,,,,,,,10.166483644758802,117.5764
513.0,,,,,,,,,8.772413016357083,101.2547
516.0,,,,,,,,,9.80654914098596,109.3087
519.0,,,,,,,,,8.361063139316418,88.1139
522.0,,,,,,,,,10.15666223151492,106.8684
525.0,,,,,,,,,8.249128230260306,87.5282
528.0,,,,,,,,,9.247032543026858,91.0694
531.0,,,,,,,,,9.6792432156032,106.0032
534.0,,,,,,,,,7.620897001253121,78.4518
537.0,,,,,,,,,9.734999270544591,93.419
540.0,,,,,,,,,8.63247444825209,86.4033
543.0,,,,,,,,,8.628291414461465,78.9713
546.0,,,,,,,,,9.693186832108308,90.072
549.0,,,,,,,,,8.358742810461123,75.716
552.0,,,,,,,,,10.79838274393779,108.0335
555.0,,,,,,,,,7.197039959513751,69.6839
558.0,,,,,,,,,9.883780960728048,82.323
561.0,,,,,,,,,9.07271696220201,83.195
564.0,,,,,,,,,7.676304996723857,63.2635
567.0,,,,,,,,,9.922706634654242,83.4837
570.0,,,,,,,,,7.62008609625061,67.088
573.0,,,,,,,,,9.143409217861176,80.2069
576.0,,,,,,,,,7.608493769973386,68.3296
579.0,,,,,,,,,8.735418550394606,78.2545
582.0,,,,,,,,,7.287429200394414,63.5595
585.0,,,,,,,,,8.62932607995419,72.3336
588.0,,,,,,,,,7.714225446193148,65.8278
591.0,,,,,,,,,8.264603161267868,68.8615
594.0,,,,,,,,,7.803938356164384,64.7165
597.0,,,,,,,,,7.814121784896446,61.7636
600.0,,,,,,,,,8.348919030403028,68.8168
603.0,,,,,,,,,7.440905789768195,62.4984
606.0,,,,,,,,,7.491418749842024,59.2766
609.0,,,,,,,,,8.284035824754167,71.7762
612.0,,,,,,,,,6.666339638139132,58.4358
615.0,,,,,,,,,7.988501073082571,70.7222
618.0,,,,,,,,,6.180794740181096,53.5844
621.0,,,,,,,,,7.05041629340781,53.5183
624.0,,,,,,,,,7.3620759264470195,60.1754
627.0,,,,,,,,,6.819373776908024,59.2399
630.0,,,,,,,,,7.136886377078267,65.1612
633.0,,,,,,,,,6.164959550409028,54.4107
636.0,,,,,,,,,6.660935238215117,52.9178
639.0,,,,,,,,,6.973261504702967,56.5664
642.0,,,,,,,,,6.695560812190056,55.7613
645.0,,,,,,,,,6.662172869001328,54.6558
648.0,,,,,,,,,6.7722798648861335,55.937
651.0,,,,,,,,,6.400655665242375,52.1295
654.0,,,,,,,,,6.31708682015175,48.5386
657.0,,,,,,,,,7.039352467538747,58.2253
660.0,,,,,,,,,6.134017005110578,54.2517
663.0,,,,,,,,,5.7611930941962655,45.9507
666.0,,,,,,,,,6.498681184465262,50.0158
669.0,,,,,,,,,6.519517598417267,55.0319
672.0,,,,,,,,,5.707878996726314,46.3788
675.0,,,,,,,,,6.705206757438225,53.1857
678.0,,,,,,,,,6.64783048561151,59.1391
681.0,,,,,,,,,5.898270530294353,51.4978
684.0,,,,,,,,,5.914241136983427,45.1091
687.0,,,,,,,,,6.803999948586779,52.9358
690.0,,,,,,,,,5.546225759502799,42.2994
693.0,,,,,,,,,6.74003521266597,50.9149
696.0,,,,,,,,,5.588975092931988,43.1508
699.0,,,,,,,,,6.183031471474734,45.5405
702.0,,,,,,,,,6.158616494087528,48.5921
705.0,,,,,,,,,5.873288008670805,47.6864
708.0,,,,,,,,,5.693065233601604,44.2818
711.0,,,,,,,,,5.745449307965598,41.8849
714.0,,,,,,,,,5.874397028899923,41.2835
717.0,,,,,,,,,6.060861265510078,43.18
720.0,,,,,,,,,5.869485421909542,42.2151
723.0,,,,,,,,,5.971921278799586,42.6646
726.0,,,,,,,,,5.499260211325493,36.7961
729.0,,,,,,,,,6.503164326762203,44.6995
732.0,,,,,,,,,5.193146925758362,35.0096
735.0,,,,,,,,,5.903931962290737,35.1957
738.0,,,,,,,,,6.473219470792323,43.4722
741.0,,,,,,,,,5.245397240548364,35.6986
744.0,,,,,,,,,5.835567043206332,36.575
747.0,,,,,,,,,6.065913206004323,41.5418
750.0,,,,,,,,,6.094197222325836,49.0138
753.0,,,,,,,,,4.361537616392452,31.7581
756.0,,,,,,,,,6.41329516629586,45.2567
759.0,,,,,,,,,4.373561522573031,31.1262
762.0,,,,,,,,,5.110739371857976,29.1767
765.0,,,,,,,,,6.014212998625523,39.8183
768.0,,,,,,,,,4.868034145873584,35.5274
771.0,,,,,,,,,5.386299366835419,39.0469
774.0,,,,,,,,,4.424985273460511,29.2965
777.0,,,,,,,,,6.567529020244839,49.7313
780.0,,,,,,,,,4.048349758581917,30.6035
783.0,,,,,,,,,5.828070001487284,35.2674
786.0,,,,,,,,,5.529616836693711,34.4191
789.0,,,,,,,,,6.065199078121275,38.1592
792.0,,,,,,,,,4.524942632908464,23.4659
795.0,,,,,,,,,6.540189039572605,27.0548
798.0,,,,,,,,,6.946539653862737,33.8359
801.0,,,,,,,,,6.463931453105337,34.9285
804.0,,,,,,,,,6.421862602181093,34.802
807.0,,,,,,,,,6.188058779230309,32.0461
810.0,,,,,,,,,7.448281659829174,44.2994
813.0,,,,,,,,,4.272032969110364,22.5982
816.0,,,,,,,,,7.403051632929655,33.866
819.0,,,,,,,,,5.750310854300761,31.4473
822.0,,,,,,,,,5.571066513976759,29.6754
825.0,,,,,,,,,5.759248189042831,32.7563
828.0,,,,,,,,,5.167804212168487,31.8006
831.0,,,,,,,,,4.878411829848218,29.9554
834.0,,,,,,,,,4.816604081632653,29.5017
837.0,,,,,,,,,4.59876421156698,27.9099
840.0,,,,,,,,,4.902549413682329,30.9797
843.0,,,,,,,,,4.016709118695873,23.6544
846.0,,,,,,,,,5.571471538023175,35.1961
849.0,,,,,,,,,4.671237674443666,34.6774
852.0,,,,,,,,,3.9470363257863057,24.4586
855.0,,,,,,,,,5.768752503805785,35.9999
858.0,,,,,,,,,4.409607157920106,29.2745
861.0,,,,,,,,,3.96136801936728,19.3085
864.0,,,,,,,,,6.525576156005319,35.3373
867.0,,,,,,,,,4.585576127759751,28.8286
870.0,,,,,,,,,6.051993785603314,40.9024
873.0,,,,,,,,,3.416573808993194,19.9299
876.0,,,,,,,,,5.189060067636481,19.3334
879.0,,,,,,,,,6.662882060142334,32.3936
882.0,,,,,,,,,4.931025860837263,27.6098
885.0,,,,,,,,,5.831208149309019,32.7434
888.0,,,,,,,,,5.009579378211268,28.7625
891.0,,,,,,,,,5.814400797275974,35.0056
894.0,,,,,,,,,4.211719727267922,23.9053
897.0,,,,,,,,,5.920812076680655,34.005
900.0,,,,,,,,,3.661439377720688,20.5231
903.0,,,,,,,,,5.412019969278034,28.1858
906.0,,,,,,,,,4.563579673401256,28.9801
909.0,,,,,,,,,4.489018370863635,30.7399
912.0,,,,,,,,,3.889057175312381,25.6775
915.0,,,,,,,,,4.748804246383574,32.5654
918.0,,,,,,,,,4.624282705019249,38.1975
921.0,,,,,,,,,3.666644494405939,27.5618
924.0,,,,,,,,,4.844931167733366,32.0967
927.0,,,,,,,,,4.495421629062182,30.0456
930.0,,,,,,,,,5.054430894921692,33.5316
933.0,,,,,,,,,5.25818270972663,38.604
936.0,,,,,,,,,3.937085105381272,25.0875
939.0,,,,,,,,,6.261660511557926,41.2011
942.0,,,,,,,,,3.4506351825448958,21.5399
945.0,,,,,,,,,5.1951080524262485,23.7032
948.0,,,,,,,,,5.636570304017373,33.2242
951.0,,,,,,,,,4.738117909513834,34.8318
954.0,,,,,,,,,3.941190904629478,28.911
957.0,,,,,,,,,3.449444289650475,22.2841
960.0,,,,,,,,,3.55230729491134,23.3788
963.0,,,,,,,,,2.3636663700812264,16.4705
966.0,,,,,,,,,3.3192314564698715,31.5795
969.0,,,,,,,,,2.294349704127238,18.3782
972.0,,,,,,,,,3.989500233535731,21.3538
