Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
10.0,,,,,,,,,0.0,0.2,0.0,0.0
15.0,,,,,,,,,0.0,1.9,0.0,0.0
20.0,,,,,,,,,0.0,0.7,0.0,0.0
25.0,,,,,,,,,,,,
30.0,,,,,,,,,,,,
35.0,,,,,,,,,,,,
40.0,,,,,,,,,0.0,1.4,0.0,0.0
45.0,,,,,,,,,0.0,2.4,0.0,0.0
50.0,,,,,,,,,0.0,2.1,0.0,0.0
55.0,,,,,,,,,0.015,0.9,1.55,0.068
60.0,,,,,,,,,0.015,0.7,1.51,0.05
65.0,,,,,,,,,0.016,0.0,1.44,0.068
70.0,,,,,,,,,0.017,2.1,1.37,0.065
75.0,,,,,,,,,0.016,0.2,1.46,0.043
80.0,,,,,,,,,0.013,0.0,1.83,0.055
85.0,,,,,,,,,0.02,-0.5,1.16,0.0
90.0,,,,,,,,,0.038,1.6,0.63,0.026
95.0,,,,,,,,,0.029,2.1,0.81,0.027
100.0,,,,,,,,,0.002,0.7,80.9,0.0
105.0,,,,,,,,,0.004,0.2,81.55,1.879
110.0,,,,,,,,,0.025,0.7,0.9,0.032
115.0,,,,,,,,,0.034,-0.2,0.68,0.028
120.0,,,,,,,,,0.029,1.6,0.8,0.027
125.0,,,,,,,,,0.016,-0.5,1.4,0.0
130.0,,,,,,,,,0.005,1.2,80.13,5.15
