Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,1.1,14.6,0.0311,0.0,0.0616,0.0
5.0,,,,,,,,,0.0,0.0,0.0,13.97,0.0,1.916,0.0686,0.0036
10.0,,,,,,,,,0.0,0.0,0.0,14.31,0.0,20.1959,0.2314,0.0
15.0,,,,,,,,,0.0,0.0,0.4,14.58,0.0,30.4267,2.3181,0.0064
20.0,,,,,,,,,80.17,3.93,0.3,0.37,0.0,1.0613,0.0882,0.0
25.0,,,,,,,,,104.39,5.52,0.4,0.27,0.0001,0.9409,0.0642,0.0001
30.0,,,,,,,,,103.96,6.2,0.6,0.24,0.0,0.9929,0.0618,0.0001
35.0,,,,,,,,,49.42,7.13,1.0,0.22,0.0,1.4443,0.0734,0.0
40.0,,,,,,,,,123.45,10.71,0.0,0.79,0.0,0.9971,0.0824,0.0
45.0,,,,,,,,,249.2,13.97,42.1,0.76,0.0033,0.7172,0.0502,0.0
50.0,,,,,,,,,830.35,13.88,141.5,0.75,0.0034,0.7019,0.0356,0.0
55.0,,,,,,,,,983.78,13.87,153.4,0.72,0.0129,0.6748,0.0394,0.0
60.0,,,,,,,,,940.09,13.88,144.9,0.71,0.0119,0.6995,0.0321,0.0
65.0,,,,,,,,,1010.64,12.47,137.3,0.82,0.0124,0.7969,0.0342,0.0
70.0,,,,,,,,,976.69,12.25,138.1,0.87,0.0135,0.785,0.0318,0.0
75.0,,,,,,,,,927.32,11.95,139.8,0.92,0.014,0.7834,0.0249,0.0001
80.0,,,,,,,,,763.14,11.41,144.8,0.93,0.011,0.84,0.0132,0.0
85.0,,,,,,,,,582.51,11.88,136.3,0.88,0.008,0.8454,0.0162,0.0
90.0,,,,,,,,,612.77,11.86,135.2,0.9,0.007,0.8643,0.0158,0.0
95.0,,,,,,,,,592.79,11.67,139.6,0.9,0.0058,0.8688,0.0176,0.0
100.0,,,,,,,,,590.95,12.14,139.1,0.85,0.0066,0.842,0.0166,0.0
105.0,,,,,,,,,564.54,12.2,137.8,0.87,0.0066,0.8301,0.015,0.0
110.0,,,,,,,,,586.54,11.66,138.8,0.93,0.0058,0.858,0.0123,0.0
115.0,,,,,,,,,476.56,11.3,142.2,0.93,0.0064,0.8365,0.0107,0.0
120.0,,,,,,,,,427.35,11.49,139.5,0.85,0.0081,0.7894,0.0106,0.0
125.0,,,,,,,,,396.87,11.26,131.8,0.84,0.008,0.7787,0.01,0.0
130.0,,,,,,,,,445.5,10.51,127.1,0.89,0.0088,0.7746,0.0106,0.0
135.0,,,,,,,,,443.57,9.83,121.8,0.9,0.0059,0.8417,0.0105,0.0
140.0,,,,,,,,,452.81,9.47,117.2,0.97,0.0047,0.8799,0.0123,0.0
145.0,,,,,,,,,457.62,9.6,114.6,0.93,0.0057,0.8382,0.0098,0.0001
150.0,,,,,,,,,467.76,9.18,113.7,0.93,0.0056,0.8463,0.0103,0.0
155.0,,,,,,,,,415.49,9.21,108.4,0.89,0.006,0.8212,0.0118,0.0
160.0,,,,,,,,,406.29,9.43,103.2,0.87,0.0077,0.7665,0.01,0.0001
165.0,,,,,,,,,400.7,8.49,98.9,0.92,0.0038,0.8891,0.0106,0.0
170.0,,,,,,,,,418.67,8.39,96.7,0.91,0.0047,0.863,0.0103,0.0
175.0,,,,,,,,,349.61,9.09,94.7,0.83,0.0072,0.7573,0.0078,0.0001
180.0,,,,,,,,,343.12,8.61,92.5,0.87,0.0044,0.859,0.0082,0.0
185.0,,,,,,,,,335.88,7.8,90.8,0.97,0.0032,0.8994,0.0087,0.0
190.0,,,,,,,,,340.26,7.84,89.6,0.97,0.0045,0.8592,0.0081,0.0001
195.0,,,,,,,,,404.33,7.94,95.7,0.89,0.0051,0.8235,0.0083,0.0
200.0,,,,,,,,,405.8,7.44,89.1,0.98,0.002,0.9377,0.0095,0.0001
205.0,,,,,,,,,376.58,7.32,90.3,1.0,0.0014,0.9557,0.0081,0.0
210.0,,,,,,,,,382.74,7.69,90.8,0.97,0.0032,0.8899,0.0072,0.0
215.0,,,,,,,,,432.15,7.27,93.0,1.01,0.0024,0.9242,0.0083,0.0001
220.0,,,,,,,,,422.79,6.99,93.2,1.03,0.0023,0.9309,0.0096,0.0001
225.0,,,,,,,,,398.85,7.73,90.5,0.93,0.0061,0.8052,0.0098,0.0
230.0,,,,,,,,,388.64,7.89,90.6,0.92,0.0073,0.7611,0.0088,0.0
235.0,,,,,,,,,464.36,7.43,91.8,0.97,0.0058,0.833,0.0101,0.0
240.0,,,,,,,,,391.34,7.88,89.0,0.93,0.0068,0.79,0.0113,0.0001
245.0,,,,,,,,,467.34,7.74,91.1,0.95,0.0066,0.8152,0.0106,0.0
250.0,,,,,,,,,528.73,6.9,91.9,1.1,0.0044,0.8892,0.0136,0.0001
255.0,,,,,,,,,521.32,7.22,93.0,1.03,0.0073,0.8233,0.0127,0.0
260.0,,,,,,,,,528.14,7.9,93.8,0.93,0.0096,0.746,0.0124,0.0
265.0,,,,,,,,,542.67,7.9,91.9,0.96,0.0103,0.7415,0.0114,0.0001
270.0,,,,,,,,,531.3,7.63,95.3,1.01,0.0099,0.7608,0.0123,0.0
275.0,,,,,,,,,616.05,7.24,95.4,1.04,0.0097,0.7882,0.0159,0.0
280.0,,,,,,,,,615.19,7.34,95.2,1.05,0.0103,0.7719,0.0154,0.0
285.0,,,,,,,,,532.14,8.15,95.7,0.92,0.0132,0.6904,0.0143,0.0
290.0,,,,,,,,,617.95,7.49,96.8,0.98,0.0146,0.6846,0.0174,0.0
295.0,,,,,,,,,740.97,6.57,95.5,1.09,0.0095,0.8278,0.0204,0.0
300.0,,,,,,,,,703.59,7.29,95.1,0.99,0.0119,0.7608,0.0193,0.0001
305.0,,,,,,,,,655.12,7.56,94.9,0.96,0.0133,0.7322,0.02,0.0
310.0,,,,,,,,,688.66,6.99,96.1,1.01,0.011,0.7922,0.0195,0.0001
315.0,,,,,,,,,726.24,7.13,97.0,1.0,0.0128,0.762,0.02,0.0
320.0,,,,,,,,,672.78,7.26,96.3,0.97,0.0154,0.7098,0.0234,0.0
325.0,,,,,,,,,686.33,7.13,95.1,1.01,0.0141,0.7421,0.0214,0.0
330.0,,,,,,,,,703.87,7.34,97.3,0.98,0.0146,0.7227,0.0212,0.0001
335.0,,,,,,,,,737.39,7.13,97.0,1.0,0.0128,0.7678,0.02,0.0
340.0,,,,,,,,,686.99,7.04,95.5,1.03,0.0133,0.7629,0.0227,0.0
345.0,,,,,,,,,705.35,6.83,95.6,1.07,0.0162,0.716,0.0217,0.0001
350.0,,,,,,,,,775.12,6.47,94.8,1.14,0.0144,0.762,0.0238,0.0
355.0,,,,,,,,,718.69,7.03,95.1,1.05,0.0158,0.7114,0.0191,0.0
360.0,,,,,,,,,627.24,7.28,94.9,1.03,0.0177,0.6667,0.0194,0.0
365.0,,,,,,,,,713.54,6.58,95.2,1.15,0.0146,0.747,0.0222,0.0
370.0,,,,,,,,,745.94,6.04,93.1,1.28,0.0197,0.6884,0.0211,0.0
375.0,,,,,,,,,667.86,6.49,94.3,1.17,0.0183,0.6823,0.0204,0.0
380.0,,,,,,,,,591.66,6.79,93.5,1.12,0.0191,0.654,0.0182,0.0
385.0,,,,,,,,,648.36,6.63,93.2,1.14,0.0187,0.6642,0.0188,0.0
390.0,,,,,,,,,683.11,6.61,91.9,1.16,0.0173,0.6916,0.0197,0.0
395.0,,,,,,,,,691.25,6.16,90.6,1.28,0.0172,0.7087,0.0177,0.0
400.0,,,,,,,,,649.14,5.99,93.5,1.29,0.0173,0.7145,0.0189,0.0
405.0,,,,,,,,,644.14,6.28,91.8,1.24,0.018,0.6802,0.017,0.0
410.0,,,,,,,,,621.67,6.21,92.3,1.23,0.0187,0.6732,0.0181,0.0
415.0,,,,,,,,,627.34,5.97,91.2,1.25,0.016,0.7216,0.0168,0.0
420.0,,,,,,,,,580.79,6.12,89.6,1.23,0.0178,0.6835,0.0169,0.0
425.0,,,,,,,,,604.46,6.09,88.4,1.21,0.0153,0.7215,0.0165,0.0
430.0,,,,,,,,,685.54,5.28,88.9,1.38,0.0177,0.7205,0.0198,0.0
435.0,,,,,,,,,713.16,4.87,88.9,1.44,0.0132,0.8006,0.0194,0.0
440.0,,,,,,,,,619.97,5.28,87.5,1.32,0.0159,0.7377,0.0165,0.0
445.0,,,,,,,,,565.89,5.45,87.2,1.3,0.016,0.7229,0.0163,0.0001
450.0,,,,,,,,,590.46,5.61,87.6,1.24,0.015,0.7339,0.0155,0.0
455.0,,,,,,,,,594.18,5.52,88.6,1.24,0.0171,0.6951,0.0153,0.0
460.0,,,,,,,,,508.42,5.56,85.5,1.23,0.0163,0.7037,0.0149,0.0
465.0,,,,,,,,,533.43,5.48,85.2,1.24,0.0178,0.68,0.0153,0.0
470.0,,,,,,,,,535.43,4.94,85.8,1.4,0.0143,0.7627,0.0153,0.0
475.0,,,,,,,,,499.91,5.25,85.7,1.32,0.0162,0.7124,0.0141,0.0
480.0,,,,,,,,,463.61,5.34,84.5,1.28,0.0194,0.6446,0.0145,0.0
485.0,,,,,,,,,510.33,5.17,83.8,1.33,0.0161,0.7048,0.0148,0.0
490.0,,,,,,,,,566.46,4.75,83.4,1.48,0.0158,0.7339,0.014,0.0
495.0,,,,,,,,,581.09,4.15,84.6,1.7,0.0098,0.8844,0.017,0.0001
500.0,,,,,,,,,496.35,5.07,84.5,1.41,0.0194,0.6444,0.0141,0.0
505.0,,,,,,,,,399.63,5.4,83.7,1.3,0.0217,0.5744,0.0127,0.0
510.0,,,,,,,,,547.26,4.33,85.2,1.64,0.0145,0.7682,0.0151,0.0
515.0,,,,,,,,,508.23,4.06,82.7,1.79,0.014,0.7858,0.016,0.0
520.0,,,,,,,,,456.42,4.67,83.8,1.52,0.0174,0.6941,0.0137,0.0
525.0,,,,,,,,,491.46,5.01,83.2,1.44,0.016,0.6892,0.0116,0.0001
530.0,,,,,,,,,465.54,4.69,82.5,1.55,0.0195,0.6426,0.0131,0.0
535.0,,,,,,,,,449.71,4.63,84.1,1.57,0.0176,0.6906,0.0121,0.0
540.0,,,,,,,,,474.65,4.87,82.5,1.51,0.0208,0.5931,0.0117,0.0001
545.0,,,,,,,,,489.48,4.81,83.1,1.53,0.0216,0.5797,0.0112,0.0
550.0,,,,,,,,,512.78,4.57,84.7,1.6,0.0208,0.6147,0.0129,0.0
555.0,,,,,,,,,489.56,4.32,83.4,1.63,0.0163,0.7067,0.0122,0.0001
560.0,,,,,,,,,491.31,3.91,82.1,1.79,0.0138,0.776,0.0135,0.0001
565.0,,,,,,,,,536.57,3.75,81.6,1.92,0.0162,0.7458,0.0149,0.0001
570.0,,,,,,,,,532.91,4.03,83.5,1.72,0.0211,0.637,0.0129,0.0
575.0,,,,,,,,,413.09,4.64,82.7,1.48,0.0226,0.546,0.0125,0.0001
580.0,,,,,,,,,424.15,5.0,82.3,1.36,0.0196,0.5789,0.01,0.0
585.0,,,,,,,,,437.92,4.45,82.9,1.52,0.0203,0.6073,0.0123,0.0
590.0,,,,,,,,,497.99,3.97,81.8,1.74,0.019,0.6692,0.0132,0.0
595.0,,,,,,,,,515.02,4.37,83.4,1.54,0.0197,0.6382,0.0115,0.0
600.0,,,,,,,,,577.65,3.92,81.7,1.71,0.021,0.6456,0.0136,0.0
605.0,,,,,,,,,582.02,3.61,81.8,1.92,0.0204,0.688,0.0137,0.0
610.0,,,,,,,,,547.49,4.36,82.3,1.56,0.0208,0.6127,0.0117,0.0
615.0,,,,,,,,,515.56,4.07,81.9,1.7,0.0231,0.6039,0.0126,0.0
620.0,,,,,,,,,641.75,3.52,80.5,1.91,0.0183,0.7284,0.0139,0.0001
625.0,,,,,,,,,573.05,3.45,80.9,1.98,0.0203,0.7082,0.0138,0.0
