Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,257.75,,0.0256,,,,,,0.0,0.0,0.005,0.0,0.00094,6e-05,0.0001
5.0,257.76,,0.0256,,,,,,0.0,0.0,1.439,0.0,0.22117,0.01595,0.0739
10.0,257.73,,0.0256,,,,,,0.0,0.0,1.257,0.0,0.24666,0.01474,0.1253
15.0,257.72,,0.0257,,,,,,0.0,0.0,1.262,0.0,0.32629,0.01461,0.1563
20.0,257.69,,0.0255,,,,,,0.0,0.85,1.305,0.0,0.3267,0.01332,0.1413
25.0,257.67,,0.0257,,,,,,0.0,-0.85,1.093,0.0,0.1543,0.00554,0.1347
30.0,257.65,,0.0257,,,,,,0.0,-0.85,0.762,0.0,0.05301,0.00353,0.1103
35.0,257.61,,0.0255,,,,,,257.9,-0.84,0.42,0.0,0.09848,0.00174,0.0953
40.0,257.55,,0.0256,,,,,,357.3,-0.84,0.283,0.0,0.08188,0.00107,0.0977
45.0,257.4,,0.0256,,,,,,506.6,-0.84,0.248,0.0,0.06692,0.00085,0.0966
50.0,257.26,,0.0256,,,,,,619.5,0.0,0.217,0.0,0.33255,0.00077,0.1033
55.0,257.06,,0.0256,,,,,,626.3,0.0,0.161,0.0,0.66277,0.0006,0.0993
60.0,256.89,,0.0258,,,,,,418.5,0.0,0.588,0.006,0.49573,0.00034,0.066
65.0,256.53,,0.0251,,,,,,472.6,-0.83,0.842,0.004,0.29561,0.0002,0.0921
70.0,255.81,,0.0243,,,,,,685.5,1.62,0.87,0.02,0.23266,0.00017,0.0919
75.0,255.01,,0.0241,,,,,,1001.1,1.6,0.886,0.021,0.23334,0.00018,0.0962
80.0,254.32,,0.0243,,,,,,1111.3,3.23,0.912,0.05,0.26578,0.00021,0.0907
85.0,253.72,,0.0244,,,,,,1127.5,58.32,0.948,0.055,0.30057,0.00049,0.0829
90.0,253.18,,0.0243,,,,,,965.2,218.41,0.984,0.076,0.32251,0.00051,0.0768
95.0,252.64,,0.0244,,,,,,895.6,294.07,1.04,0.077,0.326,0.00051,0.0655
100.0,252.11,,0.0243,,,,,,858.7,295.24,1.086,0.089,0.31783,0.00052,0.053
