Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,17.7,0.0,0.0
5.0,,,,,,,,,0.0,255.9,0.0,0.0
15.0,,,,,,,,,0.017,145.3,13.64,0.633
25.0,,,,,,,,,0.017,134.7,8.63,0.772
35.0,,,,,,,,,0.112,119.1,1.14,0.09
45.0,,,,,,,,,0.187,107.2,0.66,0.04
55.0,,,,,,,,,0.194,86.7,0.59,0.034
65.0,,,,,,,,,0.152,78.2,0.67,0.033
75.0,,,,,,,,,0.119,60.3,0.78,0.04
85.0,,,,,,,,,0.092,49.5,0.87,0.049
95.0,,,,,,,,,0.074,41.9,0.98,0.054
105.0,,,,,,,,,0.059,40.1,1.14,0.073
115.0,,,,,,,,,0.042,37.2,1.54,0.118
125.0,,,,,,,,,0.036,33.7,1.71,0.153
135.0,,,,,,,,,0.033,34.6,1.83,0.166
145.0,,,,,,,,,0.028,30.1,2.08,0.216
155.0,,,,,,,,,0.028,28.9,2.02,0.208
165.0,,,,,,,,,0.03,28.1,1.86,0.176
175.0,,,,,,,,,0.03,24.6,1.84,0.173
185.0,,,,,,,,,0.027,25.9,1.98,0.186
195.0,,,,,,,,,0.03,24.4,1.76,0.143
205.0,,,,,,,,,0.034,23.8,1.53,0.142
215.0,,,,,,,,,0.032,23.6,1.63,0.151
225.0,,,,,,,,,0.027,23.2,1.92,0.171
235.0,,,,,,,,,0.027,21.1,1.89,0.166
245.0,,,,,,,,,0.03,21.3,1.73,0.166
255.0,,,,,,,,,0.032,21.1,1.59,0.155
265.0,,,,,,,,,0.037,21.9,1.35,0.115
275.0,,,,,,,,,0.041,20.9,1.25,0.106
285.0,,,,,,,,,0.036,21.0,1.4,0.13
295.0,,,,,,,,,0.031,22.0,1.64,0.14
305.0,,,,,,,,,0.032,20.7,1.58,0.141
315.0,,,,,,,,,0.033,19.8,1.52,0.133
325.0,,,,,,,,,0.03,19.6,1.65,0.144
335.0,,,,,,,,,0.03,19.4,1.62,0.14
