Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
10.0,,,,,,,,,,,,
15.0,,,,,,,,,,,,
20.0,,,,,,,,,0.0,0.0,0.0,0.0
25.0,,,,,,,,,0.0,0.5,0.0,0.0
30.0,,,,,,,,,0.0,15.0,0.0,0.0
35.0,,,,,,,,,0.0,161.5,0.0,0.0
40.0,,,,,,,,,0.0,156.6,0.0,0.0
45.0,,,,,,,,,0.0,157.7,0.0,0.0
50.0,,,,,,,,,0.0,136.4,0.0,0.0
55.0,,,,,,,,,0.0,92.9,0.0,0.0
60.0,,,,,,,,,0.0,79.3,0.0,0.0
65.0,,,,,,,,,0.035,85.3,2.9,0.315
70.0,,,,,,,,,0.053,91.2,1.93,0.233
75.0,,,,,,,,,0.044,92.5,2.34,0.254
80.0,,,,,,,,,0.049,77.4,1.98,0.176
85.0,,,,,,,,,0.062,66.2,1.46,0.122
90.0,,,,,,,,,0.04,49.0,2.01,0.147
95.0,,,,,,,,,0.014,32.5,4.92,0.381
100.0,,,,,,,,,0.014,23.9,4.06,0.34
105.0,,,,,,,,,0.023,18.2,2.19,0.209
110.0,,,,,,,,,0.033,18.8,1.48,0.135
115.0,,,,,,,,,0.031,17.2,1.53,0.148
120.0,,,,,,,,,0.016,15.3,2.88,0.255
125.0,,,,,,,,,0.009,19.1,5.68,0.549
130.0,,,,,,,,,0.011,19.1,4.39,0.424
135.0,,,,,,,,,0.018,17.9,2.62,0.241
140.0,,,,,,,,,0.03,18.9,1.61,0.151
145.0,,,,,,,,,0.029,16.3,1.64,0.143
150.0,,,,,,,,,0.021,16.4,2.38,0.217
155.0,,,,,,,,,0.02,17.6,2.41,0.226
160.0,,,,,,,,,0.018,18.5,2.73,0.231
165.0,,,,,,,,,0.011,20.2,4.32,0.367
170.0,,,,,,,,,0.012,18.4,3.95,0.367
175.0,,,,,,,,,0.023,17.5,2.13,0.185
180.0,,,,,,,,,0.027,17.2,1.82,0.15
185.0,,,,,,,,,0.02,17.7,2.49,0.233
190.0,,,,,,,,,0.015,19.7,3.18,0.283
195.0,,,,,,,,,0.018,18.2,2.78,0.217
200.0,,,,,,,,,0.019,18.4,2.62,0.226
205.0,,,,,,,,,0.01,19.3,4.81,0.414
210.0,,,,,,,,,0.012,17.2,4.2,0.336
215.0,,,,,,,,,0.029,17.6,1.72,0.151
