Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.7,0.0,0.0
5.0,,,,,,,,,0.0,147.2,0.0,0.0
15.0,,,,,,,,,0.021,245.4,6.88,0.3
25.0,,,,,,,,,0.021,142.4,8.91,0.455
35.0,,,,,,,,,0.123,105.7,1.03,0.107
45.0,,,,,,,,,0.199,93.4,0.56,0.048
55.0,,,,,,,,,0.216,94.4,0.48,0.032
65.0,,,,,,,,,0.167,78.3,0.65,0.036
75.0,,,,,,,,,0.129,62.1,0.75,0.036
85.0,,,,,,,,,0.108,50.8,0.78,0.038
95.0,,,,,,,,,0.092,43.0,0.83,0.039
105.0,,,,,,,,,0.078,41.1,0.9,0.046
115.0,,,,,,,,,0.06,38.1,1.12,0.066
125.0,,,,,,,,,0.05,36.0,1.33,0.082
135.0,,,,,,,,,0.05,33.9,1.29,0.081
145.0,,,,,,,,,0.053,29.6,1.18,0.085
155.0,,,,,,,,,0.056,30.5,1.09,0.084
165.0,,,,,,,,,0.053,28.6,1.12,0.08
175.0,,,,,,,,,0.053,26.8,1.15,0.087
185.0,,,,,,,,,0.061,27.5,0.94,0.075
195.0,,,,,,,,,0.065,27.1,0.87,0.065
205.0,,,,,,,,,0.062,25.8,0.94,0.07
215.0,,,,,,,,,0.057,24.1,1.0,0.082
225.0,,,,,,,,,0.055,22.4,0.98,0.076
235.0,,,,,,,,,0.06,23.2,0.9,0.067
245.0,,,,,,,,,0.062,22.4,0.88,0.067
255.0,,,,,,,,,0.108,23.1,0.5,0.044
265.0,,,,,,,,,0.138,23.3,0.4,0.032
275.0,,,,,,,,,0.061,23.4,0.88,0.074
285.0,,,,,,,,,0.0,22.3,190.25,14.923
