Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.018480000000000003,,,,,,,0.0,0.0,0.0
6.0,,0.014080000000000002,,,,,,,0.0,0.0,0.0
12.0,,0.00792,,,,,,,0.0,0.0,0.0
18.0,,0.04224,,,,,,,0.0,0.0,0.0
24.0,,0.02464,,,,,,,0.079,0.33,0.009
30.0,,0.02552,,,,,,,0.282,0.09,0.003
36.0,,0.01672,,,,,,,0.31,0.09,0.004
42.0,,0.01672,,,,,,,0.133,0.43,0.027
48.0,,0.6318400000000001,,,,,,,0.153,1.12,0.092
54.0,,2.11992,,,,,,,0.152,1.16,0.076
60.0,,1.75296,,,,,,,0.112,1.58,0.103
66.0,,1.7371200000000002,,,,,,,0.072,2.62,0.234
72.0,,1.88496,,,,,,,0.043,4.1,0.353
78.0,,1.64736,,,,,,,0.032,4.92,0.314
84.0,,1.2575200000000002,,,,,,,0.022,6.26,0.294
90.0,,0.9187200000000001,,,,,,,0.018,6.15,0.234
96.0,,0.6503200000000001,,,,,,,0.013,7.17,0.278
102.0,,0.5209600000000001,,,,,,,0.007,11.68,0.539
108.0,,0.42856000000000005,,,,,,,0.008,8.03,0.494
114.0,,0.28688,,,,,,,0.006,9.06,0.658
120.0,,0.18656,,,,,,,0.007,6.96,0.602
126.0,,0.16368000000000002,,,,,,,0.007,5.95,0.548
132.0,,0.14608000000000002,,,,,,,0.004,132.26,12.674
138.0,,0.14696,,,,,,,0.004,131.6,11.54
144.0,,0.14432,,,,,,,0.006,6.16,0.641
150.0,,0.14432,,,,,,,0.008,4.91,0.548
156.0,,0.14256,,,,,,,0.007,5.58,0.691
162.0,,0.16544,,,,,,,0.006,134.19,15.573
168.0,,0.16808000000000003,,,,,,,0.004,137.14,18.08
174.0,,0.17336000000000001,,,,,,,0.008,5.06,0.653
180.0,,0.1716,,,,,,,0.008,5.34,0.758
186.0,,0.19360000000000002,,,,,,,0.006,6.4,0.957
