Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,0.0
5.0,,,,,,,,,0.0,0.5,0.0,0.0
10.0,,,,,,,,,,,,
15.0,,,,,,,,,0.0,0.7,0.0,0.0
20.0,,,,,,,,,0.0,2.8,0.0,0.0
25.0,,,,,,,,,0.0,0.2,0.0,0.0
30.0,,,,,,,,,0.0,2.1,0.0,0.0
35.0,,,,,,,,,0.0,2.6,0.0,0.0
40.0,,,,,,,,,0.0,3.1,0.0,0.0
45.0,,,,,,,,,0.0,7.8,0.0,0.0
50.0,,,,,,,,,0.0,6.1,0.0,0.0
55.0,,,,,,,,,0.0,1.9,0.0,0.0
60.0,,,,,,,,,0.001,2.1,84.62,4.388
65.0,,,,,,,,,0.0,1.4,85.8,5.576
70.0,,,,,,,,,0.0,0.5,83.68,3.272
75.0,,,,,,,,,0.003,0.0,83.17,3.059
80.0,,,,,,,,,0.005,1.4,81.33,1.957
85.0,,,,,,,,,0.005,0.7,79.89,3.052
90.0,,,,,,,,,0.005,1.2,82.58,4.404
95.0,,,,,,,,,0.005,-0.2,79.73,2.517
100.0,,,,,,,,,0.003,0.0,82.35,4.356
105.0,,,,,,,,,0.007,2.3,3.13,0.086
110.0,,,,,,,,,0.007,1.6,3.09,0.165
115.0,,,,,,,,,0.007,0.2,3.12,0.117
120.0,,,,,,,,,0.007,0.2,3.1,0.202
125.0,,,,,,,,,0.007,-0.9,3.19,0.148
130.0,,,,,,,,,0.007,1.4,3.18,0.102
135.0,,,,,,,,,0.002,1.2,80.52,1.668
140.0,,,,,,,,,0.002,1.6,81.04,1.799
145.0,,,,,,,,,0.002,0.9,81.01,3.605
150.0,,,,,,,,,0.002,0.9,79.35,3.572
155.0,,,,,,,,,0.002,-0.5,80.08,3.885
160.0,,,,,,,,,0.002,0.9,79.57,3.1
165.0,,,,,,,,,0.002,2.3,79.8,3.204
170.0,,,,,,,,,0.002,1.4,80.82,2.987
175.0,,,,,,,,,0.006,-0.5,3.85,0.074
180.0,,,,,,,,,0.007,-0.7,3.05,0.093
185.0,,,,,,,,,0.01,1.4,2.23,0.08
190.0,,,,,,,,,0.006,2.1,3.89,0.17
195.0,,,,,,,,,0.006,0.0,3.93,0.245
200.0,,,,,,,,,0.006,0.2,3.94,0.121
205.0,,,,,,,,,0.006,-0.5,3.98,0.152
210.0,,,,,,,,,0.006,0.9,3.89,0.161
215.0,,,,,,,,,0.006,1.4,3.84,0.086
220.0,,,,,,,,,0.014,-0.5,1.65,0.076
225.0,,,,,,,,,0.007,-1.2,3.07,0.103
230.0,,,,,,,,,0.007,1.4,3.14,0.124
235.0,,,,,,,,,0.007,0.5,3.14,0.106
240.0,,,,,,,,,0.008,1.9,2.7,0.064
245.0,,,,,,,,,0.01,-1.2,2.21,0.085
