Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.5,0.0,0.0
5.0,,,,,,,,,0.008,1.4,3.07,0.074
10.0,,,,,,,,,0.008,0.9,3.08,0.119
15.0,,,,,,,,,0.008,1.9,3.2,0.117
20.0,,,,,,,,,0.008,1.9,3.3,0.099
25.0,,,,,,,,,0.008,54.1,7.58,0.196
30.0,,,,,,,,,0.008,115.0,12.61,0.259
35.0,,,,,,,,,0.008,73.0,11.27,0.241
40.0,,,,,,,,,0.008,32.0,8.05,0.357
45.0,,,,,,,,,0.008,13.3,5.9,0.398
50.0,,,,,,,,,0.008,10.4,4.92,0.47
55.0,,,,,,,,,0.008,8.5,4.39,0.558
60.0,,,,,,,,,0.008,12.1,4.32,0.526
65.0,,,,,,,,,0.008,10.0,4.18,0.448
70.0,,,,,,,,,0.008,8.9,4.08,0.476
75.0,,,,,,,,,0.005,9.0,119.38,14.79
80.0,,,,,,,,,0.013,8.4,2.5,0.301
85.0,,,,,,,,,0.016,8.8,2.03,0.213
90.0,,,,,,,,,0.014,11.1,2.49,0.226
95.0,,,,,,,,,0.002,12.3,130.55,11.792
100.0,,,,,,,,,0.002,13.4,135.05,12.015
105.0,,,,,,,,,0.002,15.0,138.68,14.378
110.0,,,,,,,,,0.01,12.9,3.75,0.331
115.0,,,,,,,,,0.029,14.0,1.31,0.126
120.0,,,,,,,,,0.044,14.1,0.86,0.082
125.0,,,,,,,,,0.033,14.1,1.17,0.114
130.0,,,,,,,,,0.004,14.4,136.93,12.401
135.0,,,,,,,,,0.004,12.2,133.55,12.354
140.0,,,,,,,,,0.004,14.2,129.25,11.888
145.0,,,,,,,,,0.004,12.9,130.67,12.374
150.0,,,,,,,,,0.008,12.0,4.53,0.429
155.0,,,,,,,,,0.016,12.2,2.23,0.213
160.0,,,,,,,,,0.017,11.5,2.07,0.208
165.0,,,,,,,,,0.014,11.3,2.65,0.311
170.0,,,,,,,,,0.01,12.0,3.65,0.388
175.0,,,,,,,,,0.011,12.9,3.25,0.304
180.0,,,,,,,,,0.007,14.1,5.35,0.58
185.0,,,,,,,,,0.013,11.8,2.79,0.317
190.0,,,,,,,,,0.018,12.9,2.05,0.199
195.0,,,,,,,,,0.003,11.5,127.7,12.634
200.0,,,,,,,,,0.001,13.8,133.16,12.663
205.0,,,,,,,,,0.009,12.8,4.02,0.398
210.0,,,,,,,,,0.012,12.1,3.11,0.32
215.0,,,,,,,,,0.012,11.7,2.96,0.273
220.0,,,,,,,,,0.008,13.6,4.49,0.463
225.0,,,,,,,,,0.005,12.4,132.2,14.365
230.0,,,,,,,,,0.003,10.8,133.06,14.567
235.0,,,,,,,,,0.004,12.2,131.63,13.642
240.0,,,,,,,,,0.007,12.2,5.19,0.599
245.0,,,,,,,,,0.012,12.2,3.18,0.323
250.0,,,,,,,,,0.019,11.3,2.03,0.223
255.0,,,,,,,,,0.018,12.4,2.04,0.229
260.0,,,,,,,,,0.008,13.4,4.85,0.506
265.0,,,,,,,,,0.004,12.5,132.27,14.655
270.0,,,,,,,,,0.009,12.6,4.13,0.441
275.0,,,,,,,,,0.021,12.6,1.77,0.208
280.0,,,,,,,,,0.029,13.1,1.24,0.122
285.0,,,,,,,,,0.02,10.4,1.81,0.2
290.0,,,,,,,,,0.012,14.5,3.07,0.3
295.0,,,,,,,,,0.009,10.6,4.37,0.466
300.0,,,,,,,,,0.009,12.0,4.12,0.418
305.0,,,,,,,,,0.016,12.7,2.36,0.245
310.0,,,,,,,,,0.018,12.2,2.04,0.221
315.0,,,,,,,,,0.012,10.1,2.97,0.3
320.0,,,,,,,,,0.004,9.7,129.87,15.222
325.0,,,,,,,,,0.0,12.2,129.77,17.184
330.0,,,,,,,,,0.013,14.0,2.75,0.322
335.0,,,,,,,,,0.027,10.8,1.33,0.166
340.0,,,,,,,,,0.017,11.3,2.14,0.261
345.0,,,,,,,,,0.007,12.6,5.34,0.594
350.0,,,,,,,,,0.009,11.0,3.9,0.487
355.0,,,,,,,,,0.016,12.4,2.28,0.263
360.0,,,,,,,,,0.027,11.8,1.33,0.143
365.0,,,,,,,,,0.026,10.9,1.39,0.162
370.0,,,,,,,,,0.014,12.2,2.55,0.323
375.0,,,,,,,,,0.013,11.1,2.66,0.343
380.0,,,,,,,,,0.018,10.4,2.0,0.229
385.0,,,,,,,,,0.008,10.1,4.55,0.522
390.0,,,,,,,,,0.008,9.4,4.54,0.601
395.0,,,,,,,,,0.008,11.0,4.5,0.557
400.0,,,,,,,,,0.008,11.6,4.59,0.604
405.0,,,,,,,,,0.006,12.5,129.53,17.162
