Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.7,0.0,0.0
3.0,,,,,,,,,0.0,0.9,0.0,0.0
6.0,,,,,,,,,0.0,2.0,0.0,0.0
9.0,,,,,,,,,0.0,0.8,0.0,0.0
12.0,,,,,,,,,0.0,0.0,0.0,0.0
15.0,,,,,,,,,0.0,0.3,0.0,0.0
18.0,,,,,,,,,0.0,2.0,0.0,0.0
21.0,,,,,,,,,0.0,0.0,0.0,0.0
24.0,,,,,,,,,0.0,1.4,0.0,0.0
27.0,,,,,,,,,0.0,1.7,0.0,0.0
30.0,,,,,,,,,0.0,1.7,0.0,0.0
33.0,,,,,,,,,0.0,3.3,0.0,0.0
36.0,,,,,,,,,0.0,1.9,0.0,0.0
39.0,,,,,,,,,0.0,-1.0,0.0,0.0
42.0,,,,,,,,,0.16,2.1,0.14,-0.666
45.0,,,,,,,,,0.16,2.9,0.14,-0.677
48.0,,,,,,,,,0.159,2.6,0.19,-0.674
51.0,,,,,,,,,0.157,2.9,0.74,-0.685
54.0,,,,,,,,,0.156,1.6,1.33,-0.703
57.0,,,,,,,,,0.155,1.8,1.59,-0.702
60.0,,,,,,,,,0.154,15.5,1.68,-0.704
63.0,,,,,,,,,0.154,78.8,1.68,-0.701
66.0,,,,,,,,,0.154,159.6,1.69,-0.71
69.0,,,,,,,,,0.153,205.6,1.66,-0.704
72.0,,,,,,,,,0.152,226.2,1.65,-0.711
75.0,,,,,,,,,0.15,225.7,1.65,-0.73
78.0,,,,,,,,,0.148,222.8,1.64,-0.734
81.0,,,,,,,,,0.146,217.7,1.64,-0.748
84.0,,,,,,,,,0.145,211.9,1.62,-0.749
87.0,,,,,,,,,0.145,207.5,1.61,-0.755
90.0,,,,,,,,,0.145,203.5,1.57,-0.748
93.0,,,,,,,,,0.144,200.3,1.56,-0.752
96.0,,,,,,,,,0.143,193.6,1.54,-0.767
99.0,,,,,,,,,0.142,191.8,1.52,-0.774
102.0,,,,,,,,,0.141,189.4,1.52,-0.777
105.0,,,,,,,,,0.141,185.2,1.49,-0.779
108.0,,,,,,,,,0.139,183.7,1.5,-0.801
111.0,,,,,,,,,0.137,177.9,1.49,-0.835
114.0,,,,,,,,,0.135,174.1,1.49,-0.842
117.0,,,,,,,,,0.132,170.6,1.51,-0.866
120.0,,,,,,,,,0.131,168.0,1.49,-0.867
123.0,,,,,,,,,0.131,165.8,1.48,-0.866
126.0,,,,,,,,,0.13,163.4,1.49,-0.873
129.0,,,,,,,,,0.129,162.8,1.49,-0.889
132.0,,,,,,,,,0.128,160.4,1.49,-0.879
135.0,,,,,,,,,0.126,157.7,1.46,-0.909
138.0,,,,,,,,,0.125,156.1,1.48,-0.931
141.0,,,,,,,,,0.123,157.0,1.47,-0.925
144.0,,,,,,,,,0.123,154.8,1.46,-0.947
147.0,,,,,,,,,0.123,148.2,1.43,-0.94
150.0,,,,,,,,,0.122,147.3,1.44,-0.948
153.0,,,,,,,,,0.121,146.6,1.44,-0.948
156.0,,,,,,,,,0.12,145.0,1.44,-0.943
159.0,,,,,,,,,0.119,141.1,1.42,-0.952
162.0,,,,,,,,,0.119,140.8,1.41,-0.972
165.0,,,,,,,,,0.119,139.9,1.42,-0.977
168.0,,,,,,,,,0.119,138.0,1.42,-0.982
171.0,,,,,,,,,0.118,136.1,1.41,-0.973
174.0,,,,,,,,,0.117,136.1,1.42,-0.982
177.0,,,,,,,,,0.116,133.3,1.42,-0.97
180.0,,,,,,,,,0.115,133.7,1.41,-0.982
183.0,,,,,,,,,0.115,131.8,1.41,-0.999
186.0,,,,,,,,,0.114,128.7,1.39,-0.998
