Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,,0.0,,0.05,,,0.0009
5.0,,0.012,,,,,,,76.0,0.0285,0.54,,0.9436,1.0386,0.0006
10.0,,0.129,,,,,,,125.0,0.0631,1.87,,1.3089,,0.0036
15.0,,1.12,,,,,,,175.0,0.0639,2.26,0.0032,1.2112,,0.004
20.0,,2.292,,,,,,,224.0,0.0793,1.94,0.0022,0.944,,0.0039
25.0,,2.959,,,,,,,274.0,0.1095,1.74,0.008,0.6504,,0.004
30.0,,3.345,,,,,,,323.0,0.133,1.6,0.007,0.7896,,0.004
35.0,,3.633,,,,,,,373.0,0.15,1.35,0.0124,0.634,,0.0035
40.0,,3.607,,,,,,,373.0,0.1603,1.46,0.0132,0.6707,,0.0034
45.0,,3.297,,,,,,,365.0,0.1493,1.47,0.017,0.6293,,0.0034
50.0,,3.498,,,,,,,356.0,0.1477,1.38,0.018,0.7747,,0.0038
55.0,,3.406,,,,,,,346.0,0.1401,1.38,0.0218,0.7015,,0.0026
60.0,,2.9730000000000003,,,,,,,353.0,0.1278999999999999,1.54,0.0235,0.8602,,0.0033
65.0,,2.9530000000000003,,,,,,,354.0,0.119,1.53,0.0213,0.9928,,0.0041
70.0,,2.93,,,,,,,361.0,0.1138,1.68,0.0204,1.0342,,0.0033
75.0,,3.119,,,,,,,356.0,0.118,1.75,0.0177,0.9827,,0.0029
80.0,,3.424,,,,,,,352.0,0.1306,1.83,0.0152,1.0269,,0.0024
85.0,,3.912,,,,,,,342.0,0.1457,1.83,0.0135,0.8956,,0.0023
90.0,,4.432,,,,,,,328.0,0.1611,1.9,0.0126,0.8316,,0.0022
95.0,,4.832,,,,,,,314.0,0.1706,1.78,0.0129,0.8341,,0.0017
100.0,,5.0680000000000005,,,,,,,310.0,0.1786,1.76,0.0126,0.8033,,0.0015
105.0,,5.0,,,,,,,318.0,0.1794,1.75,0.0138,0.7821,,0.0018
110.0,,4.908,,,,,,,346.0,0.1771,1.73,0.0143,0.7948,,0.0018
115.0,,5.018,,,,,,,380.0,0.1694,1.72,0.0168,0.7562,,0.0022
120.0,,4.771,,,,,,,423.0,0.1619,1.71,0.0176,0.7663,,0.0025
125.0,,4.356000000000001,,,,,,,467.0,0.1546,1.55,0.0191,0.7811,,0.0032
130.0,,4.155,,,,,,,501.0,0.1459,1.59,0.0209,0.7936,,0.004
135.0,,3.797,,,,,,,542.0,0.1371,1.67,0.0248,0.6349,,0.0041
140.0,,3.715,,,,,,,608.0,0.1257,1.55,0.026,0.4806,,0.0043
145.0,,3.4760000000000004,,,,,,,743.0,0.119,1.69,0.0352,0.7671,,0.0074
150.0,,3.174,,,,,,,856.0,0.0936999999999999,1.25,0.0542,0.452,,0.0054
155.0,,2.297,,,,,,,1520.0,0.0612,1.36,0.1225,,,0.0074
160.0,,1.07,,,,,,,2760.0,0.0248,,,,,
165.0,,0.512,,,,,,,,0.0029,,,,,
170.0,,0.265,,,,,,,,0.0006,,,,,
175.0,,0.156,,,,,,,,-0.0008,,,,,
180.0,,0.093,,,,,,,,-0.0019,,,,,
185.0,,0.068,,,,,,,,-0.0024,,,,,
190.0,,0.044,,,,,,,,-0.0002,,,,,
195.0,,0.043,,,,,,,,-0.0013,,,,,
200.0,,0.036,,,,,,,,0.0022,,,,,
205.0,,0.022,,,,,,,,-0.0016,,,,,
210.0,,0.034,,,,,,,,-0.0015,,,,,
215.0,,0.032,,,,,,,,-0.0018,,,,,
220.0,,0.016,,,,,,,,-0.0024,,,,,
225.0,,0.017,,,,,,,,-0.002,,,,,
230.0,,0.021,,,,,,,,-0.0032,,,,,
235.0,,0.027,,,,,,,,0.0013,,,,,
240.0,,0.021,,,,,,,,-0.0017,,,,,
245.0,,0.019,,,,,,,,0.0019,,,,,
250.0,,0.021,,,,,,,,0.0016,,,,,
255.0,,0.021,,,,,,,,0.0042,,,,,
260.0,,0.0139999999999999,,,,,,,,-0.0004,,,,,
265.0,,0.02,,,,,,,,0.0002,,,,,
270.0,,0.013,,,,,,,,0.0004,,,,,
275.0,,0.024,,,,,,,,-0.0021,,,,,
280.0,,0.031,,,,,,,,0.004,,,,,
285.0,,0.0409999999999999,,,,,,,,0.0034,,0.0096,0.0546,0.0013,
290.0,,0.051,,,,,,,,0.0061,,,,,
295.0,,0.051,,,,,,,33.0,0.0272,0.18,,,,
300.0,,0.055,,,,,,,,-0.0118999999999999,,,,,
305.0,,0.065,,,,,,,,,,,,,
