Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,292.1,,,,,,,,,,,,,
5.0,292.1,,,,,,,,,,,,,
10.0,292.1,,,,,,,,,,,,,
15.0,292.276,0.01408,,,,,,,113.0,1.98,0.0013,2.6687,0.0272,
20.0,291.572,0.26048,,,,,,,145.0,1.7,0.0006,1.3933,0.0025,
25.0,291.48400000000004,1.35696,,,,,,,177.0,1.37,0.002,1.0311,0.0014,
30.0,290.60400000000004,1.91048,,,,,,,209.0,1.23,0.0016,0.8956,0.0015,
35.0,290.076,2.1876800000000003,,,,,,,241.0,1.07,0.0039,0.7784,0.0017,
40.0,289.108,2.36104,,,,,,,273.0,0.93,0.0032,0.6548,0.0019,
45.0,288.31600000000003,2.48512,,,,,,,305.0,0.85,0.0058,0.5728,0.0022,
50.0,286.908,2.60216,,,,,,,392.0,0.92,0.0067,0.5988,0.0027,
55.0,286.204,2.49832,,,,,,,457.0,1.0,0.0124,0.6715,0.0039,
60.0,285.85200000000003,2.3214400000000004,,,,,,,470.0,1.21,0.0176,0.8682,0.0058,
65.0,285.41200000000003,2.05744,,,,,,,458.0,1.2,0.022,0.8177,0.0055,
70.0,284.79600000000005,1.82336,,,,,,,431.0,0.85,0.018,0.6416,0.0037,
75.0,284.444,1.60424,,,,,,,411.0,0.81,0.0183,0.6096,0.0031,
80.0,283.564,1.3807200000000002,,,,,,,422.0,0.77,0.0193,0.6255,0.0023,
85.0,283.564,1.24696,,,,,,,406.0,0.88,0.0201,0.7665,0.0025,
90.0,282.86,1.12816,,,,,,,473.0,1.59,0.039,1.3527,0.0034,
95.0,283.036,1.02872,,,,,,,402.0,1.63,0.0283,1.4176,0.0028,
100.0,282.86,0.93368,,,,,,,370.0,4.13,0.0774,3.5323,0.0068,
105.0,282.684,0.8439200000000001,,,,,,,359.0,1.25,0.0151,1.0703,0.002,
110.0,282.77200000000005,0.7656000000000001,,,,,,,352.0,2.55,0.0311,2.0015,0.0037,
