Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.9,0.0,0.0
5.0,,,,,,,,,0.0,-1.2,0.0,0.0
10.0,,,,,,,,,0.0,-1.2,0.0,0.0
15.0,,,,,,,,,0.0,-0.5,0.0,0.0
20.0,,,,,,,,,0.0,-0.7,0.0,0.0
25.0,,,,,,,,,0.0,56.6,0.0,0.0
30.0,,,,,,,,,0.141,281.5,1.25,0.176
35.0,,,,,,,,,0.134,113.4,0.91,0.076
40.0,,,,,,,,,0.073,52.4,1.2,0.077
45.0,,,,,,,,,0.04,15.1,1.4,0.097
50.0,,,,,,,,,0.031,6.2,1.41,0.121
55.0,,,,,,,,,0.029,22.5,1.84,0.136
60.0,,,,,,,,,0.03,40.7,2.17,0.202
65.0,,,,,,,,,0.045,58.8,1.73,0.17
70.0,,,,,,,,,0.062,69.5,1.38,0.149
75.0,,,,,,,,,0.053,73.1,1.69,0.179
80.0,,,,,,,,,0.037,65.3,2.28,0.229
85.0,,,,,,,,,0.03,54.4,2.65,0.247
90.0,,,,,,,,,0.03,34.3,2.15,0.181
95.0,,,,,,,,,0.037,26.7,1.54,0.133
100.0,,,,,,,,,0.036,16.6,1.32,0.116
105.0,,,,,,,,,0.045,18.5,1.05,0.088
110.0,,,,,,,,,0.049,15.3,0.87,0.075
115.0,,,,,,,,,0.024,14.6,1.79,0.169
120.0,,,,,,,,,0.001,15.3,155.21,11.874
125.0,,,,,,,,,0.016,13.1,2.56,0.0
130.0,,,,,,,,,0.028,13.8,1.41,0.134
