Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,0.0,-0.5,0.0,0.0
10.0,,,,,,,,,0.006,0.7,4.44,0.153
15.0,,,,,,,,,0.006,0.5,4.45,0.128
20.0,,,,,,,,,0.004,0.2,92.58,2.574
25.0,,,,,,,,,0.004,5.0,108.5,5.015
30.0,,,,,,,,,0.003,2.4,100.64,5.391
35.0,,,,,,,,,0.018,1.9,1.58,0.072
40.0,,,,,,,,,0.032,40.8,2.06,0.226
45.0,,,,,,,,,0.069,120.9,1.61,0.123
50.0,,,,,,,,,0.088,60.7,0.92,0.059
55.0,,,,,,,,,0.03,29.5,2.07,0.123
60.0,,,,,,,,,0.03,11.1,1.42,0.073
65.0,,,,,,,,,0.03,1.9,1.09,0.066
70.0,,,,,,,,,0.009,1.9,3.21,0.147
75.0,,,,,,,,,0.008,0.5,3.49,0.152
80.0,,,,,,,,,0.015,1.0,1.92,0.123
85.0,,,,,,,,,0.018,2.9,1.51,0.095
95.0,,,,,,,,,0.013,1.7,2.07,0.119
100.0,,,,,,,,,0.001,1.2,93.71,3.974
105.0,,,,,,,,,0.001,0.7,94.04,4.49
110.0,,,,,,,,,0.001,2.1,95.25,3.351
115.0,,,,,,,,,0.009,3.8,2.93,0.079
120.0,,,,,,,,,0.018,1.9,1.53,0.052
125.0,,,,,,,,,0.017,2.2,1.62,0.09
130.0,,,,,,,,,0.006,1.7,4.51,0.272
135.0,,,,,,,,,0.006,1.4,4.51,0.143
140.0,,,,,,,,,0.006,2.6,4.68,0.208
145.0,,,,,,,,,0.003,1.7,95.61,2.639
150.0,,,,,,,,,0.0,0.5,93.93,2.117
155.0,,,,,,,,,0.0,2.4,96.39,4.319
160.0,,,,,,,,,0.0,2.9,94.38,5.421
165.0,,,,,,,,,0.0,3.4,98.5,5.178
170.0,,,,,,,,,0.008,1.9,3.75,0.161
175.0,,,,,,,,,0.016,0.7,1.73,0.04
180.0,,,,,,,,,0.019,2.2,1.5,0.063
185.0,,,,,,,,,0.015,2.6,1.9,0.061
190.0,,,,,,,,,0.007,3.4,4.3,0.277
195.0,,,,,,,,,0.001,1.4,97.09,3.737
200.0,,,,,,,,,0.002,2.9,96.9,3.805
205.0,,,,,,,,,0.002,1.7,97.16,6.387
210.0,,,,,,,,,0.002,2.9,97.5,3.722
215.0,,,,,,,,,0.005,1.2,98.07,4.877
220.0,,,,,,,,,0.012,1.2,2.3,0.098
225.0,,,,,,,,,0.004,3.6,95.45,4.734
230.0,,,,,,,,,0.004,2.9,96.97,6.632
235.0,,,,,,,,,0.004,1.0,96.1,3.824
240.0,,,,,,,,,0.004,1.9,96.84,3.626
245.0,,,,,,,,,0.002,3.8,94.51,3.733
250.0,,,,,,,,,0.004,2.6,96.27,2.409
