Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.017,,,,,,,0.0,0.0,0.0
3.0,,-0.002,,,,,,,0.0,0.0,0.0
6.0,,0.013000000000000001,,,,,,,0.121,0.11,0.0
9.0,,0.015,,,,,,,0.118,0.12,0.0
12.0,,0.057999999999999996,,,,,,,0.113,0.12,0.0
15.0,,0.354,,,,,,,0.11,0.23,0.0
18.0,,1.3940000000000001,,,,,,,0.108,0.78,0.0
21.0,,2.49,,,,,,,0.105,1.51,0.0
24.0,,3.345,,,,,,,0.103,2.28,0.0
27.0,,3.821,,,,,,,0.1,2.89,0.0
30.0,,3.6910000000000003,,,,,,,0.098,3.13,0.0
33.0,,3.234,,,,,,,0.096,3.09,0.0
36.0,,2.845,,,,,,,0.094,3.01,0.0
39.0,,2.611,,,,,,,0.092,2.89,0.0
42.0,,2.602,,,,,,,0.09,2.89,0.0
45.0,,2.659,,,,,,,0.088,2.9,0.0
48.0,,2.707,,,,,,,0.087,2.9,0.0
51.0,,2.7489999999999997,,,,,,,0.086,2.98,0.0
54.0,,2.569,,,,,,,0.085,2.93,0.0
57.0,,2.2119999999999997,,,,,,,0.084,2.78,0.0
60.0,,1.798,,,,,,,0.084,2.57,0.0
63.0,,1.482,,,,,,,0.083,2.35,0.0
66.0,,1.213,,,,,,,0.083,2.15,0.0
69.0,,1.054,,,,,,,0.082,2.0,0.0
72.0,,0.978,,,,,,,0.08,1.9,0.0
75.0,,0.9420000000000001,,,,,,,0.079,1.84,0.0
78.0,,0.92,,,,,,,0.077,1.78,0.0
81.0,,0.8940000000000001,,,,,,,0.076,1.72,0.0
84.0,,0.886,,,,,,,0.076,1.67,0.0
87.0,,0.891,,,,,,,0.076,1.62,0.0
90.0,,0.898,,,,,,,0.076,1.6,0.0
93.0,,0.9109999999999999,,,,,,,0.076,1.57,0.0
