Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.005,,,,,,,0.0,0.0,0.0
3.0,,0.016,,,,,,,0.0,0.0,0.0
6.0,,0.024,,,,,,,0.0,0.0,0.0
9.0,,-0.018000000000000002,,,,,,,0.0,0.0,0.0
12.0,,0.008,,,,,,,0.153,0.04,0.0
15.0,,0.036000000000000004,,,,,,,0.156,0.05,0.0
18.0,,0.237,,,,,,,0.157,0.28,0.012
21.0,,1.294,,,,,,,0.156,0.91,0.036
24.0,,2.946,,,,,,,0.154,1.28,0.044
27.0,,4.014,,,,,,,0.155,1.25,0.04
30.0,,4.156000000000001,,,,,,,0.156,1.19,0.039
33.0,,4.107,,,,,,,0.155,1.22,0.047
36.0,,4.247,,,,,,,0.153,1.28,0.048
39.0,,4.371,,,,,,,0.152,1.31,0.047
42.0,,4.244,,,,,,,0.151,1.24,0.039
45.0,,4.386,,,,,,,0.15,1.39,0.043
48.0,,4.361000000000001,,,,,,,0.148,1.43,0.042
51.0,,4.579,,,,,,,0.146,1.35,0.038
54.0,,4.4350000000000005,,,,,,,0.143,1.48,0.049
57.0,,4.504,,,,,,,0.14,1.5,0.05
60.0,,4.497,,,,,,,0.138,1.49,0.047
63.0,,4.612,,,,,,,0.135,1.63,0.05
66.0,,4.715,,,,,,,0.132,1.63,0.047
69.0,,4.399,,,,,,,0.129,1.44,0.036
72.0,,3.8930000000000002,,,,,,,0.126,1.33,0.036
75.0,,3.6780000000000004,,,,,,,0.122,1.47,0.043
78.0,,3.817,,,,,,,0.118,1.59,0.043
81.0,,3.91,,,,,,,0.113,1.68,0.046
84.0,,4.252,,,,,,,0.108,1.9,0.052
87.0,,4.625,,,,,,,0.102,2.16,0.062
90.0,,4.827,,,,,,,0.097,2.18,0.057
93.0,,4.678,,,,,,,0.092,2.12,0.052
96.0,,4.525,,,,,,,0.087,2.37,0.06
99.0,,4.831,,,,,,,0.081,2.74,0.072
102.0,,5.098,,,,,,,0.076,2.92,0.081
105.0,,5.183,,,,,,,0.073,3.02,0.083
108.0,,4.98,,,,,,,0.068,3.09,0.083
111.0,,4.97,,,,,,,0.062,3.32,0.093
114.0,,5.014,,,,,,,0.056,3.88,0.111
117.0,,4.801,,,,,,,0.053,3.47,0.084
120.0,,3.8910000000000005,,,,,,,0.048,2.77,0.049
123.0,,2.7039999999999997,,,,,,,0.043,2.35,0.027
126.0,,1.896,,,,,,,0.039,2.02,0.018
129.0,,1.27,,,,,,,0.036,1.73,0.016
132.0,,0.935,,,,,,,0.033,1.52,0.019
135.0,,0.648,,,,,,,0.029,1.31,0.028
138.0,,0.452,,,,,,,0.027,1.16,0.032
141.0,,0.35100000000000003,,,,,,,0.025,1.08,0.036
144.0,,0.272,,,,,,,0.022,1.06,0.036
147.0,,0.226,,,,,,,0.018,1.06,0.037
150.0,,0.184,,,,,,,0.017,1.02,0.038
153.0,,0.166,,,,,,,0.015,1.03,0.036
156.0,,0.122,,,,,,,0.013,1.06,0.029
159.0,,0.121,,,,,,,0.011,1.18,0.029
