Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,0.0,1.0,0.0,0.0
10.0,,,,,,,,,,,,
15.0,,,,,,,,,0.0,1.9,0.0,0.0
20.0,,,,,,,,,,,,
25.0,,,,,,,,,0.0,2.4,0.0,0.0
30.0,,,,,,,,,0.032,6.3,0.96,0.037
35.0,,,,,,,,,0.034,5.5,0.88,0.051
40.0,,,,,,,,,0.016,2.2,1.79,0.112
45.0,,,,,,,,,0.006,3.4,4.56,0.201
50.0,,,,,,,,,0.005,1.5,95.7,4.058
55.0,,,,,,,,,0.002,3.4,99.21,2.975
60.0,,,,,,,,,0.002,1.2,98.4,4.235
65.0,,,,,,,,,0.002,1.4,94.49,3.952
70.0,,,,,,,,,0.002,2.7,96.73,6.943
75.0,,,,,,,,,0.002,1.0,92.59,4.305
