Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.1,0.0,0.0
3.0,,,,,,,,,0.0,-1.1,0.0,0.0
6.0,,,,,,,,,0.0,-1.3,0.0,0.0
9.0,,,,,,,,,0.196,1.3,0.11,-0.001
12.0,,,,,,,,,0.183,50.5,0.76,0.07
15.0,,,,,,,,,0.171,144.7,0.93,0.084
18.0,,,,,,,,,0.16,212.3,1.05,0.094
21.0,,,,,,,,,0.151,236.3,1.21,0.102
24.0,,,,,,,,,0.142,248.7,1.37,0.108
27.0,,,,,,,,,0.135,257.8,1.47,0.11
30.0,,,,,,,,,0.127,262.6,1.59,0.11
33.0,,,,,,,,,0.12,263.9,1.77,0.114
36.0,,,,,,,,,0.115,245.9,1.79,0.104
39.0,,,,,,,,,0.11,239.1,1.77,0.099
42.0,,,,,,,,,0.105,247.3,2.61,0.118
45.0,,,,,,,,,0.101,322.2,3.93,0.13
48.0,,,,,,,,,0.097,536.9,5.28,0.128
51.0,,,,,,,,,0.093,757.6,5.82,0.123
54.0,,,,,,,,,0.089,844.2,5.89,0.115
57.0,,,,,,,,,0.085,823.9,5.82,0.11
60.0,,,,,,,,,0.082,779.0,5.82,0.114
63.0,,,,,,,,,0.079,736.2,5.62,0.113
66.0,,,,,,,,,0.076,701.7,5.53,0.118
69.0,,,,,,,,,0.072,646.4,5.45,0.12
72.0,,,,,,,,,0.069,595.4,5.0,0.109
75.0,,,,,,,,,0.061,514.6,4.41,0.091
78.0,,,,,,,,,0.053,379.8,3.56,0.06
81.0,,,,,,,,,0.045,244.2,2.89,0.04
84.0,,,,,,,,,0.04,134.0,2.18,0.03
87.0,,,,,,,,,0.034,55.5,1.71,0.013
90.0,,,,,,,,,0.028,8.3,1.52,0.015
93.0,,,,,,,,,0.023,-11.8,1.51,0.0
96.0,,,,,,,,,0.018,-15.7,1.62,0.0
99.0,,,,,,,,,0.014,-11.7,1.91,-0.03
102.0,,,,,,,,,0.011,-10.3,2.29,0.0
105.0,,,,,,,,,0.008,-5.5,3.03,0.0
108.0,,,,,,,,,0.005,-4.9,0.0,0.0
111.0,,,,,,,,,0.004,-3.6,0.0,0.0
114.0,,,,,,,,,0.004,-1.6,0.0,0.0
117.0,,,,,,,,,0.004,-1.1,0.0,0.0
120.0,,,,,,,,,0.004,0.8,0.0,0.0
