Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,55.69,,0.0287,,,,,,0.0,1.58,0.001,0.0,3e-05,0.0,0.0
5.0,55.69,,0.0288,,,,,,0.0,-0.53,5.048,0.0,0.57366,0.01782,0.0
10.0,55.72,,0.0287,,,,,,0.0,0.0,2.42,0.0,0.10406,0.00938,0.0
15.0,55.64,,0.0284,,,,,,0.0,2.6,1.646,0.002,0.49669,0.01776,0.0
20.0,55.69,,0.0287,,,,,,177.2,1.05,2.629,0.001,0.35763,0.01682,0.0001
25.0,55.48,,0.0282,,,,,,790.3,9.27,1.962,0.004,0.29901,0.00858,0.0
30.0,55.21,,0.0279,,,,,,555.1,72.86,1.786,0.004,0.33394,0.005,0.0
35.0,55.04,,0.0279,,,,,,484.9,94.74,1.672,0.011,0.30325,0.00324,0.0
40.0,54.77,,0.0279,,,,,,384.8,98.61,1.726,0.011,0.33998,0.00341,0.0008
45.0,54.54,,0.0275,,,,,,517.6,97.79,1.928,0.019,0.36539,0.00324,0.0008
50.0,54.3,,0.0274,,,,,,511.9,108.35,1.854,0.02,0.42114,0.00302,0.0009
55.0,54.1,,0.0277,,,,,,458.0,115.02,1.984,0.03,0.49751,0.00355,0.0
60.0,53.9,,0.0281,,,,,,293.5,99.72,2.085,0.031,0.54686,0.00398,0.0
65.0,53.79,,0.0275,,,,,,189.9,85.39,1.827,0.026,0.45156,0.00335,0.0008
70.0,53.52,,0.0279,,,,,,303.7,87.98,1.884,0.024,0.47051,0.00338,0.0
75.0,53.36,,0.0278,,,,,,309.2,95.24,1.909,0.024,0.45208,0.00274,0.0
80.0,53.08,,0.0272,,,,,,364.1,105.55,1.993,0.024,0.47388,0.00237,0.0
85.0,52.87,,0.0275,,,,,,351.3,114.71,2.092,0.025,0.52961,0.00247,0.0
90.0,52.67,,0.0276,,,,,,286.2,116.65,1.952,0.024,0.49518,0.00256,0.0002
95.0,52.44,,0.0275,,,,,,264.0,113.14,2.065,0.026,0.55407,0.00327,0.0005
100.0,52.24,,0.0277,,,,,,192.9,107.44,2.155,0.029,0.5654,0.0042,0.0008
