Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
10.0,,,,,,,,,,,,
15.0,,,,,,,,,,,,
20.0,,,,,,,,,,,,
25.0,,,,,,,,,,,,
30.0,,,,,,,,,,,,
35.0,,,,,,,,,0.032,0.7,0.69,0.018
40.0,,,,,,,,,0.041,3.1,0.58,0.025
45.0,,,,,,,,,0.054,73.9,1.27,0.179
50.0,,,,,,,,,0.066,98.2,1.4,0.128
55.0,,,,,,,,,0.042,68.1,2.09,0.103
60.0,,,,,,,,,0.02,49.3,3.86,0.108
65.0,,,,,,,,,0.017,31.5,3.95,0.13
70.0,,,,,,,,,0.009,3.9,4.76,0.216
75.0,,,,,,,,,0.009,-0.9,3.06,0.149
80.0,,,,,,,,,0.012,0.0,2.18,0.091
85.0,,,,,,,,,0.011,-1.2,2.34,0.14
90.0,,,,,,,,,0.009,1.2,2.8,0.097
95.0,,,,,,,,,0.005,-0.5,84.94,2.77
100.0,,,,,,,,,0.004,2.8,83.45,2.684
105.0,,,,,,,,,0.006,0.9,4.07,0.192
110.0,,,,,,,,,0.007,1.2,3.44,0.098
115.0,,,,,,,,,0.007,1.4,3.66,0.158
120.0,,,,,,,,,0.006,0.5,3.8,0.108
125.0,,,,,,,,,0.005,2.4,86.57,3.397
130.0,,,,,,,,,0.005,1.9,86.14,3.006
135.0,,,,,,,,,0.005,0.0,87.07,3.163
140.0,,,,,,,,,0.005,0.9,86.38,3.285
145.0,,,,,,,,,0.009,1.9,2.83,0.14
150.0,,,,,,,,,0.013,0.5,1.93,0.105
155.0,,,,,,,,,0.005,1.6,92.65,4.308
160.0,,,,,,,,,0.003,1.9,90.02,2.096
165.0,,,,,,,,,0.003,0.5,88.06,2.254
170.0,,,,,,,,,0.003,1.7,87.41,3.63
175.0,,,,,,,,,0.003,2.1,86.2,2.904
180.0,,,,,,,,,0.011,1.2,2.21,0.143
185.0,,,,,,,,,0.011,-0.5,2.12,0.074
190.0,,,,,,,,,0.005,0.2,84.58,1.955
195.0,,,,,,,,,0.003,1.2,85.63,3.055
200.0,,,,,,,,,0.007,-0.5,3.57,0.143
205.0,,,,,,,,,0.013,0.5,1.91,0.082
210.0,,,,,,,,,0.006,1.9,4.28,0.104
215.0,,,,,,,,,0.006,2.1,4.29,0.194
220.0,,,,,,,,,0.006,0.0,3.87,0.151
