Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,59.56,,0.0288,,,,,,0.0,0.53,0.003,0.0,0.0,2e-05,0.0
5.0,59.56,,0.0287,,,,,,0.0,3.14,0.871,0.016,0.0,0.13941,0.0
10.0,59.57,,0.0287,,,,,,0.0,2.62,0.0,0.003,0.0,0.02755,0.0
15.0,59.56,,0.0286,,,,,,255.4,0.52,0.0,0.002,0.0,0.01661,0.0
20.0,59.56,,0.0289,,,,,,275.0,0.53,0.0,0.002,0.0,0.02119,0.0
25.0,59.54,,0.0288,,,,,,59.0,0.53,0.0,0.002,0.0,0.02239,0.0
30.0,59.54,,0.0288,,,,,,602.5,0.0,0.0,0.002,0.0,0.0246,0.0
35.0,59.54,,0.0287,,,,,,0.0,0.0,0.0,0.005,0.0,0.06814,0.0
40.0,59.52,,0.0287,,,,,,0.0,0.0,0.0,0.004,0.0,0.06276,0.0
45.0,59.54,,0.0288,,,,,,674.4,-0.53,0.0,0.002,0.0,0.02909,0.0
50.0,59.52,,0.0289,,,,,,913.5,-0.53,0.0,0.001,0.0,0.02333,0.0
55.0,59.54,,0.0288,,,,,,826.0,0.53,0.0,0.001,0.0,0.01929,0.0
60.0,59.5,,0.0287,,,,,,959.2,0.53,0.0,0.001,0.0,0.01547,0.0
65.0,59.48,,0.0286,,,,,,903.9,0.52,0.0,0.006,0.0,0.01449,0.0
70.0,59.45,,0.0287,,,,,,1240.3,0.53,0.15,0.006,0.0,0.02358,0.0
75.0,59.41,,0.0287,,,,,,1865.4,1.05,0.051,0.007,0.0,0.04004,0.0
80.0,59.41,,0.0287,,,,,,1400.3,1.05,0.0,0.006,1.1384,0.037,0.0
85.0,59.36,,0.0287,,,,,,711.5,1.58,0.297,0.003,0.62435,0.02214,0.0
90.0,59.35,,0.0287,,,,,,376.5,1.58,1.279,0.001,0.27346,0.01315,0.0
