Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,159.35,,0.0036,,,,,,0.0,0.07,0.001,0.0,3e-05,0.0,0.0
5.0,159.35,,0.0036,,,,,,0.0,0.0,0.001,0.0,0.00015,0.0,0.0
10.0,159.36,,0.0035,,,,,,0.0,0.0,0.001,0.0,0.00032,0.0,0.0
15.0,159.36,,0.0034,,,,,,0.0,0.0,0.001,0.0,0.00038,0.0,0.0001
20.0,159.36,,0.0036,,,,,,0.0,0.07,0.001,0.0,0.00012,0.0,0.0001
25.0,159.37,,0.0038,,,,,,0.0,0.07,0.001,0.0,0.0,0.0,0.0001
30.0,159.36,,0.0276,,,,,,0.0,0.0,0.008,0.0,0.0,1e-05,0.0004
35.0,159.36,,0.0266,,,,,,0.0,0.0,4.035,0.0,0.0,0.00357,0.1827
40.0,159.39,,0.0261,,,,,,0.0,0.0,1.648,0.0,0.0,0.00138,0.0914
45.0,159.34,,0.0261,,,,,,0.0,0.0,1.426,0.0,0.0,0.0,0.1217
50.0,159.3,,0.0261,,,,,,0.0,0.0,2.357,0.0,0.0,0.0011,0.3197
55.0,159.3,,0.026,,,,,,0.0,0.0,1.519,0.0,0.0,0.0,0.2931
60.0,159.28,,0.026,,,,,,197.4,0.0,0.664,0.0,0.0,0.0,0.1696
65.0,159.2,,0.0259,,,,,,199.9,0.0,0.467,0.0,0.03353,1e-05,0.1323
70.0,159.12,,0.0258,,,,,,309.9,0.0,0.382,0.0,0.03494,0.0,0.1406
75.0,158.99,,0.026,,,,,,415.4,-0.48,0.342,0.0,0.0074,0.0,0.1436
80.0,158.88,,0.026,,,,,,457.5,0.0,0.265,0.0,0.00122,0.0,0.124
85.0,158.7,,0.026,,,,,,459.3,0.0,0.226,0.006,0.00649,2e-05,0.1293
90.0,158.47,,0.0261,,,,,,523.5,-0.48,0.22,0.006,0.01417,4e-05,0.13
95.0,158.24,,0.0259,,,,,,582.7,0.0,0.211,0.005,0.02611,0.0,0.1385
100.0,157.98,,0.026,,,,,,591.3,0.0,0.192,0.004,0.02078,8e-05,0.131
105.0,157.7,,0.0259,,,,,,576.5,0.0,0.244,0.007,0.34382,0.0,0.119
110.0,157.32,,0.0257,,,,,,517.9,0.0,0.214,0.006,0.20721,0.0,0.1067
115.0,156.89,,0.026,,,,,,419.6,0.95,0.696,0.01,0.25747,0.0,0.0859
120.0,156.33,,0.0256,,,,,,379.1,0.93,0.824,0.006,0.18266,1e-05,0.0636
125.0,155.2,,0.0241,,,,,,1031.4,1.32,0.617,0.038,0.13911,1e-05,0.0569
