Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,0.0,0.0,0.0,0.0
10.0,,,,,,,,,0.0,1.2,0.0,0.0
15.0,,,,,,,,,,,,
20.0,,,,,,,,,0.0,0.7,0.0,0.0
25.0,,,,,,,,,0.065,1.0,0.42,0.013
30.0,,,,,,,,,0.042,1.4,0.64,0.032
35.0,,,,,,,,,0.025,1.0,1.11,0.079
40.0,,,,,,,,,0.02,1.9,1.4,0.055
50.0,,,,,,,,,0.024,1.9,1.15,0.057
55.0,,,,,,,,,0.02,2.4,1.4,0.052
60.0,,,,,,,,,0.018,2.4,1.6,0.09
65.0,,,,,,,,,0.014,1.4,2.0,0.12
70.0,,,,,,,,,0.007,2.4,3.93,0.252
75.0,,,,,,,,,0.003,1.4,94.25,1.96
80.0,,,,,,,,,0.001,0.0,95.38,5.581
85.0,,,,,,,,,0.003,1.2,93.97,3.479
90.0,,,,,,,,,0.007,1.0,3.75,0.23
95.0,,,,,,,,,0.008,1.0,3.25,0.169
100.0,,,,,,,,,0.003,1.0,94.55,3.745
105.0,,,,,,,,,0.003,1.0,95.39,5.264
110.0,,,,,,,,,0.003,2.2,93.27,4.858
115.0,,,,,,,,,0.003,1.4,91.02,3.754
120.0,,,,,,,,,0.005,0.5,91.94,4.316
125.0,,,,,,,,,0.008,1.4,3.21,0.173
130.0,,,,,,,,,0.018,1.4,1.5,0.083
135.0,,,,,,,,,0.018,1.4,1.51,0.055
