Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,0.0,0.2,0.0,0.0
10.0,,,,,,,,,,,,
15.0,,,,,,,,,0.0,1.9,0.0,0.0
20.0,,,,,,,,,0.0,3.4,0.0,0.0
25.0,,,,,,,,,0.0,0.0,0.0,0.0
30.0,,,,,,,,,0.03,1.7,0.95,0.058
35.0,,,,,,,,,0.005,19.4,137.84,8.008
40.0,,,,,,,,,0.003,4.1,112.07,7.198
45.0,,,,,,,,,0.021,3.8,1.56,0.079
50.0,,,,,,,,,0.021,4.3,1.44,0.055
55.0,,,,,,,,,0.018,4.8,1.6,0.061
60.0,,,,,,,,,,,,
65.0,,,,,,,,,,,,
70.0,,,,,,,,,0.007,0.0,3.66,0.18
75.0,,,,,,,,,0.007,2.4,3.66,0.143
80.0,,,,,,,,,0.007,1.4,3.62,0.135
85.0,,,,,,,,,0.005,0.2,91.16,3.717
90.0,,,,,,,,,0.008,-0.5,3.47,0.185
95.0,,,,,,,,,0.009,0.7,2.9,0.147
100.0,,,,,,,,,0.022,0.5,1.28,0.067
105.0,,,,,,,,,0.005,1.7,93.28,3.974
