Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.9,0.0,0.0
5.0,,,,,,,,,0.0,0.2,0.0,0.0
10.0,,,,,,,,,0.0,0.5,0.0,0.0
15.0,,,,,,,,,0.0,0.5,0.0,0.0
20.0,,,,,,,,,0.0,0.0,0.0,0.0
25.0,,,,,,,,,0.0,123.9,0.0,0.0
30.0,,,,,,,,,0.119,248.7,1.55,0.031
35.0,,,,,,,,,0.081,142.0,1.82,0.032
40.0,,,,,,,,,0.068,93.8,1.81,0.037
45.0,,,,,,,,,0.067,72.7,1.61,0.038
50.0,,,,,,,,,0.051,61.9,1.91,0.053
55.0,,,,,,,,,0.034,66.9,2.85,0.088
60.0,,,,,,,,,0.036,85.2,2.97,0.069
65.0,,,,,,,,,0.052,96.9,2.19,0.044
70.0,,,,,,,,,0.055,94.4,2.07,0.028
75.0,,,,,,,,,0.041,81.8,2.61,0.043
80.0,,,,,,,,,0.033,70.1,2.94,0.065
85.0,,,,,,,,,0.033,61.4,2.73,0.077
90.0,,,,,,,,,0.032,53.2,2.65,0.105
95.0,,,,,,,,,0.031,50.6,2.58,0.106
100.0,,,,,,,,,0.026,46.3,2.89,0.119
105.0,,,,,,,,,0.013,44.9,5.44,0.272
110.0,,,,,,,,,0.009,41.9,8.21,0.402
115.0,,,,,,,,,0.012,43.4,5.82,0.276
120.0,,,,,,,,,0.018,39.7,3.74,0.194
125.0,,,,,,,,,0.019,35.1,3.44,0.194
130.0,,,,,,,,,0.012,31.0,5.14,0.291
135.0,,,,,,,,,0.017,32.4,3.6,0.221
140.0,,,,,,,,,0.02,31.8,3.02,0.21
145.0,,,,,,,,,0.01,31.5,6.16,0.499
150.0,,,,,,,,,0.002,31.1,220.91,15.098
155.0,,,,,,,,,0.001,30.5,216.86,15.693
160.0,,,,,,,,,0.006,29.7,9.15,0.727
165.0,,,,,,,,,0.019,28.4,3.05,0.243
170.0,,,,,,,,,0.02,29.5,2.94,0.201
175.0,,,,,,,,,0.022,30.6,2.74,0.208
180.0,,,,,,,,,0.03,30.0,1.98,0.149
185.0,,,,,,,,,0.012,28.5,4.76,0.324
190.0,,,,,,,,,0.012,28.8,4.84,0.327
195.0,,,,,,,,,0.012,31.3,4.78,0.337
200.0,,,,,,,,,0.005,30.7,219.77,17.924
205.0,,,,,,,,,0.026,29.5,2.29,0.167
210.0,,,,,,,,,0.045,28.1,1.34,0.107
215.0,,,,,,,,,0.024,29.3,2.51,0.165
220.0,,,,,,,,,0.024,30.7,2.56,0.208
225.0,,,,,,,,,0.024,30.2,2.54,0.193
230.0,,,,,,,,,0.0,28.8,221.66,15.528
